Year,За типами показників,Тип водопостачання,Область,Value
2019,радіаційні показники,міські водопроводи,Дніпропетровська,0.0
2020,радіаційні показники,міські водопроводи,Дніпропетровська,0.0
2021,радіаційні показники,міські водопроводи,Дніпропетровська,0.0
2022,радіаційні показники,міські водопроводи,Дніпропетровська,0.0
2023,радіаційні показники,міські водопроводи,Дніпропетровська,1.9
2024,радіаційні показники,міські водопроводи,Дніпропетровська,0.0
2015,радіаційні показники,сільські водопроводи,Дніпропетровська,0.0
2016,радіаційні показники,сільські водопроводи,Дніпропетровська,0.0
2017,радіаційні показники,сільські водопроводи,Дніпропетровська,0.0
2018,радіаційні показники,сільські водопроводи,Дніпропетровська,0.0
2019,радіаційні показники,сільські водопроводи,Дніпропетровська,0.0
2020,радіаційні показники,сільські водопроводи,Дніпропетровська,0.0
2021,радіаційні показники,сільські водопроводи,Дніпропетровська,0.0
2022,радіаційні показники,сільські водопроводи,Дніпропетровська,0.0
2023,радіаційні показники,сільські водопроводи,Дніпропетровська,0.0
2024,радіаційні показники,сільські водопроводи,Дніпропетровська,0.0
2015,радіаційні показники,нецентралізоване водопостачання,Дніпропетровська,0.0
2016,радіаційні показники,нецентралізоване водопостачання,Дніпропетровська,0.0
2017,радіаційні показники,нецентралізоване водопостачання,Дніпропетровська,0.0
2018,радіаційні показники,нецентралізоване водопостачання,Дніпропетровська,0.0
2019,радіаційні показники,нецентралізоване водопостачання,Дніпропетровська,0.0
2020,радіаційні показники,нецентралізоване водопостачання,Дніпропетровська,0.0
2021,радіаційні показники,нецентралізоване водопостачання,Дніпропетровська,0.0
2022,радіаційні показники,нецентралізоване водопостачання,Дніпропетровська,4.1
2023,радіаційні показники,нецентралізоване водопостачання,Дніпропетровська,6.9
2024,радіаційні показники,нецентралізоване водопостачання,Дніпропетровська,0.0
2015,мікробіологічні показники,міські водопроводи,Донецька,2.8
2016,мікробіологічні показники,міські водопроводи,Донецька,2.6
2017,мікробіологічні показники,міські водопроводи,Донецька,5.8
2018,мікробіологічні показники,міські водопроводи,Донецька,4.6
2019,мікробіологічні показники,міські водопроводи,Донецька,5.2
2020,мікробіологічні показники,міські водопроводи,Донецька,3.8
2021,мікробіологічні показники,міські водопроводи,Донецька,4.3
2022,мікробіологічні показники,міські водопроводи,Донецька,4.1
2023,мікробіологічні показники,міські водопроводи,Донецька,4.8
2024,мікробіологічні показники,міські водопроводи,Донецька,3.2
2015,мікробіологічні показники,сільські водопроводи,Донецька,5.5
2016,мікробіологічні показники,сільські водопроводи,Донецька,6.6
2017,мікробіологічні показники,сільські водопроводи,Донецька,10.3
2018,мікробіологічні показники,сільські водопроводи,Донецька,11.3
2019,мікробіологічні показники,сільські водопроводи,Донецька,12.9
2020,мікробіологічні показники,сільські водопроводи,Донецька,12.4
2021,мікробіологічні показники,сільські водопроводи,Донецька,12.1
2022,мікробіологічні показники,сільські водопроводи,Донецька,1.7
2023,мікробіологічні показники,сільські водопроводи,Донецька,8.2
2024,мікробіологічні показники,сільські водопроводи,Донецька,9.3
2015,мікробіологічні показники,нецентралізоване водопостачання,Донецька,25.1
2016,мікробіологічні показники,нецентралізоване водопостачання,Донецька,12.6
2017,мікробіологічні показники,нецентралізоване водопостачання,Донецька,41.1
2018,мікробіологічні показники,нецентралізоване водопостачання,Донецька,26.6
2019,мікробіологічні показники,нецентралізоване водопостачання,Донецька,23.1
2020,мікробіологічні показники,нецентралізоване водопостачання,Донецька,29.6
2021,мікробіологічні показники,нецентралізоване водопостачання,Донецька,26.7
2022,мікробіологічні показники,нецентралізоване водопостачання,Донецька,63.1
2023,мікробіологічні показники,нецентралізоване водопостачання,Донецька,56.7
2024,мікробіологічні показники,нецентралізоване водопостачання,Донецька,22.1
2015,санітарно-хімічні показники,міські водопроводи,Донецька,10.2
2016,санітарно-хімічні показники,міські водопроводи,Донецька,9.1
2017,санітарно-хімічні показники,міські водопроводи,Донецька,18.0
2018,санітарно-хімічні показники,міські водопроводи,Донецька,21.7
2019,санітарно-хімічні показники,міські водопроводи,Донецька,17.7
2020,санітарно-хімічні показники,міські водопроводи,Донецька,17.0
2021,санітарно-хімічні показники,міські водопроводи,Донецька,15.7
2022,санітарно-хімічні показники,міські водопроводи,Донецька,29.0
2023,санітарно-хімічні показники,міські водопроводи,Донецька,16.5
2024,санітарно-хімічні показники,міські водопроводи,Донецька,6.1
2015,санітарно-хімічні показники,сільські водопроводи,Донецька,19.0
2016,санітарно-хімічні показники,сільські водопроводи,Донецька,29.1
2017,санітарно-хімічні показники,сільські водопроводи,Донецька,24.8
2018,санітарно-хімічні показники,сільські водопроводи,Донецька,16.2
2019,санітарно-хімічні показники,сільські водопроводи,Донецька,20.4
2020,санітарно-хімічні показники,сільські водопроводи,Донецька,18.9
2021,санітарно-хімічні показники,сільські водопроводи,Донецька,19.1
2022,санітарно-хімічні показники,сільські водопроводи,Донецька,70.9
2023,санітарно-хімічні показники,сільські водопроводи,Донецька,86.5
2024,санітарно-хімічні показники,сільські водопроводи,Донецька,73.2
2015,санітарно-хімічні показники,нецентралізоване водопостачання,Донецька,70.6
2016,санітарно-хімічні показники,нецентралізоване водопостачання,Донецька,15.2
2017,санітарно-хімічні показники,нецентралізоване водопостачання,Донецька,63.5
2018,санітарно-хімічні показники,нецентралізоване водопостачання,Донецька,58.3
2019,санітарно-хімічні показники,нецентралізоване водопостачання,Донецька,54.4
2020,санітарно-хімічні показники,нецентралізоване водопостачання,Донецька,58.5
2021,санітарно-хімічні показники,нецентралізоване водопостачання,Донецька,52.9
2022,санітарно-хімічні показники,нецентралізоване водопостачання,Донецька,63.1
2023,санітарно-хімічні показники,нецентралізоване водопостачання,Донецька,56.7
2024,санітарно-хімічні показники,нецентралізоване водопостачання,Донецька,48.1
2015,радіаційні показники,міські водопроводи,Донецька,0.0
2016,радіаційні показники,міські водопроводи,Донецька,0.0
2017,радіаційні показники,міські водопроводи,Донецька,0.0
2018,радіаційні показники,міські водопроводи,Донецька,0.0
2019,радіаційні показники,міські водопроводи,Донецька,0.0
2020,радіаційні показники,міські водопроводи,Донецька,0.0
2021,радіаційні показники,міські водопроводи,Донецька,0.0
2022,радіаційні показники,міські водопроводи,Донецька,0.0
2023,радіаційні показники,міські водопроводи,Донецька,0.0
2024,радіаційні показники,міські водопроводи,Донецька,0.0
2015,радіаційні показники,сільські водопроводи,Донецька,0.0
2016,радіаційні показники,сільські водопроводи,Донецька,0.0
2017,радіаційні показники,сільські водопроводи,Донецька,0.0
2018,радіаційні показники,сільські водопроводи,Донецька,0.0
2019,радіаційні показники,сільські водопроводи,Донецька,0.0
2020,радіаційні показники,сільські водопроводи,Донецька,0.0
2021,радіаційні показники,сільські водопроводи,Донецька,0.0
2022,радіаційні показники,сільські водопроводи,Донецька,0.0
2023,радіаційні показники,сільські водопроводи,Донецька,0.0
2024,радіаційні показники,сільські водопроводи,Донецька,0.0
2015,радіаційні показники,нецентралізоване водопостачання,Донецька,0.0
2016,радіаційні показники,нецентралізоване водопостачання,Донецька,0.0
2017,радіаційні показники,нецентралізоване водопостачання,Донецька,0.0
2018,радіаційні показники,нецентралізоване водопостачання,Донецька,0.0
2019,радіаційні показники,нецентралізоване водопостачання,Донецька,0.0
2020,радіаційні показники,нецентралізоване водопостачання,Донецька,0.0
2021,радіаційні показники,нецентралізоване водопостачання,Донецька,0.0
2022,радіаційні показники,нецентралізоване водопостачання,Донецька,0.0
2023,радіаційні показники,нецентралізоване водопостачання,Донецька,0.0
2024,радіаційні показники,нецентралізоване водопостачання,Донецька,0.0
2015,мікробіологічні показники,міські водопроводи,Житомирська,1.7
2016,мікробіологічні показники,міські водопроводи,Житомирська,4.4
2017,мікробіологічні показники,міські водопроводи,Житомирська,5.0
2018,мікробіологічні показники,міські водопроводи,Житомирська,6.5
2019,мікробіологічні показники,міські водопроводи,Житомирська,7.3
2020,мікробіологічні показники,міські водопроводи,Житомирська,6.4
2021,мікробіологічні показники,міські водопроводи,Житомирська,6.2
2022,мікробіологічні показники,міські водопроводи,Житомирська,4.1
2023,мікробіологічні показники,міські водопроводи,Житомирська,2.2
2024,мікробіологічні показники,міські водопроводи,Житомирська,2.6
2015,мікробіологічні показники,сільські водопроводи,Житомирська,8.3
2016,мікробіологічні показники,сільські водопроводи,Житомирська,6.7
2017,мікробіологічні показники,сільські водопроводи,Житомирська,16.9
2018,мікробіологічні показники,сільські водопроводи,Житомирська,11.4
2019,мікробіологічні показники,сільські водопроводи,Житомирська,12.3
2020,мікробіологічні показники,сільські водопроводи,Житомирська,7.6
2021,мікробіологічні показники,сільські водопроводи,Житомирська,7.1
2022,мікробіологічні показники,сільські водопроводи,Житомирська,8.4
2023,мікробіологічні показники,сільські водопроводи,Житомирська,4.5
2024,мікробіологічні показники,сільські водопроводи,Житомирська,11.3
2015,мікробіологічні показники,нецентралізоване водопостачання,Житомирська,18.2
2016,мікробіологічні показники,нецентралізоване водопостачання,Житомирська,8.0
2017,мікробіологічні показники,нецентралізоване водопостачання,Житомирська,29.8
2018,мікробіологічні показники,нецентралізоване водопостачання,Житомирська,30.9
2019,мікробіологічні показники,нецентралізоване водопостачання,Житомирська,36.1
2020,мікробіологічні показники,нецентралізоване водопостачання,Житомирська,30.7
2021,мікробіологічні показники,нецентралізоване водопостачання,Житомирська,28.7
2022,мікробіологічні показники,нецентралізоване водопостачання,Житомирська,39.4
2023,мікробіологічні показники,нецентралізоване водопостачання,Житомирська,37.9
2024,мікробіологічні показники,нецентралізоване водопостачання,Житомирська,26.7
2015,санітарно-хімічні показники,міські водопроводи,Житомирська,13.7
2016,санітарно-хімічні показники,міські водопроводи,Житомирська,19.2
2017,санітарно-хімічні показники,міські водопроводи,Житомирська,19.5
2018,санітарно-хімічні показники,міські водопроводи,Житомирська,27.9
2019,санітарно-хімічні показники,міські водопроводи,Житомирська,23.2
2020,санітарно-хімічні показники,міські водопроводи,Житомирська,35.1
2021,санітарно-хімічні показники,міські водопроводи,Житомирська,43.3
2022,санітарно-хімічні показники,міські водопроводи,Житомирська,14.0
2023,санітарно-хімічні показники,міські водопроводи,Житомирська,20.1
2024,санітарно-хімічні показники,міські водопроводи,Житомирська,20.9
2015,санітарно-хімічні показники,сільські водопроводи,Житомирська,23.5
2016,санітарно-хімічні показники,сільські водопроводи,Житомирська,28.6
2017,санітарно-хімічні показники,сільські водопроводи,Житомирська,30.7
2018,санітарно-хімічні показники,сільські водопроводи,Житомирська,48.4
2019,санітарно-хімічні показники,сільські водопроводи,Житомирська,39.8
2020,санітарно-хімічні показники,сільські водопроводи,Житомирська,62.8
2021,санітарно-хімічні показники,сільські водопроводи,Житомирська,52.0
2022,санітарно-хімічні показники,сільські водопроводи,Житомирська,25.4
2023,санітарно-хімічні показники,сільські водопроводи,Житомирська,38.5
2024,санітарно-хімічні показники,сільські водопроводи,Житомирська,46.0
2015,санітарно-хімічні показники,нецентралізоване водопостачання,Житомирська,36.0
2016,санітарно-хімічні показники,нецентралізоване водопостачання,Житомирська,75.9
2017,санітарно-хімічні показники,нецентралізоване водопостачання,Житомирська,37.2
2018,санітарно-хімічні показники,нецентралізоване водопостачання,Житомирська,42.8
2019,санітарно-хімічні показники,нецентралізоване водопостачання,Житомирська,38.0
2020,санітарно-хімічні показники,нецентралізоване водопостачання,Житомирська,37.1
2021,санітарно-хімічні показники,нецентралізоване водопостачання,Житомирська,39.7
2022,санітарно-хімічні показники,нецентралізоване водопостачання,Житомирська,39.4
2023,санітарно-хімічні показники,нецентралізоване водопостачання,Житомирська,37.9
2024,санітарно-хімічні показники,нецентралізоване водопостачання,Житомирська,35.3
2015,радіаційні показники,міські водопроводи,Житомирська,0.0
2016,радіаційні показники,міські водопроводи,Житомирська,0.0
2017,радіаційні показники,міські водопроводи,Житомирська,11.2
2018,радіаційні показники,міські водопроводи,Житомирська,9.8
2019,радіаційні показники,міські водопроводи,Житомирська,11.0
2020,радіаційні показники,міські водопроводи,Житомирська,3.4
2021,радіаційні показники,міські водопроводи,Житомирська,2.9
2022,радіаційні показники,міські водопроводи,Житомирська,0.7
2023,радіаційні показники,міські водопроводи,Житомирська,1.4
2024,радіаційні показники,міські водопроводи,Житомирська,10.7
2015,радіаційні показники,сільські водопроводи,Житомирська,0.0
2016,радіаційні показники,сільські водопроводи,Житомирська,0.0
2017,радіаційні показники,сільські водопроводи,Житомирська,8.9
2018,радіаційні показники,сільські водопроводи,Житомирська,21.0
2019,радіаційні показники,сільські водопроводи,Житомирська,23.0
2020,радіаційні показники,сільські водопроводи,Житомирська,13.2
2021,радіаційні показники,сільські водопроводи,Житомирська,10.5
2022,радіаційні показники,сільські водопроводи,Житомирська,17.9
2023,радіаційні показники,сільські водопроводи,Житомирська,6.5
2024,радіаційні показники,сільські водопроводи,Житомирська,3.4
2015,радіаційні показники,нецентралізоване водопостачання,Житомирська,0.0
2016,радіаційні показники,нецентралізоване водопостачання,Житомирська,0.0
2017,радіаційні показники,нецентралізоване водопостачання,Житомирська,2.3
2018,радіаційні показники,нецентралізоване водопостачання,Житомирська,1.4
2019,радіаційні показники,нецентралізоване водопостачання,Житомирська,3.6
2020,радіаційні показники,нецентралізоване водопостачання,Житомирська,11.8
2021,радіаційні показники,нецентралізоване водопостачання,Житомирська,7.3
2022,радіаційні показники,нецентралізоване водопостачання,Житомирська,6.6
2023,радіаційні показники,нецентралізоване водопостачання,Житомирська,4.8
2024,радіаційні показники,нецентралізоване водопостачання,Житомирська,6.9
2015,мікробіологічні показники,міські водопроводи,Закарпатська,6.5
2016,мікробіологічні показники,міські водопроводи,Закарпатська,6.6
2017,мікробіологічні показники,міські водопроводи,Закарпатська,8.3
2018,мікробіологічні показники,міські водопроводи,Закарпатська,14.1
2019,мікробіологічні показники,міські водопроводи,Закарпатська,14.4
2020,мікробіологічні показники,міські водопроводи,Закарпатська,11.6
2021,мікробіологічні показники,міські водопроводи,Закарпатська,5.8
2022,мікробіологічні показники,міські водопроводи,Закарпатська,5.1
2023,мікробіологічні показники,міські водопроводи,Закарпатська,6.6
2024,мікробіологічні показники,міські водопроводи,Закарпатська,7.1
2015,мікробіологічні показники,сільські водопроводи,Закарпатська,6.9
2016,мікробіологічні показники,сільські водопроводи,Закарпатська,6.8
2017,мікробіологічні показники,сільські водопроводи,Закарпатська,9.2
2018,мікробіологічні показники,сільські водопроводи,Закарпатська,25.7
2019,мікробіологічні показники,сільські водопроводи,Закарпатська,10.6
2020,мікробіологічні показники,сільські водопроводи,Закарпатська,15.9
2021,мікробіологічні показники,сільські водопроводи,Закарпатська,19.9
2022,мікробіологічні показники,сільські водопроводи,Закарпатська,14.0
2023,мікробіологічні показники,сільські водопроводи,Закарпатська,10.0
2024,мікробіологічні показники,сільські водопроводи,Закарпатська,13.8
2015,мікробіологічні показники,нецентралізоване водопостачання,Закарпатська,12.6
2016,мікробіологічні показники,нецентралізоване водопостачання,Закарпатська,24.9
2017,мікробіологічні показники,нецентралізоване водопостачання,Закарпатська,14.8
2018,мікробіологічні показники,нецентралізоване водопостачання,Закарпатська,27.9
2019,мікробіологічні показники,нецентралізоване водопостачання,Закарпатська,27.7
2020,мікробіологічні показники,нецентралізоване водопостачання,Закарпатська,18.3
2021,мікробіологічні показники,нецентралізоване водопостачання,Закарпатська,25.3
2022,мікробіологічні показники,нецентралізоване водопостачання,Закарпатська,8.8
2023,мікробіологічні показники,нецентралізоване водопостачання,Закарпатська,9.7
2024,мікробіологічні показники,нецентралізоване водопостачання,Закарпатська,27.1
2015,санітарно-хімічні показники,міські водопроводи,Закарпатська,5.2
2016,санітарно-хімічні показники,міські водопроводи,Закарпатська,4.3
2017,санітарно-хімічні показники,міські водопроводи,Закарпатська,1.5
2018,санітарно-хімічні показники,міські водопроводи,Закарпатська,2.9
2019,санітарно-хімічні показники,міські водопроводи,Закарпатська,4.3
2020,санітарно-хімічні показники,міські водопроводи,Закарпатська,4.4
2021,санітарно-хімічні показники,міські водопроводи,Закарпатська,4.7
2022,санітарно-хімічні показники,міські водопроводи,Закарпатська,2.3
2023,санітарно-хімічні показники,міські водопроводи,Закарпатська,2.8
2024,санітарно-хімічні показники,міські водопроводи,Закарпатська,1.9
2015,санітарно-хімічні показники,сільські водопроводи,Закарпатська,8.0
2016,санітарно-хімічні показники,сільські водопроводи,Закарпатська,5.9
2017,санітарно-хімічні показники,сільські водопроводи,Закарпатська,5.7
2018,санітарно-хімічні показники,сільські водопроводи,Закарпатська,6.4
2019,санітарно-хімічні показники,сільські водопроводи,Закарпатська,12.8
2020,санітарно-хімічні показники,сільські водопроводи,Закарпатська,1.8
2021,санітарно-хімічні показники,сільські водопроводи,Закарпатська,4.7
2022,санітарно-хімічні показники,сільські водопроводи,Закарпатська,4.0
2023,санітарно-хімічні показники,сільські водопроводи,Закарпатська,8.5
2024,санітарно-хімічні показники,сільські водопроводи,Закарпатська,5.7
2015,санітарно-хімічні показники,нецентралізоване водопостачання,Закарпатська,12.2
2016,санітарно-хімічні показники,нецентралізоване водопостачання,Закарпатська,17.8
2017,санітарно-хімічні показники,нецентралізоване водопостачання,Закарпатська,14.0
2018,санітарно-хімічні показники,нецентралізоване водопостачання,Закарпатська,13.1
2019,санітарно-хімічні показники,нецентралізоване водопостачання,Закарпатська,14.7
2020,санітарно-хімічні показники,нецентралізоване водопостачання,Закарпатська,12.9
2021,санітарно-хімічні показники,нецентралізоване водопостачання,Закарпатська,11.4
2022,санітарно-хімічні показники,нецентралізоване водопостачання,Закарпатська,8.8
2023,санітарно-хімічні показники,нецентралізоване водопостачання,Закарпатська,9.7
2024,санітарно-хімічні показники,нецентралізоване водопостачання,Закарпатська,8.5
2015,радіаційні показники,міські водопроводи,Закарпатська,0.0
2016,радіаційні показники,міські водопроводи,Закарпатська,0.0
2017,радіаційні показники,міські водопроводи,Закарпатська,0.0
2018,радіаційні показники,міські водопроводи,Закарпатська,0.0
2019,радіаційні показники,міські водопроводи,Закарпатська,0.0
2020,радіаційні показники,міські водопроводи,Закарпатська,0.0
2021,радіаційні показники,міські водопроводи,Закарпатська,0.0
2022,радіаційні показники,міські водопроводи,Закарпатська,0.0
2023,радіаційні показники,міські водопроводи,Закарпатська,0.0
2024,радіаційні показники,міські водопроводи,Закарпатська,0.0
2015,радіаційні показники,сільські водопроводи,Закарпатська,0.0
2016,радіаційні показники,сільські водопроводи,Закарпатська,0.0
2017,радіаційні показники,сільські водопроводи,Закарпатська,0.0
2018,радіаційні показники,сільські водопроводи,Закарпатська,0.0
2019,радіаційні показники,сільські водопроводи,Закарпатська,0.0
2020,радіаційні показники,сільські водопроводи,Закарпатська,0.0
2021,радіаційні показники,сільські водопроводи,Закарпатська,0.0
2022,радіаційні показники,сільські водопроводи,Закарпатська,0.0
2023,радіаційні показники,сільські водопроводи,Закарпатська,0.0
2024,радіаційні показники,сільські водопроводи,Закарпатська,0.0
2015,радіаційні показники,нецентралізоване водопостачання,Закарпатська,0.0
2016,радіаційні показники,нецентралізоване водопостачання,Закарпатська,0.0
2017,радіаційні показники,нецентралізоване водопостачання,Закарпатська,0.0
2018,радіаційні показники,нецентралізоване водопостачання,Закарпатська,0.0
2019,радіаційні показники,нецентралізоване водопостачання,Закарпатська,0.0
2020,радіаційні показники,нецентралізоване водопостачання,Закарпатська,0.0
2021,радіаційні показники,нецентралізоване водопостачання,Закарпатська,0.0
2022,радіаційні показники,нецентралізоване водопостачання,Закарпатська,0.0
2023,радіаційні показники,нецентралізоване водопостачання,Закарпатська,4.4
2024,радіаційні показники,нецентралізоване водопостачання,Закарпатська,0.0
2015,мікробіологічні показники,міські водопроводи,Запорізька,1.9
2016,мікробіологічні показники,міські водопроводи,Запорізька,2.0
2017,мікробіологічні показники,міські водопроводи,Запорізька,2.3
2018,мікробіологічні показники,міські водопроводи,Запорізька,1.4
2019,мікробіологічні показники,міські водопроводи,Запорізька,3.0
2020,мікробіологічні показники,міські водопроводи,Запорізька,1.6
2021,мікробіологічні показники,міські водопроводи,Запорізька,4.0
2022,мікробіологічні показники,міські водопроводи,Запорізька,2.2
2023,мікробіологічні показники,міські водопроводи,Запорізька,6.7
2024,мікробіологічні показники,міські водопроводи,Запорізька,3.3
2015,мікробіологічні показники,сільські водопроводи,Запорізька,2.3
2016,мікробіологічні показники,сільські водопроводи,Запорізька,2.3
2017,мікробіологічні показники,сільські водопроводи,Запорізька,3.5
2018,мікробіологічні показники,сільські водопроводи,Запорізька,4.3
2019,мікробіологічні показники,сільські водопроводи,Запорізька,6.1
2020,мікробіологічні показники,сільські водопроводи,Запорізька,7.0
2021,мікробіологічні показники,сільські водопроводи,Запорізька,4.1
2022,мікробіологічні показники,сільські водопроводи,Запорізька,0.0
2023,мікробіологічні показники,сільські водопроводи,Запорізька,1.3
2024,мікробіологічні показники,сільські водопроводи,Запорізька,0.8
2015,мікробіологічні показники,нецентралізоване водопостачання,Запорізька,0.6
2016,мікробіологічні показники,нецентралізоване водопостачання,Запорізька,25.4
2017,мікробіологічні показники,нецентралізоване водопостачання,Запорізька,19.3
2018,мікробіологічні показники,нецентралізоване водопостачання,Запорізька,13.7
2019,мікробіологічні показники,нецентралізоване водопостачання,Запорізька,20.4
2020,мікробіологічні показники,нецентралізоване водопостачання,Запорізька,23.1
2021,мікробіологічні показники,нецентралізоване водопостачання,Запорізька,2.7
2022,мікробіологічні показники,нецентралізоване водопостачання,Запорізька,68.0
2023,мікробіологічні показники,нецентралізоване водопостачання,Запорізька,55.3
2024,мікробіологічні показники,нецентралізоване водопостачання,Запорізька,68.4
2015,санітарно-хімічні показники,міські водопроводи,Запорізька,17.3
2016,санітарно-хімічні показники,міські водопроводи,Запорізька,17.7
2017,санітарно-хімічні показники,міські водопроводи,Запорізька,23.8
2018,санітарно-хімічні показники,міські водопроводи,Запорізька,26.0
2019,санітарно-хімічні показники,міські водопроводи,Запорізька,20.8
2020,санітарно-хімічні показники,міські водопроводи,Запорізька,19.0
2021,санітарно-хімічні показники,міські водопроводи,Запорізька,18.1
2022,санітарно-хімічні показники,міські водопроводи,Запорізька,5.8
2023,санітарно-хімічні показники,міські водопроводи,Запорізька,9.2
2024,санітарно-хімічні показники,міські водопроводи,Запорізька,7.9
2015,санітарно-хімічні показники,сільські водопроводи,Запорізька,36.3
2016,санітарно-хімічні показники,сільські водопроводи,Запорізька,39.7
2017,санітарно-хімічні показники,сільські водопроводи,Запорізька,40.0
2018,санітарно-хімічні показники,сільські водопроводи,Запорізька,39.3
2019,санітарно-хімічні показники,сільські водопроводи,Запорізька,39.2
2020,санітарно-хімічні показники,сільські водопроводи,Запорізька,39.3
2021,санітарно-хімічні показники,сільські водопроводи,Запорізька,43.0
2022,санітарно-хімічні показники,сільські водопроводи,Запорізька,11.4
2023,санітарно-хімічні показники,сільські водопроводи,Запорізька,27.4
2024,санітарно-хімічні показники,сільські водопроводи,Запорізька,5.3
2015,санітарно-хімічні показники,нецентралізоване водопостачання,Запорізька,67.7
2016,санітарно-хімічні показники,нецентралізоване водопостачання,Запорізька,41.1
2017,санітарно-хімічні показники,нецентралізоване водопостачання,Запорізька,54.8
2018,санітарно-хімічні показники,нецентралізоване водопостачання,Запорізька,49.8
2019,санітарно-хімічні показники,нецентралізоване водопостачання,Запорізька,71.6
2020,санітарно-хімічні показники,нецентралізоване водопостачання,Запорізька,56.2
2021,санітарно-хімічні показники,нецентралізоване водопостачання,Запорізька,45.9
2022,санітарно-хімічні показники,нецентралізоване водопостачання,Запорізька,68.0
2023,санітарно-хімічні показники,нецентралізоване водопостачання,Запорізька,55.3
2024,санітарно-хімічні показники,нецентралізоване водопостачання,Запорізька,50.0
2015,радіаційні показники,міські водопроводи,Запорізька,23.3
2016,радіаційні показники,міські водопроводи,Запорізька,14.2
2017,радіаційні показники,міські водопроводи,Запорізька,20.6
