Year,Type of residence,Household type,Region,Value
2017,,,Autonomous Republic of Crimea,
2017,,,Vinnytsya,13.5
2017,,,Volyn,13.7
2017,,,Dnipropetrovsk,15.5
2017,,,Donetsk,15.6
2017,,,Zhytomyr,14.2
2017,,,Zakarpattya,11.7
2017,,,Zaporizhzhya,13.9
2017,,,Ivano-Frankivsk,12.7
2017,,,Kyiv,19.0
2017,,,Kirovohrad,11.6
2017,,,Luhansk,17.4
2017,,,Lviv,13.1
2017,,,Mykolayiv,13.6
2017,,,Odesa,17.2
2017,,,Poltava,17.0
2017,,,Rivne,13.9
2017,,,Sumy,15.3
2017,,,Ternopil,13.2
2017,,,Kharkiv,19.0
2017,,,Kherson,15.2
2017,,,Khmelnytskiy,17.6
2017,,,Cherkasy,16.7
2017,,,Chernivtsi,14.5
2017,,,Chernihiv,14.1
2017,,,city Kyiv,18.0
2017,,,city Sevastopol,
2018,,,,13.9
2018,,households with children,,12.8
2018,,households without children,,14.9
2018,urban,,,15.0
2018,rural,,,11.4
2018,,,Autonomous Republic of Crimea,
2018,,,Vinnytsya,12.4
2018,,,Volyn,12.5
2018,,,Dnipropetrovsk,13.1
2018,,,Donetsk,15.6
2018,,,Zhytomyr,12.6
2018,,,Zakarpattya,9.3
2018,,,Zaporizhzhya,12.4
2018,,,Ivano-Frankivsk,12.6
2018,,,Kyiv,17.4
2018,,,Kirovohrad,10.9
2018,,,Luhansk,14.7
2018,,,Lviv,11.7
2018,,,Mykolayiv,11.7
2018,,,Odesa,16.6
2018,,,Poltava,16.5
2018,,,Rivne,13.4
2018,,,Sumy,14.2
2018,,,Ternopil,13.2
2018,,,Kharkiv,16.9
2018,,,Kherson,13.8
2018,,,Khmelnytskiy,14.0
2018,,,Cherkasy,13.6
2018,,,Chernivtsi,11.7
2018,,,Chernihiv,12.5
2018,,,city Kyiv,16.1
2018,,,city Sevastopol,
2019,,,,13.0
2019,,households with children,,12.0
2019,,households without children,,13.8
2019,urban,,,14.4
2019,rural,,,9.7
2019,,,Autonomous Republic of Crimea,
2019,,,Vinnytsya,11.4
2019,,,Volyn,9.3
2019,,,Dnipropetrovsk,13.0
2019,,,Donetsk,13.2
2019,,,Zhytomyr,11.0
2019,,,Zakarpattya,10.5
2019,,,Zaporizhzhya,12.7
2019,,,Ivano-Frankivsk,10.9
2019,,,Kyiv,16.0
2019,,,Kirovohrad,9.6
2019,,,Luhansk,14.4
2019,,,Lviv,10.1
2019,,,Mykolayiv,10.8
2019,,,Odesa,16.2
2019,,,Poltava,15.7
2019,,,Rivne,12.1
2019,,,Sumy,14.6
2019,,,Ternopil,10.8
2019,,,Kharkiv,17.4
2019,,,Kherson,13.3
2019,,,Khmelnytskiy,11.0
2019,,,Cherkasy,13.0
2019,,,Chernivtsi,8.2
2019,,,Chernihiv,11.0
2019,,,city Kyiv,15.7
2019,,,city Sevastopol,
2020,,,,12.9
2020,,households with children,,12.4
2020,,households without children,,13.3
2020,urban,,,14.6
2020,rural,,,9.0
2020,,,Autonomous Republic of Crimea,
2020,,,Vinnytsya,11.3
2020,,,Volyn,9.2
2020,,,Dnipropetrovsk,12.0
2020,,,Donetsk,13.0
2020,,,Zhytomyr,11.3
2020,,,Zakarpattya,9.4
2020,,,Zaporizhzhya,10.8
2020,,,Ivano-Frankivsk,9.4
2020,,,Kyiv,16.3
2020,,,Kirovohrad,10.3
2020,,,Luhansk,12.1
2020,,,Lviv,11.0
2020,,,Mykolayiv,11.7
2020,,,Odesa,15.6
2020,,,Poltava,14.8
2020,,,Rivne,13.8
2020,,,Sumy,13.3
2020,,,Ternopil,10.5
2020,,,Kharkiv,16.9
2020,,,Kherson,12.6
2020,,,Khmelnytskiy,10.3
2020,,,Cherkasy,11.8
2020,,,Chernivtsi,10.8
2020,,,Chernihiv,10.1
2020,,,city Kyiv,18.0
2020,,,city Sevastopol,
2021,,,,13.8
2021,,households with children,,12.7
2021,,households without children,,14.8
2021,urban,,,15.4
2021,rural,,,10.1
2021,,,Autonomous Republic of Crimea,
2021,,,Vinnytsya,12.3
2021,,,Volyn,10.5
2021,,,Dnipropetrovsk,13.2
2021,,,Donetsk,16.5
2021,,,Zhytomyr,12.3
2021,,,Zakarpattya,11.3
2021,,,Zaporizhzhya,11.7
2021,,,Ivano-Frankivsk,10.7
2021,,,Kyiv,15.8
2021,,,Kirovohrad,12.7
2021,,,Luhansk,12.2
2021,,,Lviv,11.4
2021,,,Mykolayiv,13.4
2021,,,Odesa,18.3
2021,,,Poltava,17.7
2021,,,Rivne,13.2
2021,,,Sumy,14.3
2021,,,Ternopil,12.3
2021,,,Kharkiv,17.3
2021,,,Kherson,13.0
2021,,,Khmelnytskiy,12.5
2021,,,Cherkasy,12.4
2021,,,Chernivtsi,8.4
2021,,,Chernihiv,11.0
2021,,,city Kyiv,17.3
2021,,,city Sevastopol,
2022,,,,
2022,,households with children,,
2022,,households without children,,
2022,urban,,,
2022,rural,,,
2022,,,Autonomous Republic of Crimea,
2022,,,Vinnytsya,
2022,,,Volyn,
2022,,,Dnipropetrovsk,
2022,,,Donetsk,
2022,,,Zhytomyr,
2022,,,Zakarpattya,
2022,,,Zaporizhzhya,
2022,,,Ivano-Frankivsk,
2022,,,Kyiv,
2022,,,Kirovohrad,
2022,,,Luhansk,
2022,,,Lviv,
2022,,,Mykolayiv,
2022,,,Odesa,
2022,,,Poltava,
2022,,,Rivne,
2022,,,Sumy,
2022,,,Ternopil,
2022,,,Kharkiv,
2022,,,Kherson,
2022,,,Khmelnytskiy,
2022,,,Cherkasy,
2022,,,Chernivtsi,
2022,,,Chernihiv,
2022,,,city Kyiv,
2022,,,city Sevastopol,
2023,,,,
2023,,households with children,,
2023,,households without children,,
2023,urban,,,
2023,rural,,,
2023,,,Autonomous Republic of Crimea,
2023,,,Vinnytsya,
2023,,,Volyn,
2023,,,Dnipropetrovsk,
2023,,,Donetsk,
2023,,,Zhytomyr,
2023,,,Zakarpattya,
2023,,,Zaporizhzhya,
2023,,,Ivano-Frankivsk,
2023,,,Kyiv,
2023,,,Kirovohrad,
2023,,,Luhansk,
2023,,,Lviv,
2023,,,Mykolayiv,
2023,,,Odesa,
2023,,,Poltava,
2023,,,Rivne,
2023,,,Sumy,
2023,,,Ternopil,
2023,,,Kharkiv,
2023,,,Kherson,
2023,,,Khmelnytskiy,
2023,,,Cherkasy,
2023,,,Chernivtsi,
2023,,,Chernihiv,
2023,,,city Kyiv,
2023,,,city Sevastopol,
2024,,,,
2024,,households with children,,
2024,,households without children,,
2024,urban,,,
2024,rural,,,
2024,,,Autonomous Republic of Crimea,
2024,,,Vinnytsya,
2024,,,Volyn,
2024,,,Dnipropetrovsk,
2024,,,Donetsk,
2024,,,Zhytomyr,
2024,,,Zakarpattya,
2024,,,Zaporizhzhya,
2024,,,Ivano-Frankivsk,
2024,,,Kyiv,
2024,,,Kirovohrad,
2024,,,Luhansk,
2024,,,Lviv,
2024,,,Mykolayiv,
2024,,,Odesa,
2024,,,Poltava,
2024,,,Rivne,
2024,,,Sumy,
2024,,,Ternopil,
2024,,,Kharkiv,
2024,,,Kherson,
2024,,,Khmelnytskiy,
2024,,,Cherkasy,
2024,,,Chernivtsi,
2024,,,Chernihiv,
2024,,,city Kyiv,
2024,,,city Sevastopol,
