Year,Infectious diseases,Age,Region,Value
2015,"Measles, mumps, rubella",1 year,Donetsk,86.3
2015,"Measles, mumps, rubella",6 years,Donetsk,79.2
2015,Hepatitis B,under 1 year,Donetsk,6.2
2015,Tuberculosis,under 1 year,Zhytomyr,34.4
2015,Poliomyelitis,under 1 year,Zhytomyr,79.4
2015,Poliomyelitis,18 months,Zhytomyr,119.3
2015,Poliomyelitis,6 years,Zhytomyr,67.6
2015,Poliomyelitis,14 years,Zhytomyr,65.4
2015,"Diphtheria, tetanus",under 1 year,Zhytomyr,9.0
2015,Pertussis,under 1 year,Zhytomyr,9.0
2015,"Diphtheria, tetanus",18 months,Zhytomyr,7.9
2015,Pertussis,18 months,Zhytomyr,7.9
2015,"Diphtheria, tetanus",6 years,Zhytomyr,0.0
2015,"Diphtheria, tetanus",adults,Zhytomyr,0.0
2015,"Measles, mumps, rubella",1 year,Zhytomyr,57.4
2015,"Measles, mumps, rubella",6 years,Zhytomyr,67.2
2015,Hepatitis B,under 1 year,Zhytomyr,41.6
2015,Tuberculosis,under 1 year,Zakarpattya,37.9
2015,Poliomyelitis,under 1 year,Zakarpattya,57.8
2015,Poliomyelitis,18 months,Zakarpattya,72.6
2015,Poliomyelitis,6 years,Zakarpattya,62.7
2015,Poliomyelitis,14 years,Zakarpattya,60.2
2015,"Diphtheria, tetanus",under 1 year,Zakarpattya,22.0
2015,Pertussis,under 1 year,Zakarpattya,22.0
2015,"Diphtheria, tetanus",18 months,Zakarpattya,24.1
2015,Pertussis,18 months,Zakarpattya,24.1
2015,"Diphtheria, tetanus",6 years,Zakarpattya,0.0
2015,"Diphtheria, tetanus",adults,Zakarpattya,0.0
2015,"Measles, mumps, rubella",1 year,Zakarpattya,61.4
2015,"Measles, mumps, rubella",6 years,Zakarpattya,71.4
2015,Hepatitis B,under 1 year,Zakarpattya,19.1
2015,Tuberculosis,under 1 year,Zaporizhzhya,44.5
2015,Poliomyelitis,under 1 year,Zaporizhzhya,47.8
2015,Poliomyelitis,18 months,Zaporizhzhya,74.9
2015,Poliomyelitis,6 years,Zaporizhzhya,43.9
2015,Poliomyelitis,14 years,Zaporizhzhya,26.8
2015,"Diphtheria, tetanus",under 1 year,Zaporizhzhya,19.6
2015,Pertussis,under 1 year,Zaporizhzhya,19.6
2015,"Diphtheria, tetanus",18 months,Zaporizhzhya,20.5
2015,Pertussis,18 months,Zaporizhzhya,20.5
2015,"Diphtheria, tetanus",6 years,Zaporizhzhya,10.8
2015,"Diphtheria, tetanus",adults,Zaporizhzhya,0.9
2015,"Measles, mumps, rubella",1 year,Zaporizhzhya,72.8
2015,"Measles, mumps, rubella",6 years,Zaporizhzhya,50.7
2015,Hepatitis B,under 1 year,Zaporizhzhya,31.3
2015,Tuberculosis,under 1 year,Ivano-Frankivsk,29.5
2015,Poliomyelitis,under 1 year,Ivano-Frankivsk,43.1
2015,Poliomyelitis,18 months,Ivano-Frankivsk,56.2
2015,Poliomyelitis,6 years,Ivano-Frankivsk,47.4
2015,Poliomyelitis,14 years,Ivano-Frankivsk,47.7
2015,"Diphtheria, tetanus",under 1 year,Ivano-Frankivsk,19.7
2015,Pertussis,under 1 year,Ivano-Frankivsk,19.7
2015,"Diphtheria, tetanus",18 months,Ivano-Frankivsk,24.1
2015,Pertussis,18 months,Ivano-Frankivsk,24.1
2015,"Diphtheria, tetanus",6 years,Ivano-Frankivsk,0.0
2015,"Diphtheria, tetanus",adults,Ivano-Frankivsk,0.0
2015,"Measles, mumps, rubella",1 year,Ivano-Frankivsk,64.0
2015,"Measles, mumps, rubella",6 years,Ivano-Frankivsk,47.8
2015,Hepatitis B,under 1 year,Ivano-Frankivsk,38.5
2015,Tuberculosis,under 1 year,Kirovohrad,51.9
2015,Poliomyelitis,under 1 year,Kirovohrad,66.9
2015,Poliomyelitis,18 months,Kirovohrad,94.1
2015,Poliomyelitis,6 years,Kirovohrad,75.8
2015,Poliomyelitis,14 years,Kirovohrad,65.6
2015,"Diphtheria, tetanus",under 1 year,Kirovohrad,39.4
2015,Pertussis,under 1 year,Kirovohrad,39.4
2015,"Diphtheria, tetanus",18 months,Kirovohrad,28.3
2015,Pertussis,18 months,Kirovohrad,28.3
2015,"Diphtheria, tetanus",6 years,Kirovohrad,0.0
2015,"Diphtheria, tetanus",adults,Kirovohrad,0.0
2015,"Measles, mumps, rubella",1 year,Kirovohrad,39.6
2015,"Measles, mumps, rubella",6 years,Kirovohrad,27.4
2015,Hepatitis B,under 1 year,Kirovohrad,22.2
2015,Tuberculosis,under 1 year,Luhansk,78.4
2015,Poliomyelitis,under 1 year,Luhansk,50.2
2015,Poliomyelitis,18 months,Luhansk,70.6
2015,Poliomyelitis,6 years,Luhansk,52.4
2015,Poliomyelitis,14 years,Luhansk,68.9
2015,"Diphtheria, tetanus",under 1 year,Luhansk,51.5
2015,Pertussis,under 1 year,Luhansk,51.5
2015,"Diphtheria, tetanus",18 months,Luhansk,57.0
2015,Pertussis,18 months,Luhansk,57.0
2015,"Diphtheria, tetanus",6 years,Luhansk,11.8
2015,"Diphtheria, tetanus",adults,Luhansk,0.2
2015,"Measles, mumps, rubella",1 year,Luhansk,96.6
2015,"Measles, mumps, rubella",6 years,Luhansk,67.8
2015,Hepatitis B,under 1 year,Luhansk,45.5
2015,Tuberculosis,under 1 year,Lviv,15.2
2015,Poliomyelitis,under 1 year,Lviv,59.0
2015,Poliomyelitis,18 months,Lviv,80.5
2015,Poliomyelitis,6 years,Lviv,42.6
2015,Poliomyelitis,14 years,Lviv,56.8
2015,"Diphtheria, tetanus",under 1 year,Lviv,24.0
2015,Pertussis,under 1 year,Lviv,24.0
2015,"Diphtheria, tetanus",18 months,Lviv,28.9
2015,Pertussis,18 months,Lviv,28.9
2015,"Diphtheria, tetanus",6 years,Lviv,0.0
2015,"Diphtheria, tetanus",adults,Lviv,0.0
2015,"Measles, mumps, rubella",1 year,Lviv,73.0
2015,"Measles, mumps, rubella",6 years,Lviv,77.6
2015,Hepatitis B,under 1 year,Lviv,26.9
2015,Tuberculosis,under 1 year,Mykolayiv,61.0
2015,Poliomyelitis,under 1 year,Mykolayiv,48.5
2015,Poliomyelitis,18 months,Mykolayiv,65.5
2015,Poliomyelitis,6 years,Mykolayiv,59.6
2015,Poliomyelitis,14 years,Mykolayiv,86.1
2015,"Diphtheria, tetanus",under 1 year,Mykolayiv,21.9
2015,Pertussis,under 1 year,Mykolayiv,21.9
2015,"Diphtheria, tetanus",18 months,Mykolayiv,11.7
2015,Pertussis,18 months,Mykolayiv,11.7
2015,"Diphtheria, tetanus",6 years,Mykolayiv,0.0
2015,"Diphtheria, tetanus",adults,Mykolayiv,0.0
2015,"Measles, mumps, rubella",1 year,Mykolayiv,75.0
2015,"Measles, mumps, rubella",6 years,Mykolayiv,63.4
2015,Hepatitis B,under 1 year,Mykolayiv,20.9
2015,Tuberculosis,under 1 year,Odesa,39.3
2015,Poliomyelitis,under 1 year,Odesa,65.9
2015,Poliomyelitis,18 months,Odesa,88.1
2015,Poliomyelitis,6 years,Odesa,54.3
2015,Poliomyelitis,14 years,Odesa,52.1
2015,"Diphtheria, tetanus",under 1 year,Odesa,46.7
2015,Pertussis,under 1 year,Odesa,46.7
2015,"Diphtheria, tetanus",18 months,Odesa,58.0
2015,Pertussis,18 months,Odesa,58.0
2015,"Diphtheria, tetanus",6 years,Odesa,7.2
2015,"Diphtheria, tetanus",adults,Odesa,0.1
2015,"Measles, mumps, rubella",1 year,Odesa,61.9
2015,"Measles, mumps, rubella",6 years,Odesa,65.6
2015,Hepatitis B,under 1 year,Odesa,11.4
2015,Tuberculosis,under 1 year,Poltava,16.5
2015,Poliomyelitis,under 1 year,Poltava,23.4
2015,Poliomyelitis,18 months,Poltava,87.7
2015,Poliomyelitis,6 years,Poltava,15.9
2015,Poliomyelitis,14 years,Poltava,37.8
2015,"Diphtheria, tetanus",under 1 year,Poltava,14.9
2015,Pertussis,under 1 year,Poltava,14.9
2015,"Diphtheria, tetanus",18 months,Poltava,55.6
2015,Pertussis,18 months,Poltava,55.6
2015,"Diphtheria, tetanus",6 years,Poltava,0.5
2015,"Diphtheria, tetanus",adults,Poltava,0.0
2015,"Measles, mumps, rubella",1 year,Poltava,31.5
2015,"Measles, mumps, rubella",6 years,Poltava,23.4
2015,Hepatitis B,under 1 year,Poltava,6.3
2015,Tuberculosis,under 1 year,Rivne,25.3
2015,Poliomyelitis,under 1 year,Rivne,63.6
2015,Poliomyelitis,18 months,Rivne,78.2
2015,Poliomyelitis,6 years,Rivne,68.2
