Year,Total number and fatality,Sex,Types of economic activity,Value
2017,,,Housing and communal economy,
2018,,,Housing and communal economy,
2019,,,Housing and communal economy,
2020,,,Housing and communal economy,
2021,,,Housing and communal economy,
2022,,,Housing and communal economy,
2023,,,Housing and communal economy,
2024,,,Housing and communal economy,22.0
2015,,,Agro-industrial complex,
2016,,,Agro-industrial complex,
2017,,,Agro-industrial complex,
2018,,,Agro-industrial complex,
2019,,,Agro-industrial complex,
2020,,,Agro-industrial complex,
2021,,,Agro-industrial complex,
2022,,,Agro-industrial complex,
2023,,,Agro-industrial complex,
2024,,,Agro-industrial complex,19.0
2015,,,Woodworking industry,
2016,,,Woodworking industry,
2017,,,Woodworking industry,
2018,,,Woodworking industry,
2019,,,Woodworking industry,
2020,,,Woodworking industry,
2021,,,Woodworking industry,
2022,,,Woodworking industry,
2023,,,Woodworking industry,
2024,,,Woodworking industry,30.0
2015,,,Light and textile industry,
2016,,,Light and textile industry,
2017,,,Light and textile industry,
2018,,,Light and textile industry,
2019,,,Light and textile industry,
2020,,,Light and textile industry,
2021,,,Light and textile industry,
2022,,,Light and textile industry,
2023,,,Light and textile industry,
2024,,,Light and textile industry,10.0
2015,,,Socio-cultural sphere and trade,
2016,,,Socio-cultural sphere and trade,
2017,,,Socio-cultural sphere and trade,
2018,,,Socio-cultural sphere and trade,
2019,,,Socio-cultural sphere and trade,
2020,,,Socio-cultural sphere and trade,
2021,,,Socio-cultural sphere and trade,
2022,,,Socio-cultural sphere and trade,
2023,,,Socio-cultural sphere and trade,
2024,,,Socio-cultural sphere and trade,12.0
