Year,Види економічної діяльності,Value
2015,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 26+27+28)",
2016,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 26+27+28)",
2017,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 26+27+28)",
2018,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 26+27+28)",3.6
2019,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 26+27+28)",
2020,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 26+27+28)",6.3
2021,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 26+27+28)",
2022,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 26+27+28)",3.7
2023,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 26+27+28)",
2024,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 26+27+28)",4.1
2015,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів (Код за КВЕД-2010 – 29+30)",
2016,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів (Код за КВЕД-2010 – 29+30)",
2017,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів (Код за КВЕД-2010 – 29+30)",
2018,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів (Код за КВЕД-2010 – 29+30)",5.4
2019,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів (Код за КВЕД-2010 – 29+30)",
2020,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів (Код за КВЕД-2010 – 29+30)",4.8
2021,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів (Код за КВЕД-2010 – 29+30)",
2022,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів (Код за КВЕД-2010 – 29+30)",3.4
2023,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів (Код за КВЕД-2010 – 29+30)",
2024,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів (Код за КВЕД-2010 – 29+30)",12.2
2015,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування (Код за КВЕД-2010 – 31+32+33)",
2016,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування (Код за КВЕД-2010 – 31+32+33)",
2017,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування (Код за КВЕД-2010 – 31+32+33)",
2018,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування (Код за КВЕД-2010 – 31+32+33)",1.6
2019,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування (Код за КВЕД-2010 – 31+32+33)",
2020,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування (Код за КВЕД-2010 – 31+32+33)",0.9
2021,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування (Код за КВЕД-2010 – 31+32+33)",
2022,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування (Код за КВЕД-2010 – 31+32+33)",0.8
2023,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування (Код за КВЕД-2010 – 31+32+33)",
2024,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування (Код за КВЕД-2010 – 31+32+33)",1.5
2015,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",
2016,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",
2017,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",
2018,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",0.02
