Year,Місцевість проживання,Домогосподарства,Область,Value
2016,,,Одеська,14.4
2017,,,Одеська,17.2
2018,,,Одеська,16.6
2019,,,Одеська,16.2
2020,,,Одеська,15.6
2021,,,Одеська,18.3
2015,,,Полтавська,11.0
2016,,,Полтавська,18.8
2017,,,Полтавська,17.0
2018,,,Полтавська,16.5
2019,,,Полтавська,15.7
2019,,,,13.0
2019,,Домогосподарства з дітьми,,12.0
2019,,Домогосподарства без дітей,,13.8
2019,сільська,,,9.7
2019,міська,,,14.4
2020,,,Полтавська,14.8
2021,,,Полтавська,17.7
2015,,,Рівненська,8.6
2016,,,Рівненська,12.7
2017,,,Рівненська,13.9
2018,,,Рівненська,13.4
2019,,,Рівненська,12.1
2020,,,Рівненська,13.8
2021,,,Рівненська,13.2
2015,,,Сумська,9.4
2016,,,Сумська,15.8
2017,,,Сумська,15.3
2018,,,Сумська,14.2
2019,,,Сумська,14.6
2020,,,Сумська,13.3
2021,,,Сумська,14.3
2015,,,Тернопільська,9.5
2016,,,Тернопільська,15.3
2017,,,Тернопільська,13.2
2018,,,Тернопільська,13.2
2019,,,Тернопільська,10.8
2020,,,Тернопільська,10.5
2021,,,Тернопільська,12.3
2015,,,Харківська,13.0
2020,,,,12.9
2020,,Домогосподарства з дітьми,,12.4
2020,,Домогосподарства без дітей,,13.3
2020,сільська,,,9.0
2020,міська,,,14.6
2016,,,Харківська,17.7
2017,,,Харківська,19.0
2018,,,Харківська,16.9
2019,,,Харківська,17.4
2020,,,Харківська,16.9
2021,,,Харківська,17.3
2015,,,Херсонська,10.0
2016,,,Херсонська,12.6
2017,,,Херсонська,15.2
2018,,,Херсонська,13.8
2019,,,Херсонська,13.3
2020,,,Херсонська,12.6
2021,,,Херсонська,13.0
2015,,,Черкаська,9.2
2016,,,Черкаська,16.4
2017,,,Черкаська,16.7
2018,,,Черкаська,13.6
2019,,,Черкаська,13.0
2020,,,Черкаська,11.8
2021,,,Черкаська,12.4
2015,,,Чернігівська,8.4
2016,,,Чернігівська,13.0
2017,,,Чернігівська,14.1
2018,,,Чернігівська,12.5
2021,,,,13.8
2021,,Домогосподарства з дітьми,,12.7
2021,,Домогосподарства без дітей,,14.8
2021,сільська,,,10.1
2021,міська,,,15.4
2019,,,Чернігівська,11.0
2020,,,Чернігівська,10.1
2021,,,Чернігівська,11.0
2015,,,м. Київ,12.4
2016,,,м. Київ,16.2
2017,,,м. Київ,18.0
2018,,,м. Київ,16.1
2019,,,м. Київ,15.7
2020,,,м. Київ,18.0
2021,,,м. Київ,17.3
2015,,,23_reg_Mykolaiv,9.9
2016,,,23_reg_Mykolaiv,12.2
2017,,,23_reg_Mykolaiv,13.6
2018,,,23_reg_Mykolaiv,11.7
2019,,,23_reg_Mykolaiv,10.8
2020,,,23_reg_Mykolaiv,11.7
2021,,,23_reg_Mykolaiv,13.4
2015,,,31_reg_Khmelnytsya,10.4
2016,,,31_reg_Khmelnytsya,17.8
2017,,,31_reg_Khmelnytsya,17.6
2018,,,31_reg_Khmelnytsya,14.0
2019,,,31_reg_Khmelnytsya,11.0
2020,,,31_reg_Khmelnytsya,10.3
