Year,Specialty,Education Level,Value
2017,spec_163,,40.37
2018,spec_163,,40.04
2019,spec_163,,40.67
2020,spec_163,,42.71
2021,spec_163,,43.59
2022,spec_163,,43.02
2023,spec_163,,37.47
2024,spec_163,,40.08
2015,spec_171,,
2016,spec_171,,11.05
2017,spec_171,,11.04
2018,spec_171,,10.79
2019,spec_171,,10.58
2020,spec_171,,11.07
2021,spec_171,,10.91
2022,spec_171,,9.7
2023,spec_171,,8.05
2024,spec_171,,7.96
2015,spec_172,,
2016,spec_172,,
2017,spec_172,,
2018,spec_172,,
2019,spec_172,,
2020,spec_172,,
2021,spec_172,,100.0
2022,spec_172,,33.33
2023,spec_172,,8.61
2024,spec_172,,8.98
2015,spec_172_1,,
2016,spec_172_1,,15.68
2017,spec_172_1,,14.9
2018,spec_172_1,,13.72
2019,spec_172_1,,12.9
2020,spec_172_1,,12.39
2021,spec_172_1,,12.19
2022,spec_172_1,,11.43
2023,spec_172_1,,10.66
2024,spec_172_1,,10.66
2015,spec_173,,
2016,spec_173,,16.14
2017,spec_173,,13.89
2018,spec_173,,12.74
2019,spec_173,,13.35
2020,spec_173,,13.36
2021,spec_173,,13.17
2022,spec_173,,13.59
2023,spec_173,,13.78
2024,spec_173,,15.53
2015,spec_174,,
2016,spec_174,,
2017,spec_174,,
2018,spec_174,,
2019,spec_174,,
2020,spec_174,,
2021,spec_174,,
2022,spec_174,,
2023,spec_174,,7.16
2024,spec_174,,7.41
2015,spec_175,,
2016,spec_175,,
2017,spec_175,,
2018,spec_175,,
2019,spec_175,,
2020,spec_175,,
2021,spec_175,,
2022,spec_175,,
2023,spec_175,,11.46
2024,spec_175,,13.08
2015,spec_176,,
2016,spec_176,,
2017,spec_176,,
2018,spec_176,,
2019,spec_176,,
2020,spec_176,,
2021,spec_176,,
2022,spec_176,,
2023,spec_176,,7.61
2024,spec_176,,8.77
2015,spec_181,,
2016,spec_181,,61.32
2017,spec_181,,60.69
2018,spec_181,,60.25
2019,spec_181,,59.74
2020,spec_181,,59.58
2021,spec_181,,59.51
2022,spec_181,,56.29
2023,spec_181,,49.51
2024,spec_181,,45.4
2015,spec_182,,
2016,spec_182,,92.06
2017,spec_182,,91.99
2018,spec_182,,92.17
2019,spec_182,,91.76
2020,spec_182,,91.41
2021,spec_182,,90.35
2022,spec_182,,88.05
2023,spec_182,,75.58
2024,spec_182,,69.27
2015,spec_183,,
2016,spec_183,,58.71
2017,spec_183,,56.36
2018,spec_183,,52.48
2019,spec_183,,49.07
2020,spec_183,,47.09
2021,spec_183,,45.88
2022,spec_183,,38.65
2023,spec_183,,25.37
2024,spec_183,,26.17
2015,spec_184,,33.33
2016,spec_184,,13.97
2017,spec_184,,13.22
2018,spec_184,,13.33
2019,spec_184,,13.72
2020,spec_184,,14.55
2021,spec_184,,15.72
2022,spec_184,,15.07
2023,spec_184,,12.26
2024,spec_184,,11.98
2015,spec_185,,
2016,spec_185,,6.43
2017,spec_185,,7.67
2018,spec_185,,8.48
2019,spec_185,,9.05
2020,spec_185,,9.61
2021,spec_185,,10.64
2022,spec_185,,10.79
2023,spec_185,,8.17
2024,spec_185,,7.09
2015,spec_186,,
2016,spec_186,,51.65
2017,spec_186,,50.74
2018,spec_186,,49.77
2019,spec_186,,51.23
2020,spec_186,,53.93
2021,spec_186,,57.21
2022,spec_186,,55.36
2023,spec_186,,56.58
2024,spec_186,,58.04
2015,spec_187,,
2016,spec_187,,
2017,spec_187,,6.46
2018,spec_187,,7.54
2019,spec_187,,8.73
2020,spec_187,,5.55
2021,spec_187,,11.23
2022,spec_187,,9.0
2023,spec_187,,5.25
2024,spec_187,,3.46
2015,spec_191,,85.71
2016,spec_191,,59.11
2017,spec_191,,60.19
2018,spec_191,,59.44
2019,spec_191,,58.64
2020,spec_191,,59.15
2021,spec_191,,59.82
2022,spec_191,,60.39
2023,spec_191,,61.94
2024,spec_191,,65.39
2015,spec_192,,38.46
2016,spec_192,,21.44
2017,spec_192,,20.77
2018,spec_192,,20.58
2019,spec_192,,20.8
2020,spec_192,,20.89
2021,spec_192,,22.06
2022,spec_192,,20.52
2023,spec_192,,18.03
2024,spec_192,,17.45
2015,spec_193,,
2016,spec_193,,43.59
2017,spec_193,,42.92
2018,spec_193,,42.31
2019,spec_193,,41.76
2020,spec_193,,40.42
2021,spec_193,,40.3
2022,spec_193,,35.04
2023,spec_193,,29.92
2024,spec_193,,26.99
2015,spec_194,,
2016,spec_194,,
2017,spec_194,,32.81
2018,spec_194,,29.18
2019,spec_194,,26.82
2020,spec_194,,24.88
2021,spec_194,,20.48
2022,spec_194,,17.19
2023,spec_194,,13.35
2024,spec_194,,13.77
2015,spec_201,,25.0
2016,spec_201,,27.14
2017,spec_201,,26.14
2018,spec_201,,24.63
2019,spec_201,,24.1
2020,spec_201,,23.64
2021,spec_201,,24.43
2022,spec_201,,22.34
2023,spec_201,,18.49
2024,spec_201,,17.79
2015,spec_202,,
2016,spec_202,,45.72
2017,spec_202,,43.63
2018,spec_202,,41.39
2019,spec_202,,40.55
2020,spec_202,,40.12
2021,spec_202,,38.45
2022,spec_202,,30.85
2023,spec_202,,19.55
2024,spec_202,,21.53
2015,spec_203,,
2016,spec_203,,35.29
2017,spec_203,,36.89
2018,spec_203,,33.05
2019,spec_203,,30.84
2020,spec_203,,28.68
2021,spec_203,,31.03
2022,spec_203,,26.08
2023,spec_203,,22.74
2024,spec_203,,28.89
2015,spec_203_1,,
2016,spec_203_1,,
2017,spec_203_1,,
2018,spec_203_1,,
2019,spec_203_1,,
2020,spec_203_1,,
2021,spec_203_1,,
2022,spec_203_1,,
2023,spec_203_1,,13.59
2024,spec_203_1,,16.96
2015,spec_204,,100.0
2016,spec_204,,52.77
2017,spec_204,,50.49
2018,spec_204,,48.99
2019,spec_204,,48.85
2020,spec_204,,48.89
2021,spec_204,,49.09
2022,spec_204,,46.76
2023,spec_204,,38.61
2024,spec_204,,33.5
2015,spec_205,,
2016,spec_205,,11.9
2017,spec_205,,11.82
2018,spec_205,,10.92
2019,spec_205,,11.16
2020,spec_205,,11.21
2021,spec_205,,11.93
2022,spec_205,,10.26
2023,spec_205,,8.95
2024,spec_205,,8.5
2015,spec_206,,
2016,spec_206,,59.33
2017,spec_206,,62.28
2018,spec_206,,62.08
2019,spec_206,,61.74
2020,spec_206,,62.77
2021,spec_206,,65.05
2022,spec_206,,59.99
2023,spec_206,,48.18
2024,spec_206,,47.67
2015,spec_207,,
2016,spec_207,,32.22
2017,spec_207,,29.82
2018,spec_207,,26.7
2019,spec_207,,25.26
2020,spec_207,,24.18
2021,spec_207,,22.06
2022,spec_207,,19.16
2023,spec_207,,13.45
2024,spec_207,,11.88
2015,spec_208,,
2016,spec_208,,2.11
2017,spec_208,,2.18
2018,spec_208,,2.13
2019,spec_208,,2.44
2020,spec_208,,2.68
2021,spec_208,,2.9
2022,spec_208,,2.74
2023,spec_208,,2.41
2024,spec_208,,2.18
2015,spec_251,,
2016,spec_251,,3.39
2017,spec_251,,5.22
2018,spec_251,,13.5
2019,spec_251,,22.68
2020,spec_251,,28.51
2021,spec_251,,33.8
2022,spec_251,,30.65
2023,spec_251,,18.18
2024,spec_251,,15.0
2015,spec_252,,
2016,spec_252,,
2017,spec_252,,
2018,spec_252,,
2019,spec_252,,
2020,spec_252,,
2021,spec_252,,
2022,spec_252,,
2023,spec_252,,
2024,spec_252,,
2015,spec_253,,
2016,spec_253,,
2017,spec_253,,
2018,spec_253,,
2019,spec_253,,
2020,spec_253,,50.0
2021,spec_253,,33.33
2022,spec_253,,50.0
2023,spec_253,,40.0
2024,spec_253,,20.0
2015,spec_255,,
2016,spec_255,,8.33
2017,spec_255,,4.17
2018,spec_255,,6.06
2019,spec_255,,3.23
2020,spec_255,,3.33
2021,spec_255,,
2022,spec_255,,
2023,spec_255,,
2024,spec_255,,3.13
2015,spec_256,,
2016,spec_256,,
2017,spec_256,,53.57
2018,spec_256,,39.09
2019,spec_256,,34.56
2020,spec_256,,34.28
2021,spec_256,,31.98
2022,spec_256,,30.26
2023,spec_256,,29.42
2024,spec_256,,31.99
2015,spec_257,,
2016,spec_257,,
2017,spec_257,,
2018,spec_257,,
2019,spec_257,,
2020,spec_257,,
2021,spec_257,,
2022,spec_257,,
2023,spec_257,,
2024,spec_257,,
2015,spec_261,,
2016,spec_261,,10.4
2017,spec_261,,10.84
