Year,Види економічної діяльності,Value
2020,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",1.1
2021,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",
2022,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",1.1
2023,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",
2024,"Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів",1.7
2015,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність",
2016,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність",
2017,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність",
2018,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність",1.6
2019,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність",
2020,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність",0.9
2021,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність",
2022,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність",1.6
2023,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність",
2024,"Виготовлення виробів з деревини, паперу та поліграфічна діяльність",1.4
2015,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів",
2016,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів",
2017,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів",
2018,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів",0.9
2019,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів",
2020,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів",к
2021,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів",
2022,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів",0.9
2023,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів",
2024,"Виробництво коксу та продуктів нафтоперероблення, хімічних речовин і хімічної продукції, основних фармацевтичних продуктів і фармацевтичних препаратів",10.4
2015,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2016,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2017,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2018,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",1.5
2019,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2020,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",1.1
2021,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2022,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",0.8
2023,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",
2024,"Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції",0.5
2015,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2016,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2017,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2018,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",0.7
2019,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2020,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",3.5
2021,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2022,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",1.6
2023,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",
2024,"Металургійне виробництво, виробництво готових металевих виробів, крім машин і устатковання",6.7
2015,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у.",
2016,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у.",
2017,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у.",
2018,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у.",3.6
2019,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у.",
2020,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у.",6.3
2021,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у.",
2022,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у.",3.7
2023,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у.",
2024,"Виробництво комп'ютерів, електронної та оптичної продукції, електричного устатковання, машин і устатковання, н.в.і.у.",4.1
2015,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2016,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2017,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2018,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",5.4
2019,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2020,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",4.8
2021,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2022,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",3.4
2023,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",
2024,"Виробництво автотранспортних засобів, причепів і напівпричепів та інших транспортних засобів",12.2
2015,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування",
2016,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування",
2017,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування",
2018,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування",1.6
2019,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування",
2020,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування",0.9
2021,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування",
2022,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування",0.8
2023,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування",
2024,"Виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування",1.5
2015,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2016,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2017,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2018,"Постачання електроенергії, газу, пари та кондиційованого повітря",0.02
2019,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2020,"Постачання електроенергії, газу, пари та кондиційованого повітря",к
2021,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2022,"Постачання електроенергії, газу, пари та кондиційованого повітря",к
2023,"Постачання електроенергії, газу, пари та кондиційованого повітря",
2024,"Постачання електроенергії, газу, пари та кондиційованого повітря",0.1
2015,"Водопостачання; каналізація, поводження з відходами",
2016,"Водопостачання; каналізація, поводження з відходами",
2017,"Водопостачання; каналізація, поводження з відходами",
2018,"Водопостачання; каналізація, поводження з відходами",0.1
2019,"Водопостачання; каналізація, поводження з відходами",
2020,"Водопостачання; каналізація, поводження з відходами",к
2021,"Водопостачання; каналізація, поводження з відходами",
2022,"Водопостачання; каналізація, поводження з відходами",к
2023,"Водопостачання; каналізація, поводження з відходами",
2024,"Водопостачання; каналізація, поводження з відходами",0.4
2015,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод",
2016,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод",
2017,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод",
2018,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод",0.02
2019,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод",
2020,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод",к
2021,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод",
2022,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод",к
2023,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод",
2024,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод",0.6
2015,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами",
2016,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами",
2017,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами",
2018,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами",0.1
2019,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами",
2020,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами",к
2021,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами",
2022,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами",к
2023,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами",
2024,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами",0.0
2015,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2016,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2017,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2018,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",0.5
2019,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2020,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",0.4
2021,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2022,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",0.4
2023,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2024,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",1.1
2015,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",
2016,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",
2017,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",
2018,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",0.1
2019,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",
2020,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",0.1
2021,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",
2022,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",0.1
2023,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",
2024,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами",0.4
2015,"Транспорт, складське господарство, поштова та кур’єрська діяльність",
2016,"Транспорт, складське господарство, поштова та кур’єрська діяльність",
2017,"Транспорт, складське господарство, поштова та кур’єрська діяльність",
2018,"Транспорт, складське господарство, поштова та кур’єрська діяльність",0.3
2019,"Транспорт, складське господарство, поштова та кур’єрська діяльність",
2020,"Транспорт, складське господарство, поштова та кур’єрська діяльність",0.4
2021,"Транспорт, складське господарство, поштова та кур’єрська діяльність",
2022,"Транспорт, складське господарство, поштова та кур’єрська діяльність",0.4
2023,"Транспорт, складське господарство, поштова та кур’єрська діяльність",
2024,"Транспорт, складське господарство, поштова та кур’єрська діяльність",1.6
2015,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт",
2016,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт",
2017,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт",
2018,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт",к
2019,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт",
2020,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт",к
2021,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт",
2022,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт",к
2023,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт",
2024,"Наземний і трубопровідний транспорт, водний транспорт, авіаційний транспорт",0.3
2015,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність",
2016,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність",
2017,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність",
2018,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність",к
2019,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність",
2020,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність",к
2021,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність",
2022,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність",к
2023,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність",
2024,"Складське господарство та допоміжна діяльність у сфері транспорту, поштова та кур'єрська діяльність",3.3
2015,Інформація та телекомунікації,
2016,Інформація та телекомунікації,
2017,Інформація та телекомунікації,
2018,Інформація та телекомунікації,0.7
2019,Інформація та телекомунікації,
2020,Інформація та телекомунікації,0.7
2021,Інформація та телекомунікації,
2022,Інформація та телекомунікації,1.1
2023,Інформація та телекомунікації,
2024,Інформація та телекомунікації,4.8
2015,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення",
2016,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення",
2017,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення",
2018,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення",0.2
2019,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення",
2020,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення",к
2021,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення",
2022,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення",2.6
2023,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення",
2024,"Видавнича діяльність, виробництво кіно- та відеофільмів, телевізійних програм, видання звукозаписів, діяльність у сфері радіомовлення та телевізійного мовлення",1.7
2015,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг",
2016,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг",
2017,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг",
2018,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг",0.8
2019,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг",
2020,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг",0.6
2021,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг",
2022,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг",1.0
2023,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг",
2024,"Телекомунікації (електрозв'язок), комп'ютерне програмування, консультування та пов'язана з ними діяльність, надання інформаційних послуг",5.1
2015,Фінансова та страхова діяльність,
2016,Фінансова та страхова діяльність,
2017,Фінансова та страхова діяльність,
2018,Фінансова та страхова діяльність,4.2
2019,Фінансова та страхова діяльність,
2020,Фінансова та страхова діяльність,к
2021,Фінансова та страхова діяльність,
2022,Фінансова та страхова діяльність,2.8
2023,Фінансова та страхова діяльність,
2024,Фінансова та страхова діяльність,4.5
2015,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2016,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2017,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2018,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",7.8
2019,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2020,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",5.4
2021,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2022,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",8.8
2023,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",
2024,"Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку",8.3
2015,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,
2016,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,
2017,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,
2018,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,1.3
2019,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,
2020,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,0.7
2021,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,
2022,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,к
2023,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,
2024,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,к
2015,Наукові дослідження та розробки,
2016,Наукові дослідження та розробки,
2017,Наукові дослідження та розробки,
2018,Наукові дослідження та розробки,33.3
2019,Наукові дослідження та розробки,
2020,Наукові дослідження та розробки,25.0
2021,Наукові дослідження та розробки,
2022,Наукові дослідження та розробки,31.5
2023,Наукові дослідження та розробки,
2024,Наукові дослідження та розробки,28.1
2015,Рекламна діяльність і дослідження кон'юнктури ринку,
2016,Рекламна діяльність і дослідження кон'юнктури ринку,
2017,Рекламна діяльність і дослідження кон'юнктури ринку,
2018,Рекламна діяльність і дослідження кон'юнктури ринку,0.3
2019,Рекламна діяльність і дослідження кон'юнктури ринку,
2020,Рекламна діяльність і дослідження кон'юнктури ринку,0.4
2021,Рекламна діяльність і дослідження кон'юнктури ринку,
2022,Рекламна діяльність і дослідження кон'юнктури ринку,к
2023,Рекламна діяльність і дослідження кон'юнктури ринку,
2024,Рекламна діяльність і дослідження кон'юнктури ринку,к
