Year,Вік,Стать,Місцевість проживання,by frequency of use,за метою користування,Область,Value
2017,,,,,"участь у соціальних мережах, спілкування (доступ до сайтів, чатів, блогів або обговорення онлайн)",,
2018,,,,,"участь у соціальних мережах, спілкування (доступ до сайтів, чатів, блогів або обговорення онлайн)",,
2019,,,,,"участь у соціальних мережах, спілкування (доступ до сайтів, чатів, блогів або обговорення онлайн)",,
2020,,,,,"участь у соціальних мережах, спілкування (доступ до сайтів, чатів, блогів або обговорення онлайн)",,62.4
2021,,,,,"участь у соціальних мережах, спілкування (доступ до сайтів, чатів, блогів або обговорення онлайн)",,64.3
2022,,,,,"участь у соціальних мережах, спілкування (доступ до сайтів, чатів, блогів або обговорення онлайн)",,
2023,,,,,"участь у соціальних мережах, спілкування (доступ до сайтів, чатів, блогів або обговорення онлайн)",,
2024,,,,,"участь у соціальних мережах, спілкування (доступ до сайтів, чатів, блогів або обговорення онлайн)",,
2015,,,,,скачування програмного забезпечення,,
2016,,,,,скачування програмного забезпечення,,
2017,,,,,скачування програмного забезпечення,,
2018,,,,,скачування програмного забезпечення,,
2019,,,,,скачування програмного забезпечення,,
2020,,,,,скачування програмного забезпечення,,4.3
2021,,,,,скачування програмного забезпечення,,3.2
2022,,,,,скачування програмного забезпечення,,
2023,,,,,скачування програмного забезпечення,,
2024,,,,,скачування програмного забезпечення,,
2015,,,,,"використання інтернет-сховища в особистих цілях для зберігання документів, зображень, музики, відео або інших файлів",,
2016,,,,,"використання інтернет-сховища в особистих цілях для зберігання документів, зображень, музики, відео або інших файлів",,
2017,,,,,"використання інтернет-сховища в особистих цілях для зберігання документів, зображень, музики, відео або інших файлів",,
2018,,,,,"використання інтернет-сховища в особистих цілях для зберігання документів, зображень, музики, відео або інших файлів",,
2019,,,,,"використання інтернет-сховища в особистих цілях для зберігання документів, зображень, музики, відео або інших файлів",,
2020,,,,,"використання інтернет-сховища в особистих цілях для зберігання документів, зображень, музики, відео або інших файлів",,6.4
2021,,,,,"використання інтернет-сховища в особистих цілях для зберігання документів, зображень, музики, відео або інших файлів",,5.4
2022,,,,,"використання інтернет-сховища в особистих цілях для зберігання документів, зображень, музики, відео або інших файлів",,
2023,,,,,"використання інтернет-сховища в особистих цілях для зберігання документів, зображень, музики, відео або інших файлів",,
2024,,,,,"використання інтернет-сховища в особистих цілях для зберігання документів, зображень, музики, відео або інших файлів",,
2015,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу",,
2016,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу",,
2017,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу",,
2018,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу",,
2019,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу",,
2020,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу",,2.5
2021,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу",,1.7
2022,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу",,
2023,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу",,
2024,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу",,
2015,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу, крім повних онлайн-курсів",,
2016,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу, крім повних онлайн-курсів",,
2017,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу, крім повних онлайн-курсів",,
2018,,,,,"проведення навчальних заходів в освітніх, професійних або приватних цілях шляхом онлайн-курсу, крім повних онлайн-курсів",,
