Year,за спеціальностями,за рівнями (ступенями) освіти,Value
2022,Харчові технології,,56.29
2023,Харчові технології,,49.51
2024,Харчові технології,,45.4
2015,Технології легкої промисловості,,
2016,Технології легкої промисловості,,92.06
2017,Технології легкої промисловості,,91.99
2018,Технології легкої промисловості,,92.17
2019,Технології легкої промисловості,,91.76
2020,Технології легкої промисловості,,91.41
2021,Технології легкої промисловості,,90.35
2022,Технології легкої промисловості,,88.05
2023,Технології легкої промисловості,,75.58
2024,Технології легкої промисловості,,69.27
2015,Технології захисту навколишнього середовища,,
2016,Технології захисту навколишнього середовища,,58.71
2017,Технології захисту навколишнього середовища,,56.36
2018,Технології захисту навколишнього середовища,,52.48
2019,Технології захисту навколишнього середовища,,49.07
2020,Технології захисту навколишнього середовища,,47.09
2021,Технології захисту навколишнього середовища,,45.88
2022,Технології захисту навколишнього середовища,,38.65
2023,Технології захисту навколишнього середовища,,25.37
2024,Технології захисту навколишнього середовища,,26.17
2015,Гірництво,,33.33
2016,Гірництво,,13.97
2017,Гірництво,,13.22
2018,Гірництво,,13.33
2019,Гірництво,,13.72
2020,Гірництво,,14.55
2021,Гірництво,,15.72
2022,Гірництво,,15.07
2023,Гірництво,,12.26
2024,Гірництво,,11.98
2015,Нафтогазова інженерія та технології,,
2016,Нафтогазова інженерія та технології,,6.43
2017,Нафтогазова інженерія та технології,,7.67
2018,Нафтогазова інженерія та технології,,8.48
2019,Нафтогазова інженерія та технології,,9.05
2020,Нафтогазова інженерія та технології,,9.61
2021,Нафтогазова інженерія та технології,,10.64
2022,Нафтогазова інженерія та технології,,10.79
2023,Нафтогазова інженерія та технології,,8.17
2024,Нафтогазова інженерія та технології,,7.09
2015,Видавництво та поліграфія,,
2016,Видавництво та поліграфія,,51.65
2017,Видавництво та поліграфія,,50.74
2018,Видавництво та поліграфія,,49.77
2019,Видавництво та поліграфія,,51.23
2020,Видавництво та поліграфія,,53.93
2021,Видавництво та поліграфія,,57.21
2022,Видавництво та поліграфія,,55.36
2023,Видавництво та поліграфія,,56.58
2024,Видавництво та поліграфія,,58.04
2015,Архітектура та містобудування,,85.71
2016,Архітектура та містобудування,,59.11
2017,Архітектура та містобудування,,60.19
2018,Архітектура та містобудування,,59.44
2019,Архітектура та містобудування,,58.64
2020,Архітектура та містобудування,,59.15
2021,Архітектура та містобудування,,59.82
2022,Архітектура та містобудування,,60.39
2023,Архітектура та містобудування,,61.94
2024,Архітектура та містобудування,,65.39
2015,Будівництво та цивільна інженерія,,38.46
2016,Будівництво та цивільна інженерія,,21.44
2017,Будівництво та цивільна інженерія,,20.77
2018,Будівництво та цивільна інженерія,,20.58
2019,Будівництво та цивільна інженерія,,20.8
2020,Будівництво та цивільна інженерія,,20.89
2021,Будівництво та цивільна інженерія,,22.06
2022,Будівництво та цивільна інженерія,,20.52
2023,Будівництво та цивільна інженерія,,18.03
2024,Будівництво та цивільна інженерія,,17.45
2015,Геодезія та землеустрій,,
2016,Геодезія та землеустрій,,43.59
2017,Геодезія та землеустрій,,42.92
2018,Геодезія та землеустрій,,42.31
2019,Геодезія та землеустрій,,41.76
2020,Геодезія та землеустрій,,40.42
2021,Геодезія та землеустрій,,40.3
2022,Геодезія та землеустрій,,35.04
2023,Геодезія та землеустрій,,29.92
2024,Геодезія та землеустрій,,26.99
2015,Агрономія,,25.0
2016,Агрономія,,27.14
2017,Агрономія,,26.14
2018,Агрономія,,24.63
2019,Агрономія,,24.1
2020,Агрономія,,23.64
2021,Агрономія,,24.43
2022,Агрономія,,22.34
2023,Агрономія,,18.49
2024,Агрономія,,17.79
2015,Захист і карантин рослин,,
2016,Захист і карантин рослин,,45.72
2017,Захист і карантин рослин,,43.63
2018,Захист і карантин рослин,,41.39
2019,Захист і карантин рослин,,40.55
2020,Захист і карантин рослин,,40.12
2021,Захист і карантин рослин,,38.45
2022,Захист і карантин рослин,,30.85
2023,Захист і карантин рослин,,19.55
2024,Захист і карантин рослин,,21.53
2015,Садівництво та виноградарство,,
2016,Садівництво та виноградарство,,35.29
2017,Садівництво та виноградарство,,36.89
2018,Садівництво та виноградарство,,33.05
2019,Садівництво та виноградарство,,30.84
2020,Садівництво та виноградарство,,28.68
2021,Садівництво та виноградарство,,31.03
2022,Садівництво та виноградарство,,26.08
2023,Садівництво та виноградарство,,22.74
2024,Садівництво та виноградарство,,28.89
2015,Технологія виробництва і переробки продукції тваринництва,,100.0
2016,Технологія виробництва і переробки продукції тваринництва,,52.77
2017,Технологія виробництва і переробки продукції тваринництва,,50.49
2018,Технологія виробництва і переробки продукції тваринництва,,48.99
2019,Технологія виробництва і переробки продукції тваринництва,,48.85
2020,Технологія виробництва і переробки продукції тваринництва,,48.89
2021,Технологія виробництва і переробки продукції тваринництва,,49.09
2022,Технологія виробництва і переробки продукції тваринництва,,46.76
2023,Технологія виробництва і переробки продукції тваринництва,,38.61
2024,Технологія виробництва і переробки продукції тваринництва,,33.5
2015,Лісове господарство,,
2016,Лісове господарство,,
2017,Лісове господарство,,11.9
2018,Лісове господарство,,11.82
2019,Лісове господарство,,10.92
2020,Лісове господарство,,11.16
2021,Лісове господарство,,11.21
2022,Лісове господарство,,11.93
2023,Лісове господарство,,10.26
2024,Лісове господарство,,8.5
2015,Садово-паркове господарство,,
2016,Садово-паркове господарство,,
2017,Садово-паркове господарство,,59.33
2018,Садово-паркове господарство,,62.28
2019,Садово-паркове господарство,,62.08
2020,Садово-паркове господарство,,61.74
2021,Садово-паркове господарство,,62.77
2022,Садово-паркове господарство,,65.05
2023,Садово-паркове господарство,,59.99
2024,Садово-паркове господарство,,48.18
2015,Водні біоресурси та аквакультура,,
2016,Водні біоресурси та аквакультура,,
2017,Водні біоресурси та аквакультура,,32.22
2018,Водні біоресурси та аквакультура,,29.82
2019,Водні біоресурси та аквакультура,,26.7
2020,Водні біоресурси та аквакультура,,25.26
2021,Водні біоресурси та аквакультура,,24.18
2022,Водні біоресурси та аквакультура,,22.06
2023,Водні біоресурси та аквакультура,,19.16
2024,Водні біоресурси та аквакультура,,13.45
2015,Агроінженерія,,
2016,Агроінженерія,,
2017,Агроінженерія,,2.11
2018,Агроінженерія,,2.18
2019,Агроінженерія,,2.13
2020,Агроінженерія,,2.44
2021,Агроінженерія,,2.68
2022,Агроінженерія,,2.9
2023,Агроінженерія,,2.74
2024,Агроінженерія,,2.41
2015,Пожежна безпека,,
2016,Пожежна безпека,,
2017,Пожежна безпека,,
2018,Пожежна безпека,,
2019,Пожежна безпека,,10.4
2020,Пожежна безпека,,10.84
2021,Пожежна безпека,,12.88
2022,Пожежна безпека,,15.39
2023,Пожежна безпека,,16.9
2024,Пожежна безпека,,17.16
2015,Правоохоронна діяльність,,50.0
2016,Правоохоронна діяльність,,52.82
2017,Правоохоронна діяльність,,47.52
2018,Правоохоронна діяльність,,48.24
2019,Правоохоронна діяльність,,48.92
2020,Правоохоронна діяльність,,51.29
2021,Правоохоронна діяльність,,53.95
2022,Правоохоронна діяльність,,50.01
2023,Правоохоронна діяльність,,47.85
2024,Правоохоронна діяльність,,50.71
2015,Цивільна безпека,,
2016,Цивільна безпека,,31.37
2017,Цивільна безпека,,34.2
2018,Цивільна безпека,,37.53
2019,Цивільна безпека,,38.63
2020,Цивільна безпека,,40.7
2021,Цивільна безпека,,40.89
2022,Цивільна безпека,,35.21
2023,Цивільна безпека,,30.79
2024,Цивільна безпека,,32.27
2015,Морський та внутрішній водний транспорт,,
2016,Морський та внутрішній водний транспорт,,
2017,Морський та внутрішній водний транспорт,,
2018,Морський та внутрішній водний транспорт,,
2019,Морський та внутрішній водний транспорт,,
2020,Морський та внутрішній водний транспорт,,
2021,Морський та внутрішній водний транспорт,,
2022,Морський та внутрішній водний транспорт,,1.12
2023,Морський та внутрішній водний транспорт,,1.35
2024,Морський та внутрішній водний транспорт,,1.79
2015,Річковий та морський транспорт,,
2016,Річковий та морський транспорт,,
2017,Річковий та морський транспорт,,0.46
2018,Річковий та морський транспорт,,0.57
2019,Річковий та морський транспорт,,0.65
2020,Річковий та морський транспорт,,0.73
2021,Річковий та морський транспорт,,0.87
2022,Річковий та морський транспорт,,0.99
2023,Річковий та морський транспорт,,0.99
2024,Річковий та морський транспорт,,7.02
2015,Авіаційний транспорт,,
2016,Авіаційний транспорт,,
2017,Авіаційний транспорт,,20.53
2018,Авіаційний транспорт,,17.3
2019,Авіаційний транспорт,,16.09
2020,Авіаційний транспорт,,15.79
2021,Авіаційний транспорт,,14.43
2022,Авіаційний транспорт,,13.63
2023,Авіаційний транспорт,,13.91
2024,Авіаційний транспорт,,14.75
2015,Залізничний транспорт,,
2016,Залізничний транспорт,,
2017,Залізничний транспорт,,18.56
2018,Залізничний транспорт,,18.46
2019,Залізничний транспорт,,17.47
2020,Залізничний транспорт,,16.39
2021,Залізничний транспорт,,15.59
2022,Залізничний транспорт,,13.78
2023,Залізничний транспорт,,12.76
2024,Залізничний транспорт,,12.16
2015,Автомобільний транспорт,,
2016,Автомобільний транспорт,,
2017,Автомобільний транспорт,,1.36
2018,Автомобільний транспорт,,1.57
2019,Автомобільний транспорт,,1.57
2020,Автомобільний транспорт,,1.58
2021,Автомобільний транспорт,,1.61
2022,Автомобільний транспорт,,1.83
2023,Автомобільний транспорт,,1.82
2024,Автомобільний транспорт,,1.66
2015,Транспортні технології,,
2016,Транспортні технології,,
2017,Транспортні технології,,38.0
2018,Транспортні технології,,37.76
2019,Транспортні технології,,37.88
2020,Транспортні технології,,37.34
2021,Транспортні технології,,36.93
2022,Транспортні технології,,36.6
2023,Транспортні технології,,33.23
2024,Транспортні технології,,29.42
2015,,фаховий молодший бакалавр,
2016,,фаховий молодший бакалавр,
2017,,фаховий молодший бакалавр,
2018,,фаховий молодший бакалавр,
2019,,фаховий молодший бакалавр,
2020,,фаховий молодший бакалавр,20.38
2021,,фаховий молодший бакалавр,20.37
2022,,фаховий молодший бакалавр,19.62
2023,,фаховий молодший бакалавр,18.83
2024,,фаховий молодший бакалавр,16.77
2015,,молодший спеціаліст,27.27
2016,,молодший спеціаліст,20.2
2017,,молодший спеціаліст,19.82
2018,,молодший спеціаліст,19.61
2019,,молодший спеціаліст,19.44
2020,,молодший спеціаліст,18.96
2021,,молодший спеціаліст,18.31
2022,,молодший спеціаліст,17.87
2023,,молодший спеціаліст,13.09
2024,,молодший спеціаліст,14.01
2015,,молодший бакалавр,
2016,,молодший бакалавр,
2017,,молодший бакалавр,
2018,,молодший бакалавр,
2019,,молодший бакалавр,31.03
2020,,молодший бакалавр,26.53
2021,,молодший бакалавр,27.86
2022,,молодший бакалавр,25.12
2023,,молодший бакалавр,13.91
2024,,молодший бакалавр,11.5
2015,,бакалавр,
2016,,бакалавр,24.31
2017,,бакалавр,23.92
2018,,бакалавр,24.0
2019,,бакалавр,24.02
2020,,бакалавр,24.15
2021,,бакалавр,24.47
2022,,бакалавр,23.87
2023,,бакалавр,21.99
2024,,бакалавр,22.55
2015,,спеціаліст,100.0
2016,,спеціаліст,22.24
2017,,спеціаліст,17.95
2018,,спеціаліст,24.78
2019,,спеціаліст,22.86
2020,,спеціаліст,23.81
2021,,спеціаліст,23.08
2022,,спеціаліст,10.0
2023,,спеціаліст,12.22
2024,,спеціаліст,
2015,,магістр,
2016,,магістр,30.64
2017,,магістр,28.35
2018,,магістр,27.06
2019,,магістр,27.41
2020,,магістр,27.13
2021,,магістр,26.01
2022,,магістр,19.51
2023,,магістр,14.74
2024,,магістр,14.88
2015,,доктор філософії,44.9
2016,,доктор філософії,36.37
2017,,доктор філософії,32.4
2018,,доктор філософії,30.24
2019,,доктор філософії,28.82
2020,,доктор філософії,27.7
2021,,доктор філософії,27.91
2022,,доктор філософії,20.66
2023,,доктор філософії,13.71
2024,,доктор філософії,9.68
