Year,Види економічної діяльності,Value
2018,Добування інших корисних копалин та розроблення кар'єрів (Код за КВЕД-2010 – 08),0.1
2019,Добування інших корисних копалин та розроблення кар'єрів (Код за КВЕД-2010 – 08),0.4
2020,Добування інших корисних копалин та розроблення кар'єрів (Код за КВЕД-2010 – 08),c
2021,Добування інших корисних копалин та розроблення кар'єрів (Код за КВЕД-2010 – 08),c
2022,Добування інших корисних копалин та розроблення кар'єрів (Код за КВЕД-2010 – 08),c
2023,Добування інших корисних копалин та розроблення кар'єрів (Код за КВЕД-2010 – 08),c
2024,Добування інших корисних копалин та розроблення кар'єрів (Код за КВЕД-2010 – 08),c
2015,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів (Код за КВЕД-2010 – 09),0.0
2016,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів (Код за КВЕД-2010 – 09),
2017,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів (Код за КВЕД-2010 – 09),0.6
2018,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів (Код за КВЕД-2010 – 09),0.0
2019,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів (Код за КВЕД-2010 – 09),1.1
2020,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів (Код за КВЕД-2010 – 09),c
2021,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів (Код за КВЕД-2010 – 09),c
2022,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів (Код за КВЕД-2010 – 09),
2023,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів (Код за КВЕД-2010 – 09),
2024,Надання допоміжних послуг у сфері добувної промисловості та розроблення кар'єрів (Код за КВЕД-2010 – 09),c
2015,Переробна промисловість (Код за КВЕД-2010 – C),2.1
2016,Переробна промисловість (Код за КВЕД-2010 – C),
2017,Переробна промисловість (Код за КВЕД-2010 – C),1.2
2018,Переробна промисловість (Код за КВЕД-2010 – C),1.3
2019,Переробна промисловість (Код за КВЕД-2010 – C),1.9
2020,Переробна промисловість (Код за КВЕД-2010 – C),2.4
2021,Переробна промисловість (Код за КВЕД-2010 – C),0.9
2022,Переробна промисловість (Код за КВЕД-2010 – C),1.3
2023,Переробна промисловість (Код за КВЕД-2010 – C),1.0
2024,Переробна промисловість (Код за КВЕД-2010 – C),4.8
2015,Виробництво харчових продуктів (Код за КВЕД-2010 – 10),1.2
2016,Виробництво харчових продуктів (Код за КВЕД-2010 – 10),
2017,Виробництво харчових продуктів (Код за КВЕД-2010 – 10),0.6
2018,Виробництво харчових продуктів (Код за КВЕД-2010 – 10),0.8
2019,Виробництво харчових продуктів (Код за КВЕД-2010 – 10),0.9
2020,Виробництво харчових продуктів (Код за КВЕД-2010 – 10),1.1
2021,Виробництво харчових продуктів (Код за КВЕД-2010 – 10),0.4
2022,Виробництво харчових продуктів (Код за КВЕД-2010 – 10),0.6
2023,Виробництво харчових продуктів (Код за КВЕД-2010 – 10),0.6
2024,Виробництво харчових продуктів (Код за КВЕД-2010 – 10),2.1
2015,Виробництво напоїв (Код за КВЕД-2010 – 11),2.6
2016,Виробництво напоїв (Код за КВЕД-2010 – 11),
2017,Виробництво напоїв (Код за КВЕД-2010 – 11),3.2
2018,Виробництво напоїв (Код за КВЕД-2010 – 11),3.1
2019,Виробництво напоїв (Код за КВЕД-2010 – 11),2.3
2020,Виробництво напоїв (Код за КВЕД-2010 – 11),1.6
2021,Виробництво напоїв (Код за КВЕД-2010 – 11),0.7
2022,Виробництво напоїв (Код за КВЕД-2010 – 11),3.7
2023,Виробництво напоїв (Код за КВЕД-2010 – 11),3.1
2024,Виробництво напоїв (Код за КВЕД-2010 – 11),3.6
2015,Виробництво тютюнових виробів (Код за КВЕД-2010 – 12),0.4
2016,Виробництво тютюнових виробів (Код за КВЕД-2010 – 12),
2017,Виробництво тютюнових виробів (Код за КВЕД-2010 – 12),0.8
2018,Виробництво тютюнових виробів (Код за КВЕД-2010 – 12),0.2
2019,Виробництво тютюнових виробів (Код за КВЕД-2010 – 12),c
2020,Виробництво тютюнових виробів (Код за КВЕД-2010 – 12),c
2021,Виробництво тютюнових виробів (Код за КВЕД-2010 – 12),
2022,Виробництво тютюнових виробів (Код за КВЕД-2010 – 12),
2023,Виробництво тютюнових виробів (Код за КВЕД-2010 – 12),
2024,Виробництво тютюнових виробів (Код за КВЕД-2010 – 12),
2015,Текстильне виробництво (Код за КВЕД-2010 – 13),1.6
2016,Текстильне виробництво (Код за КВЕД-2010 – 13),
2017,Текстильне виробництво (Код за КВЕД-2010 – 13),3.9
2018,Текстильне виробництво (Код за КВЕД-2010 – 13),1.1
2019,Текстильне виробництво (Код за КВЕД-2010 – 13),0.4
2020,Текстильне виробництво (Код за КВЕД-2010 – 13),1.3
2021,Текстильне виробництво (Код за КВЕД-2010 – 13),c
2022,Текстильне виробництво (Код за КВЕД-2010 – 13),c
2023,Текстильне виробництво (Код за КВЕД-2010 – 13),c
2024,Текстильне виробництво (Код за КВЕД-2010 – 13),2.2
2015,Виробництво одягу (Код за КВЕД-2010 – 14),0.6
2016,Виробництво одягу (Код за КВЕД-2010 – 14),
2017,Виробництво одягу (Код за КВЕД-2010 – 14),0.4
2018,Виробництво одягу (Код за КВЕД-2010 – 14),0.7
2019,Виробництво одягу (Код за КВЕД-2010 – 14),0.2
2020,Виробництво одягу (Код за КВЕД-2010 – 14),c
2021,Виробництво одягу (Код за КВЕД-2010 – 14),c
2022,Виробництво одягу (Код за КВЕД-2010 – 14),c
2023,Виробництво одягу (Код за КВЕД-2010 – 14),c
2024,Виробництво одягу (Код за КВЕД-2010 – 14),2.1
2015,"Виробництво шкіри, виробів зі шкіри та інших матеріалів (Код за КВЕД-2010 – 15)",0.1
2016,"Виробництво шкіри, виробів зі шкіри та інших матеріалів (Код за КВЕД-2010 – 15)",
2017,"Виробництво шкіри, виробів зі шкіри та інших матеріалів (Код за КВЕД-2010 – 15)",0.2
2018,"Виробництво шкіри, виробів зі шкіри та інших матеріалів (Код за КВЕД-2010 – 15)",3.6
2019,"Виробництво шкіри, виробів зі шкіри та інших матеріалів (Код за КВЕД-2010 – 15)",c
2020,"Виробництво шкіри, виробів зі шкіри та інших матеріалів (Код за КВЕД-2010 – 15)",0.1
2021,"Виробництво шкіри, виробів зі шкіри та інших матеріалів (Код за КВЕД-2010 – 15)",
2022,"Виробництво шкіри, виробів зі шкіри та інших матеріалів (Код за КВЕД-2010 – 15)",
2023,"Виробництво шкіри, виробів зі шкіри та інших матеріалів (Код за КВЕД-2010 – 15)",
2024,"Виробництво шкіри, виробів зі шкіри та інших матеріалів (Код за КВЕД-2010 – 15)",c
2015,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння (Код за КВЕД-2010 – 16)",0.3
2016,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння (Код за КВЕД-2010 – 16)",
2017,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння (Код за КВЕД-2010 – 16)",0.3
2018,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння (Код за КВЕД-2010 – 16)",0.5
2019,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння (Код за КВЕД-2010 – 16)",0.1
2020,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння (Код за КВЕД-2010 – 16)",1.5
2021,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння (Код за КВЕД-2010 – 16)",c
2022,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння (Код за КВЕД-2010 – 16)",2.7
2023,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння (Код за КВЕД-2010 – 16)",c
2024,"Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння (Код за КВЕД-2010 – 16)",0.9
2015,Виробництво паперу та паперових виробів (Код за КВЕД-2010 – 17),1.5
2016,Виробництво паперу та паперових виробів (Код за КВЕД-2010 – 17),
2017,Виробництво паперу та паперових виробів (Код за КВЕД-2010 – 17),0.2
2018,Виробництво паперу та паперових виробів (Код за КВЕД-2010 – 17),0.3
2019,Виробництво паперу та паперових виробів (Код за КВЕД-2010 – 17),0.1
2020,Виробництво паперу та паперових виробів (Код за КВЕД-2010 – 17),0.4
2021,Виробництво паперу та паперових виробів (Код за КВЕД-2010 – 17),c
2022,Виробництво паперу та паперових виробів (Код за КВЕД-2010 – 17),0.5
2023,Виробництво паперу та паперових виробів (Код за КВЕД-2010 – 17),0.6
2024,Виробництво паперу та паперових виробів (Код за КВЕД-2010 – 17),
2015,"Поліграфічна діяльність, тиражування записаної інформації (Код за КВЕД-2010 – 18)",3.8
2016,"Поліграфічна діяльність, тиражування записаної інформації (Код за КВЕД-2010 – 18)",
2017,"Поліграфічна діяльність, тиражування записаної інформації (Код за КВЕД-2010 – 18)",3.1
2018,"Поліграфічна діяльність, тиражування записаної інформації (Код за КВЕД-2010 – 18)",7.7
2019,"Поліграфічна діяльність, тиражування записаної інформації (Код за КВЕД-2010 – 18)",6.3
2020,"Поліграфічна діяльність, тиражування записаної інформації (Код за КВЕД-2010 – 18)",c
2021,"Поліграфічна діяльність, тиражування записаної інформації (Код за КВЕД-2010 – 18)",c
2022,"Поліграфічна діяльність, тиражування записаної інформації (Код за КВЕД-2010 – 18)",c
2023,"Поліграфічна діяльність, тиражування записаної інформації (Код за КВЕД-2010 – 18)",c
2024,"Поліграфічна діяльність, тиражування записаної інформації (Код за КВЕД-2010 – 18)",
2015,Виробництво коксу та продуктів нафтоперероблення(Код за КВЕД-2010 – 19),0.4
2016,Виробництво коксу та продуктів нафтоперероблення(Код за КВЕД-2010 – 19),
2017,Виробництво коксу та продуктів нафтоперероблення(Код за КВЕД-2010 – 19),c
2018,Виробництво коксу та продуктів нафтоперероблення(Код за КВЕД-2010 – 19),c
2019,Виробництво коксу та продуктів нафтоперероблення(Код за КВЕД-2010 – 19),c
2020,Виробництво коксу та продуктів нафтоперероблення(Код за КВЕД-2010 – 19),c
2021,Виробництво коксу та продуктів нафтоперероблення(Код за КВЕД-2010 – 19),c
2022,Виробництво коксу та продуктів нафтоперероблення(Код за КВЕД-2010 – 19),c
2023,Виробництво коксу та продуктів нафтоперероблення(Код за КВЕД-2010 – 19),
2024,Виробництво коксу та продуктів нафтоперероблення(Код за КВЕД-2010 – 19),
2015,Виробництво хімічних речовин і хімічної продукції (Код за КВЕД-2010 – 20),3.3
2016,Виробництво хімічних речовин і хімічної продукції (Код за КВЕД-2010 – 20),
2017,Виробництво хімічних речовин і хімічної продукції (Код за КВЕД-2010 – 20),0.9
2018,Виробництво хімічних речовин і хімічної продукції (Код за КВЕД-2010 – 20),1.3
2019,Виробництво хімічних речовин і хімічної продукції (Код за КВЕД-2010 – 20),0.6
2020,Виробництво хімічних речовин і хімічної продукції (Код за КВЕД-2010 – 20),0.9
2021,Виробництво хімічних речовин і хімічної продукції (Код за КВЕД-2010 – 20),0.2
2022,Виробництво хімічних речовин і хімічної продукції (Код за КВЕД-2010 – 20),0.3
2023,Виробництво хімічних речовин і хімічної продукції (Код за КВЕД-2010 – 20),0.3
2024,Виробництво хімічних речовин і хімічної продукції (Код за КВЕД-2010 – 20),c
2015,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 21),3.0
2016,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 21),
2017,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 21),1.6
2018,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 21),2.4
2019,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 21),1.7
2020,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 21),3.5
2021,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 21),0.9
2022,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 21),1.9
2023,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 21),1.3
2024,Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів (Код за КВЕД-2010 – 21),3.2
2015,Виробництво гумових і пластмасових виробів (Код за КВЕД-2010 – 22),1.6
2016,Виробництво гумових і пластмасових виробів (Код за КВЕД-2010 – 22),
2017,Виробництво гумових і пластмасових виробів (Код за КВЕД-2010 – 22),1.6
2018,Виробництво гумових і пластмасових виробів (Код за КВЕД-2010 – 22),2.0
2019,Виробництво гумових і пластмасових виробів (Код за КВЕД-2010 – 22),1.8
2020,Виробництво гумових і пластмасових виробів (Код за КВЕД-2010 – 22),0.9
2021,Виробництво гумових і пластмасових виробів (Код за КВЕД-2010 – 22),c
2022,Виробництво гумових і пластмасових виробів (Код за КВЕД-2010 – 22),0.2
2023,Виробництво гумових і пластмасових виробів (Код за КВЕД-2010 – 22),0.2
2024,Виробництво гумових і пластмасових виробів (Код за КВЕД-2010 – 22),0.3
2015,31_man_non_met_1,0.3
2016,31_man_non_met_1,
2017,31_man_non_met_1,0.9
2018,31_man_non_met_1,1.0
2019,31_man_non_met_1,0.7
2020,31_man_non_met_1,1.1
2021,31_man_non_met_1,0.1
2022,31_man_non_met_1,0.7
2023,31_man_non_met_1,0.4
2024,31_man_non_met_1,0.6
2015,Металургійне виробництво (Код за КВЕД-2010 – 24),2.2
2016,Металургійне виробництво (Код за КВЕД-2010 – 24),
2017,Металургійне виробництво (Код за КВЕД-2010 – 24),0.9
2018,Металургійне виробництво (Код за КВЕД-2010 – 24),0.5
2019,Металургійне виробництво (Код за КВЕД-2010 – 24),3.2
2020,Металургійне виробництво (Код за КВЕД-2010 – 24),c
2021,Металургійне виробництво (Код за КВЕД-2010 – 24),c
2022,Металургійне виробництво (Код за КВЕД-2010 – 24),c
2023,Металургійне виробництво (Код за КВЕД-2010 – 24),c
2024,Металургійне виробництво (Код за КВЕД-2010 – 24),c
2015,"Виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 25)",1.4
2016,"Виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 25)",
2017,"Виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 25)",1.2
2018,"Виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 25)",2.7
2019,"Виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 25)",0.7
2020,"Виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 25)",1.5
2021,"Виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 25)",1.0
2022,"Виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 25)",3.3
2023,"Виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 25)",c
2024,"Виробництво готових металевих виробів, крім машин і устатковання (Код за КВЕД-2010 – 25)",19.7
2015,"Виробництво комп'ютерів, електронної та оптичної продукції (Код за КВЕД-2010 – 26)",6.4
2016,"Виробництво комп'ютерів, електронної та оптичної продукції (Код за КВЕД-2010 – 26)",
2017,"Виробництво комп'ютерів, електронної та оптичної продукції (Код за КВЕД-2010 – 26)",3.1
2018,"Виробництво комп'ютерів, електронної та оптичної продукції (Код за КВЕД-2010 – 26)",5.8
2019,"Виробництво комп'ютерів, електронної та оптичної продукції (Код за КВЕД-2010 – 26)",6.3
2020,"Виробництво комп'ютерів, електронної та оптичної продукції (Код за КВЕД-2010 – 26)",9.9
2021,"Виробництво комп'ютерів, електронної та оптичної продукції (Код за КВЕД-2010 – 26)",1.5
2022,"Виробництво комп'ютерів, електронної та оптичної продукції (Код за КВЕД-2010 – 26)",5.6
2023,"Виробництво комп'ютерів, електронної та оптичної продукції (Код за КВЕД-2010 – 26)",2.6
2024,"Виробництво комп'ютерів, електронної та оптичної продукції (Код за КВЕД-2010 – 26)",9.0
2015,Виробництво електричного устатковання (Код за КВЕД-2010 – 27),6.1
2016,Виробництво електричного устатковання (Код за КВЕД-2010 – 27),
2017,Виробництво електричного устатковання (Код за КВЕД-2010 – 27),2.5
2018,Виробництво електричного устатковання (Код за КВЕД-2010 – 27),3.3
2019,Виробництво електричного устатковання (Код за КВЕД-2010 – 27),4.1
2020,Виробництво електричного устатковання (Код за КВЕД-2010 – 27),7.8
2021,Виробництво електричного устатковання (Код за КВЕД-2010 – 27),2.8
2022,Виробництво електричного устатковання (Код за КВЕД-2010 – 27),2.3
2023,Виробництво електричного устатковання (Код за КВЕД-2010 – 27),1.6
2024,Виробництво електричного устатковання (Код за КВЕД-2010 – 27),4.3
2015,"Виробництво машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 28)",7.7
2016,"Виробництво машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 28)",
2017,"Виробництво машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 28)",3.5
2018,"Виробництво машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 28)",2.6
2019,"Виробництво машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 28)",8.1
2020,"Виробництво машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 28)",5.8
2021,"Виробництво машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 28)",3.5
2022,"Виробництво машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 28)",3.8
2023,"Виробництво машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 28)",1.0
2024,"Виробництво машин і устатковання, н.в.і.у. (Код за КВЕД-2010 – 28)",2.7
2015,"Виробництво автотранспортних засобів, причепів і напівпричепів (Код за КВЕД-2010 – 29)",4.3
2016,"Виробництво автотранспортних засобів, причепів і напівпричепів (Код за КВЕД-2010 – 29)",
2017,"Виробництво автотранспортних засобів, причепів і напівпричепів (Код за КВЕД-2010 – 29)",2.3
2018,"Виробництво автотранспортних засобів, причепів і напівпричепів (Код за КВЕД-2010 – 29)",5.0
2019,"Виробництво автотранспортних засобів, причепів і напівпричепів (Код за КВЕД-2010 – 29)",5.6
2020,"Виробництво автотранспортних засобів, причепів і напівпричепів (Код за КВЕД-2010 – 29)",3.6
2021,"Виробництво автотранспортних засобів, причепів і напівпричепів (Код за КВЕД-2010 – 29)",0.3
2022,"Виробництво автотранспортних засобів, причепів і напівпричепів (Код за КВЕД-2010 – 29)",0.4
2023,"Виробництво автотранспортних засобів, причепів і напівпричепів (Код за КВЕД-2010 – 29)",0.3
2024,"Виробництво автотранспортних засобів, причепів і напівпричепів (Код за КВЕД-2010 – 29)",4.1
2015,Виробництво інших транспортних засобів (Код за КВЕД-2010 – 30),5.9
2016,Виробництво інших транспортних засобів (Код за КВЕД-2010 – 30),
2017,Виробництво інших транспортних засобів (Код за КВЕД-2010 – 30),5.4
2018,Виробництво інших транспортних засобів (Код за КВЕД-2010 – 30),5.3
2019,Виробництво інших транспортних засобів (Код за КВЕД-2010 – 30),1.6
2020,Виробництво інших транспортних засобів (Код за КВЕД-2010 – 30),4.4
2021,Виробництво інших транспортних засобів (Код за КВЕД-2010 – 30),3.6
2022,Виробництво інших транспортних засобів (Код за КВЕД-2010 – 30),5.9
2023,Виробництво інших транспортних засобів (Код за КВЕД-2010 – 30),3.0
2024,Виробництво інших транспортних засобів (Код за КВЕД-2010 – 30),14.5
2015,Виробництво меблів (Код за КВЕД-2010 – 31),2.8
2016,Виробництво меблів (Код за КВЕД-2010 – 31),
2017,Виробництво меблів (Код за КВЕД-2010 – 31),0.7
2018,Виробництво меблів (Код за КВЕД-2010 – 31),2.2
2019,Виробництво меблів (Код за КВЕД-2010 – 31),1.0
2020,Виробництво меблів (Код за КВЕД-2010 – 31),1.4
2021,Виробництво меблів (Код за КВЕД-2010 – 31),0.2
2022,Виробництво меблів (Код за КВЕД-2010 – 31),0.3
2023,Виробництво меблів (Код за КВЕД-2010 – 31),0.2
2024,Виробництво меблів (Код за КВЕД-2010 – 31),3.0
2015,Виробництво іншої продукції (Код за КВЕД-2010 – 32),1.1
2016,Виробництво іншої продукції (Код за КВЕД-2010 – 32),
2017,Виробництво іншої продукції (Код за КВЕД-2010 – 32),1.0
2018,Виробництво іншої продукції (Код за КВЕД-2010 – 32),0.5
2019,Виробництво іншої продукції (Код за КВЕД-2010 – 32),0.3
2020,Виробництво іншої продукції (Код за КВЕД-2010 – 32),3.1
2021,Виробництво іншої продукції (Код за КВЕД-2010 – 32),0.4
2022,Виробництво іншої продукції (Код за КВЕД-2010 – 32),0.5
2023,Виробництво іншої продукції (Код за КВЕД-2010 – 32),c
2024,Виробництво іншої продукції (Код за КВЕД-2010 – 32),c
2015,Ремонт і монтаж машин і устатковання (Код за КВЕД-2010 – 33),0.9
2016,Ремонт і монтаж машин і устатковання (Код за КВЕД-2010 – 33),
2017,Ремонт і монтаж машин і устатковання (Код за КВЕД-2010 – 33),0.1
2018,Ремонт і монтаж машин і устатковання (Код за КВЕД-2010 – 33),0.7
2019,Ремонт і монтаж машин і устатковання (Код за КВЕД-2010 – 33),0.4
2020,Ремонт і монтаж машин і устатковання (Код за КВЕД-2010 – 33),0.2
2021,Ремонт і монтаж машин і устатковання (Код за КВЕД-2010 – 33),c
2022,Ремонт і монтаж машин і устатковання (Код за КВЕД-2010 – 33),1.0
2023,Ремонт і монтаж машин і устатковання (Код за КВЕД-2010 – 33),c
2024,Ремонт і монтаж машин і устатковання (Код за КВЕД-2010 – 33),0.3
2015,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",0.0
2016,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",
2017,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",c
2018,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",c
2019,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",c
2020,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",c
2021,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",c
2022,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",
2023,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",c
2024,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",c
2015,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – 35)",0.0
2016,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – 35)",
2017,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – 35)",c
2018,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – 35)",c
2019,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – 35)",c
2020,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – 35)",c
2021,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – 35)",c
2022,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – 35)",
2023,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – 35)",c
2024,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – 35)",c
2015,"Водопостачання каналізація, поводження з відходами (Код за КВЕД-2010 – E)",0.0
2016,"Водопостачання каналізація, поводження з відходами (Код за КВЕД-2010 – E)",
2017,"Водопостачання каналізація, поводження з відходами (Код за КВЕД-2010 – E)",c
2018,"Водопостачання каналізація, поводження з відходами (Код за КВЕД-2010 – E)",c
2019,"Водопостачання каналізація, поводження з відходами (Код за КВЕД-2010 – E)",c
2020,"Водопостачання каналізація, поводження з відходами (Код за КВЕД-2010 – E)",c
