Year,"Концентрація основних забруднювачів у морській воді за речовинами, міліграмів на куб. метр",Value
2019,Molybdenum,
2020,Molybdenum,
2021,Molybdenum,
2022,Molybdenum,
2023,Molybdenum,
2024,Molybdenum,
2015,Iron,30.375
2016,Iron,47.875
2017,Iron,24.778
2018,Iron,0.875
2019,Iron,16.625
2020,Iron,2.0
2021,Iron,8.488
2022,Iron,57.8
2023,Iron,49.342
2024,Iron,34.579
2015,Tributyltin oxide,
2016,Tributyltin oxide,
2017,Tributyltin oxide,
2018,Tributyltin oxide,
2019,Tributyltin oxide,
2020,Tributyltin oxide,
2021,Tributyltin oxide,
2022,Tributyltin oxide,
2023,Tributyltin oxide,
2024,Tributyltin oxide,
2015,Anthracene,
2016,Anthracene,0.0
2017,Anthracene,0.0
2018,Anthracene,0.0
2019,Anthracene,0.001
2020,Anthracene,0.018
2021,Anthracene,0.007
2022,Anthracene,0.004
2023,Anthracene,0.009
2024,Anthracene,0.016
2015,Benzene,
2016,Benzene,
2017,Benzene,
2018,Benzene,
2019,Benzene,
2020,Benzene,
2021,Benzene,
2022,Benzene,
2023,Benzene,
2024,Benzene,
2015,Sum Brominated diphenylethers,
2016,Sum Brominated diphenylethers,
2017,Sum Brominated diphenylethers,
2018,Sum Brominated diphenylethers,
2019,Sum Brominated diphenylethers,
2020,Sum Brominated diphenylethers,
2021,Sum Brominated diphenylethers,
2022,Sum Brominated diphenylethers,
2023,Sum Brominated diphenylethers,
2024,Sum Brominated diphenylethers,
2015,C10-13 Chloroalkanes,
2016,C10-13 Chloroalkanes,
2017,C10-13 Chloroalkanes,
2018,C10-13 Chloroalkanes,
2019,C10-13 Chloroalkanes,
2020,C10-13 Chloroalkanes,
2021,C10-13 Chloroalkanes,
2022,C10-13 Chloroalkanes,
2023,C10-13 Chloroalkanes,
2024,C10-13 Chloroalkanes,
2015,"1,2-Dichloroethane",
2016,"1,2-Dichloroethane",
2017,"1,2-Dichloroethane",
2018,"1,2-Dichloroethane",
2019,"1,2-Dichloroethane",
2020,"1,2-Dichloroethane",
2021,"1,2-Dichloroethane",
2022,"1,2-Dichloroethane",
2023,"1,2-Dichloroethane",
2024,"1,2-Dichloroethane",
2015,Dichloromethane,
2016,Dichloromethane,
2017,Dichloromethane,
2018,Dichloromethane,
2019,Dichloromethane,
2020,Dichloromethane,
2021,Dichloromethane,
2022,Dichloromethane,
2023,Dichloromethane,
2024,Dichloromethane,
2015,Di(2-ethylhexyl)-phthalate (DEHP),
2016,Di(2-ethylhexyl)-phthalate (DEHP),
2017,Di(2-ethylhexyl)-phthalate (DEHP),
2018,Di(2-ethylhexyl)-phthalate (DEHP),
2019,Di(2-ethylhexyl)-phthalate (DEHP),
2020,Di(2-ethylhexyl)-phthalate (DEHP),
2021,Di(2-ethylhexyl)-phthalate (DEHP),
2022,Di(2-ethylhexyl)-phthalate (DEHP),
2023,Di(2-ethylhexyl)-phthalate (DEHP),
2024,Di(2-ethylhexyl)-phthalate (DEHP),
2015,Fluoranthene,
2016,Fluoranthene,0.001
2017,Fluoranthene,0.002
2018,Fluoranthene,0.001
2019,Fluoranthene,0.015
2020,Fluoranthene,0.011
2021,Fluoranthene,0.003
2022,Fluoranthene,0.003
2023,Fluoranthene,0.013
2024,Fluoranthene,0.004
2015,Hexachlorobutadiene,
2016,Hexachlorobutadiene,
2017,Hexachlorobutadiene,
2018,Hexachlorobutadiene,
2019,Hexachlorobutadiene,
2020,Hexachlorobutadiene,
2021,Hexachlorobutadiene,
2022,Hexachlorobutadiene,
2023,Hexachlorobutadiene,
2024,Hexachlorobutadiene,
2015,Naphthalene,
2016,Naphthalene,0.003
2017,Naphthalene,0.003
2018,Naphthalene,0.002
2019,Naphthalene,0.021
2020,Naphthalene,0.057
2021,Naphthalene,0.019
2022,Naphthalene,0.009
2023,Naphthalene,0.021
2024,Naphthalene,0.033
2015,"Sum Phenol, 4-nonyl-, branched",
2016,"Sum Phenol, 4-nonyl-, branched",
2017,"Sum Phenol, 4-nonyl-, branched",
2018,"Sum Phenol, 4-nonyl-, branched",
2019,"Sum Phenol, 4-nonyl-, branched",
2020,"Sum Phenol, 4-nonyl-, branched",
2021,"Sum Phenol, 4-nonyl-, branched",
2022,"Sum Phenol, 4-nonyl-, branched",
2023,"Sum Phenol, 4-nonyl-, branched",
2024,"Sum Phenol, 4-nonyl-, branched",
2015,"Sum (4-(1,1,3,3- tetramethyl- butyl)-phenol, 4-Octylphenol)",
2016,"Sum (4-(1,1,3,3- tetramethyl- butyl)-phenol, 4-Octylphenol)",
2017,"Sum (4-(1,1,3,3- tetramethyl- butyl)-phenol, 4-Octylphenol)",
2018,"Sum (4-(1,1,3,3- tetramethyl- butyl)-phenol, 4-Octylphenol)",
2019,"Sum (4-(1,1,3,3- tetramethyl- butyl)-phenol, 4-Octylphenol)",
2020,"Sum (4-(1,1,3,3- tetramethyl- butyl)-phenol, 4-Octylphenol)",
2021,"Sum (4-(1,1,3,3- tetramethyl- butyl)-phenol, 4-Octylphenol)",
2022,"Sum (4-(1,1,3,3- tetramethyl- butyl)-phenol, 4-Octylphenol)",
2023,"Sum (4-(1,1,3,3- tetramethyl- butyl)-phenol, 4-Octylphenol)",
2024,"Sum (4-(1,1,3,3- tetramethyl- butyl)-phenol, 4-Octylphenol)",
2015,Pentachlorobenzene,
2016,Pentachlorobenzene,
2017,Pentachlorobenzene,
2018,Pentachlorobenzene,
2019,Pentachlorobenzene,
2020,Pentachlorobenzene,
2021,Pentachlorobenzene,
2022,Pentachlorobenzene,
2023,Pentachlorobenzene,
2024,Pentachlorobenzene,
2015,Pentachlorophenol,
2016,Pentachlorophenol,
2017,Pentachlorophenol,
2018,Pentachlorophenol,
2019,Pentachlorophenol,
2020,Pentachlorophenol,
2021,Pentachlorophenol,
2022,Pentachlorophenol,
2023,Pentachlorophenol,
2024,Pentachlorophenol,
2015,Phenols (sum volatile ),
2016,Phenols (sum volatile ),
2017,Phenols (sum volatile ),
2018,Phenols (sum volatile ),
2019,Phenols (sum volatile ),
2020,Phenols (sum volatile ),
2021,Phenols (sum volatile ),
2022,Phenols (sum volatile ),
2023,Phenols (sum volatile ),
2024,Phenols (sum volatile ),
2015,Monochlor Phenol,
2016,Monochlor Phenol,
2017,Monochlor Phenol,
2018,Monochlor Phenol,
2019,Monochlor Phenol,
2020,Monochlor Phenol,
2021,Monochlor Phenol,
2022,Monochlor Phenol,
2023,Monochlor Phenol,
2024,Monochlor Phenol,
2015,Dichlorophenol,
2016,Dichlorophenol,
2017,Dichlorophenol,
2018,Dichlorophenol,
2019,Dichlorophenol,
2020,Dichlorophenol,
2021,Dichlorophenol,
2022,Dichlorophenol,
2023,Dichlorophenol,
2024,Dichlorophenol,
2015,Trichlorophenol,
2016,Trichlorophenol,
2017,Trichlorophenol,
2018,Trichlorophenol,
2019,Trichlorophenol,
2020,Trichlorophenol,
2021,Trichlorophenol,
2022,Trichlorophenol,
2023,Trichlorophenol,
2024,Trichlorophenol,
2015,Tetrachlorophenol,
2016,Tetrachlorophenol,
2017,Tetrachlorophenol,
2018,Tetrachlorophenol,
2019,Tetrachlorophenol,
2020,Tetrachlorophenol,
2021,Tetrachlorophenol,
2022,Tetrachlorophenol,
2023,Tetrachlorophenol,
2024,Tetrachlorophenol,
2015,Chlorophenol (sum),
2016,Chlorophenol (sum),
2017,Chlorophenol (sum),
2018,Chlorophenol (sum),
2019,Chlorophenol (sum),
2020,Chlorophenol (sum),
2021,Chlorophenol (sum),
2022,Chlorophenol (sum),
2023,Chlorophenol (sum),
2024,Chlorophenol (sum),
2015,Benzo(a)pyrene,
2016,Benzo(a)pyrene,0.0
2017,Benzo(a)pyrene,0.0
2018,Benzo(a)pyrene,0.0
2019,Benzo(a)pyrene,0.001
2020,Benzo(a)pyrene,0.0
2021,Benzo(a)pyrene,0.0
2022,Benzo(a)pyrene,0.0
2023,Benzo(a)pyrene,0.003
2024,Benzo(a)pyrene,0.0
2015,Benzo(b)fluoranthene,
2016,Benzo(b)fluoranthene,0.0
2017,Benzo(b)fluoranthene,0.001
2018,Benzo(b)fluoranthene,0.0
2019,Benzo(b)fluoranthene,0.002
2020,Benzo(b)fluoranthene,0.0
2021,Benzo(b)fluoranthene,0.0
2022,Benzo(b)fluoranthene,0.0
2023,Benzo(b)fluoranthene,0.004
2024,Benzo(b)fluoranthene,0.0
2015,"Benzo(g,h,i)perylene",
2016,"Benzo(g,h,i)perylene",0.0
2017,"Benzo(g,h,i)perylene",0.0
2018,"Benzo(g,h,i)perylene",0.0
2019,"Benzo(g,h,i)perylene",0.0
2020,"Benzo(g,h,i)perylene",0.0
2021,"Benzo(g,h,i)perylene",0.0
2022,"Benzo(g,h,i)perylene",0.0
2023,"Benzo(g,h,i)perylene",0.002
2024,"Benzo(g,h,i)perylene",0.001
2015,Benzo(k)fluoranthene,
2016,Benzo(k)fluoranthene,0.0
2017,Benzo(k)fluoranthene,0.0
2018,Benzo(k)fluoranthene,0.0
2019,Benzo(k)fluoranthene,0.003
2020,Benzo(k)fluoranthene,0.0
2021,Benzo(k)fluoranthene,0.0
2022,Benzo(k)fluoranthene,0.0
2023,Benzo(k)fluoranthene,0.003
2024,Benzo(k)fluoranthene,0.0
2015,"Indeno(1,2,3cd)-pyrene",
2016,"Indeno(1,2,3cd)-pyrene",0.0
2017,"Indeno(1,2,3cd)-pyrene",0.0
2018,"Indeno(1,2,3cd)-pyrene",0.0
2019,"Indeno(1,2,3cd)-pyrene",0.001
2020,"Indeno(1,2,3cd)-pyrene",0.0
2021,"Indeno(1,2,3cd)-pyrene",0.0
2022,"Indeno(1,2,3cd)-pyrene",0.0
2023,"Indeno(1,2,3cd)-pyrene",0.003
2024,"Indeno(1,2,3cd)-pyrene",0.0
2015,benz(a)anthracene,
2016,benz(a)anthracene,0.0
2017,benz(a)anthracene,0.001
2018,benz(a)anthracene,0.0
2019,benz(a)anthracene,0.002
2020,benz(a)anthracene,0.0
2021,benz(a)anthracene,0.0
2022,benz(a)anthracene,0.0
2023,benz(a)anthracene,0.003
2024,benz(a)anthracene,0.0
2015,Сhrysene,
2016,Сhrysene,0.0
2017,Сhrysene,0.001
2018,Сhrysene,0.0
2019,Сhrysene,0.001
2020,Сhrysene,0.0
2021,Сhrysene,0.0
2022,Сhrysene,0.0
2023,Сhrysene,0.003
2024,Сhrysene,0.001
2015,Phenanthrene,
2016,Phenanthrene,0.007
2017,Phenanthrene,0.003
2018,Phenanthrene,0.002
2019,Phenanthrene,0.029
2020,Phenanthrene,0.075
2021,Phenanthrene,0.018
2022,Phenanthrene,0.015
2023,Phenanthrene,0.037
2024,Phenanthrene,0.038
2015,Tributyltin compounds (Tributyltin-cation),
2016,Tributyltin compounds (Tributyltin-cation),
2017,Tributyltin compounds (Tributyltin-cation),
2018,Tributyltin compounds (Tributyltin-cation),
2019,Tributyltin compounds (Tributyltin-cation),
2020,Tributyltin compounds (Tributyltin-cation),
2021,Tributyltin compounds (Tributyltin-cation),
2022,Tributyltin compounds (Tributyltin-cation),
2023,Tributyltin compounds (Tributyltin-cation),
2024,Tributyltin compounds (Tributyltin-cation),
2015,Trichlorobenzenes,
2016,Trichlorobenzenes,
2017,Trichlorobenzenes,
2018,Trichlorobenzenes,
2019,Trichlorobenzenes,
2020,Trichlorobenzenes,
2021,Trichlorobenzenes,
2022,Trichlorobenzenes,
2023,Trichlorobenzenes,
2024,Trichlorobenzenes,
2015,Trichloromethane,
2016,Trichloromethane,
2017,Trichloromethane,
2018,Trichloromethane,
2019,Trichloromethane,
2020,Trichloromethane,
2021,Trichloromethane,
2022,Trichloromethane,
2023,Trichloromethane,
2024,Trichloromethane,
2015,Dicofol,
2016,Dicofol,
2017,Dicofol,
2018,Dicofol,
2019,Dicofol,
2020,Dicofol,
2021,Dicofol,
2022,Dicofol,
2023,Dicofol,
2024,Dicofol,
2015,Perfluorooctane sulfonic acid and its derivatives (PFOS),
2016,Perfluorooctane sulfonic acid and its derivatives (PFOS),
2017,Perfluorooctane sulfonic acid and its derivatives (PFOS),
2018,Perfluorooctane sulfonic acid and its derivatives (PFOS),
2019,Perfluorooctane sulfonic acid and its derivatives (PFOS),
2020,Perfluorooctane sulfonic acid and its derivatives (PFOS),
2021,Perfluorooctane sulfonic acid and its derivatives (PFOS),
2022,Perfluorooctane sulfonic acid and its derivatives (PFOS),
2023,Perfluorooctane sulfonic acid and its derivatives (PFOS),
2024,Perfluorooctane sulfonic acid and its derivatives (PFOS),
2015,"2,3,3,4,4,5-Hexachlorobiphenyl (PCB156)",
2016,"2,3,3,4,4,5-Hexachlorobiphenyl (PCB156)",
2017,"2,3,3,4,4,5-Hexachlorobiphenyl (PCB156)",
2018,"2,3,3,4,4,5-Hexachlorobiphenyl (PCB156)",
2019,"2,3,3,4,4,5-Hexachlorobiphenyl (PCB156)",
2020,"2,3,3,4,4,5-Hexachlorobiphenyl (PCB156)",
2021,"2,3,3,4,4,5-Hexachlorobiphenyl (PCB156)",0.0
2022,"2,3,3,4,4,5-Hexachlorobiphenyl (PCB156)",0.001
2023,"2,3,3,4,4,5-Hexachlorobiphenyl (PCB156)",0.0
2024,"2,3,3,4,4,5-Hexachlorobiphenyl (PCB156)",0.0
2015,"2,3,4,4,5-Pentachlorobiphenyl (PCB118)",0.001
2016,"2,3,4,4,5-Pentachlorobiphenyl (PCB118)",0.001
2017,"2,3,4,4,5-Pentachlorobiphenyl (PCB118)",0.001
2018,"2,3,4,4,5-Pentachlorobiphenyl (PCB118)",0.002
2019,"2,3,4,4,5-Pentachlorobiphenyl (PCB118)",0.002
2020,"2,3,4,4,5-Pentachlorobiphenyl (PCB118)",0.002
2021,"2,3,4,4,5-Pentachlorobiphenyl (PCB118)",0.002
2022,"2,3,4,4,5-Pentachlorobiphenyl (PCB118)",0.002
2023,"2,3,4,4,5-Pentachlorobiphenyl (PCB118)",0.0
2024,"2,3,4,4,5-Pentachlorobiphenyl (PCB118)",0.0
2015,"3,4,5,3,4-Pentachlorobiphenyl (PCB126)",
2016,"3,4,5,3,4-Pentachlorobiphenyl (PCB126)",
2017,"3,4,5,3,4-Pentachlorobiphenyl (PCB126)",
2018,"3,4,5,3,4-Pentachlorobiphenyl (PCB126)",
2019,"3,4,5,3,4-Pentachlorobiphenyl (PCB126)",0.0
2020,"3,4,5,3,4-Pentachlorobiphenyl (PCB126)",0.0
2021,"3,4,5,3,4-Pentachlorobiphenyl (PCB126)",0.0
2022,"3,4,5,3,4-Pentachlorobiphenyl (PCB126)",0.0
2023,"3,4,5,3,4-Pentachlorobiphenyl (PCB126)",0.0
2024,"3,4,5,3,4-Pentachlorobiphenyl (PCB126)",0.0
2015,Sum Hexabromocyclododecane isomers,
2016,Sum Hexabromocyclododecane isomers,
2017,Sum Hexabromocyclododecane isomers,
2018,Sum Hexabromocyclododecane isomers,
2019,Sum Hexabromocyclododecane isomers,
2020,Sum Hexabromocyclododecane isomers,
2021,Sum Hexabromocyclododecane isomers,
2022,Sum Hexabromocyclododecane isomers,
2023,Sum Hexabromocyclododecane isomers,
2024,Sum Hexabromocyclododecane isomers,
2015,"2,2,3,4,4,5,5-Heptachlorobiphenyl (PCB180)",0.001
2016,"2,2,3,4,4,5,5-Heptachlorobiphenyl (PCB180)",0.001
2017,"2,2,3,4,4,5,5-Heptachlorobiphenyl (PCB180)",0.0
2018,"2,2,3,4,4,5,5-Heptachlorobiphenyl (PCB180)",0.0
2019,"2,2,3,4,4,5,5-Heptachlorobiphenyl (PCB180)",0.0
2020,"2,2,3,4,4,5,5-Heptachlorobiphenyl (PCB180)",0.0
2021,"2,2,3,4,4,5,5-Heptachlorobiphenyl (PCB180)",0.0
2022,"2,2,3,4,4,5,5-Heptachlorobiphenyl (PCB180)",0.0
2023,"2,2,3,4,4,5,5-Heptachlorobiphenyl (PCB180)",0.0
2024,"2,2,3,4,4,5,5-Heptachlorobiphenyl (PCB180)",0.0
2015,"2,2,3,4,4,5-Hexachlorobiphenyl (PCB138)",0.001
2016,"2,2,3,4,4,5-Hexachlorobiphenyl (PCB138)",0.001
2017,"2,2,3,4,4,5-Hexachlorobiphenyl (PCB138)",0.001
2018,"2,2,3,4,4,5-Hexachlorobiphenyl (PCB138)",0.001
2019,"2,2,3,4,4,5-Hexachlorobiphenyl (PCB138)",0.001
2020,"2,2,3,4,4,5-Hexachlorobiphenyl (PCB138)",0.002
2021,"2,2,3,4,4,5-Hexachlorobiphenyl (PCB138)",0.002
2022,"2,2,3,4,4,5-Hexachlorobiphenyl (PCB138)",0.002
2023,"2,2,3,4,4,5-Hexachlorobiphenyl (PCB138)",0.002
2024,"2,2,3,4,4,5-Hexachlorobiphenyl (PCB138)",0.0
2015,"2,4,4-Trichlorobiphenyl (PCB28)",0.0
2016,"2,4,4-Trichlorobiphenyl (PCB28)",0.0
2017,"2,4,4-Trichlorobiphenyl (PCB28)",0.001
2018,"2,4,4-Trichlorobiphenyl (PCB28)",0.0
2019,"2,4,4-Trichlorobiphenyl (PCB28)",0.0
2020,"2,4,4-Trichlorobiphenyl (PCB28)",0.001
2021,"2,4,4-Trichlorobiphenyl (PCB28)",0.002
2022,"2,4,4-Trichlorobiphenyl (PCB28)",0.001
2023,"2,4,4-Trichlorobiphenyl (PCB28)",0.002
2024,"2,4,4-Trichlorobiphenyl (PCB28)",0.0
2015,"2,4,5,2,4,5-Hexachlorobiphenyl (PCB153)",0.0
2016,"2,4,5,2,4,5-Hexachlorobiphenyl (PCB153)",0.0
2017,"2,4,5,2,4,5-Hexachlorobiphenyl (PCB153)",0.001
2018,"2,4,5,2,4,5-Hexachlorobiphenyl (PCB153)",0.0
2019,"2,4,5,2,4,5-Hexachlorobiphenyl (PCB153)",0.0
2020,"2,4,5,2,4,5-Hexachlorobiphenyl (PCB153)",0.001
2021,"2,4,5,2,4,5-Hexachlorobiphenyl (PCB153)",0.001
2022,"2,4,5,2,4,5-Hexachlorobiphenyl (PCB153)",0.001
2023,"2,4,5,2,4,5-Hexachlorobiphenyl (PCB153)",0.002
2024,"2,4,5,2,4,5-Hexachlorobiphenyl (PCB153)",0.0
2015,"2,4,5,2,5-Pentachlorobiphenyl (PCB101)",0.001
2016,"2,4,5,2,5-Pentachlorobiphenyl (PCB101)",0.001
2017,"2,4,5,2,5-Pentachlorobiphenyl (PCB101)",0.001
2018,"2,4,5,2,5-Pentachlorobiphenyl (PCB101)",0.001
2019,"2,4,5,2,5-Pentachlorobiphenyl (PCB101)",0.001
2020,"2,4,5,2,5-Pentachlorobiphenyl (PCB101)",0.001
2021,"2,4,5,2,5-Pentachlorobiphenyl (PCB101)",0.003
2022,"2,4,5,2,5-Pentachlorobiphenyl (PCB101)",0.003
2023,"2,4,5,2,5-Pentachlorobiphenyl (PCB101)",0.003
2024,"2,4,5,2,5-Pentachlorobiphenyl (PCB101)",0.0
2015,"2,5,2,5-Tetrachlorobiphenyl (PCB52)",0.0
2016,"2,5,2,5-Tetrachlorobiphenyl (PCB52)",0.0
2017,"2,5,2,5-Tetrachlorobiphenyl (PCB52)",0.0
2018,"2,5,2,5-Tetrachlorobiphenyl (PCB52)",0.0
2019,"2,5,2,5-Tetrachlorobiphenyl (PCB52)",0.001
2020,"2,5,2,5-Tetrachlorobiphenyl (PCB52)",0.002
2021,"2,5,2,5-Tetrachlorobiphenyl (PCB52)",0.001
2022,"2,5,2,5-Tetrachlorobiphenyl (PCB52)",0.002
2023,"2,5,2,5-Tetrachlorobiphenyl (PCB52)",0.002
2024,"2,5,2,5-Tetrachlorobiphenyl (PCB52)",0.0
2015,Tetrachloroethylene,
2016,Tetrachloroethylene,
2017,Tetrachloroethylene,
2018,Tetrachloroethylene,
2019,Tetrachloroethylene,
2020,Tetrachloroethylene,
2021,Tetrachloroethylene,
2022,Tetrachloroethylene,
2023,Tetrachloroethylene,
2024,Tetrachloroethylene,
2015,Trichloroethylene,
2016,Trichloroethylene,
2017,Trichloroethylene,
2018,Trichloroethylene,
2019,Trichloroethylene,
2020,Trichloroethylene,
2021,Trichloroethylene,
2022,Trichloroethylene,
2023,Trichloroethylene,
2024,Trichloroethylene,
2015,Carbon-tetrachloride,
2016,Carbon-tetrachloride,
2017,Carbon-tetrachloride,
2018,Carbon-tetrachloride,
2019,Carbon-tetrachloride,
2020,Carbon-tetrachloride,
2021,Carbon-tetrachloride,
2022,Carbon-tetrachloride,
2023,Carbon-tetrachloride,
2024,Carbon-tetrachloride,
2015,Alachlor,
2016,Alachlor,
2017,Alachlor,
2018,Alachlor,
2019,Alachlor,
2020,Alachlor,
2021,Alachlor,
2022,Alachlor,
2023,Alachlor,
2024,Alachlor,
2015,Atrazine,
2016,Atrazine,
2017,Atrazine,
2018,Atrazine,
2019,Atrazine,0.007
2020,Atrazine,0.033
2021,Atrazine,0.008
2022,Atrazine,0.005
2023,Atrazine,
2024,Atrazine,
2015,Chlorfenvinphos,
2016,Chlorfenvinphos,
2017,Chlorfenvinphos,
2018,Chlorfenvinphos,
2019,Chlorfenvinphos,
2020,Chlorfenvinphos,
2021,Chlorfenvinphos,
2022,Chlorfenvinphos,
2023,Chlorfenvinphos,
2024,Chlorfenvinphos,
2015,Chlorpyrifos (Chlorpyrifosethyl),
2016,Chlorpyrifos (Chlorpyrifosethyl),
2017,Chlorpyrifos (Chlorpyrifosethyl),
2018,Chlorpyrifos (Chlorpyrifosethyl),
2019,Chlorpyrifos (Chlorpyrifosethyl),
2020,Chlorpyrifos (Chlorpyrifosethyl),
2021,Chlorpyrifos (Chlorpyrifosethyl),
2022,Chlorpyrifos (Chlorpyrifosethyl),
2023,Chlorpyrifos (Chlorpyrifosethyl),
2024,Chlorpyrifos (Chlorpyrifosethyl),
2015,Diuron,
2016,Diuron,
2017,Diuron,
2018,Diuron,
2019,Diuron,
2020,Diuron,
2021,Diuron,
2022,Diuron,
2023,Diuron,
2024,Diuron,
2015,Endosulfan,
2016,Endosulfan,
2017,Endosulfan,
2018,Endosulfan,
2019,Endosulfan,
2020,Endosulfan,
2021,Endosulfan,
2022,Endosulfan,
2023,Endosulfan,
2024,Endosulfan,
2015,Hexachlorobenzene,0.0
2016,Hexachlorobenzene,0.001
2017,Hexachlorobenzene,0.001
2018,Hexachlorobenzene,0.0
2019,Hexachlorobenzene,0.0
2020,Hexachlorobenzene,0.001
2021,Hexachlorobenzene,0.001
2022,Hexachlorobenzene,0.0
2023,Hexachlorobenzene,0.001
2024,Hexachlorobenzene,0.0
2015,Hexachlorocyclohexane Total,
2016,Hexachlorocyclohexane Total,
2017,Hexachlorocyclohexane Total,
2018,Hexachlorocyclohexane Total,
2019,Hexachlorocyclohexane Total,
2020,Hexachlorocyclohexane Total,
2021,Hexachlorocyclohexane Total,
2022,Hexachlorocyclohexane Total,
2023,Hexachlorocyclohexane Total,
2024,Hexachlorocyclohexane Total,
2015,Isoproturon,
2016,Isoproturon,
2017,Isoproturon,
2018,Isoproturon,
2019,Isoproturon,
2020,Isoproturon,
2021,Isoproturon,
2022,Isoproturon,
2023,Isoproturon,
2024,Isoproturon,
2015,Simazine,
2016,Simazine,
2017,Simazine,
2018,Simazine,
2019,Simazine,
2020,Simazine,
2021,Simazine,
2022,Simazine,
2023,Simazine,
2024,Simazine,
2015,Trifluralin,
2016,Trifluralin,
2017,Trifluralin,
2018,Trifluralin,
2019,Trifluralin,
2020,Trifluralin,
2021,Trifluralin,
2022,Trifluralin,
2023,Trifluralin,
2024,Trifluralin,
2015,Quinoxyfen,
2016,Quinoxyfen,
2017,Quinoxyfen,
2018,Quinoxyfen,
2019,Quinoxyfen,
2020,Quinoxyfen,
2021,Quinoxyfen,
2022,Quinoxyfen,
2023,Quinoxyfen,
2024,Quinoxyfen,
2015,Aclonifen,
2016,Aclonifen,
2017,Aclonifen,
2018,Aclonifen,
2019,Aclonifen,
2020,Aclonifen,
2021,Aclonifen,
2022,Aclonifen,
2023,Aclonifen,
2024,Aclonifen,
2015,Bifenox,
2016,Bifenox,
2017,Bifenox,
2018,Bifenox,
2019,Bifenox,
2020,Bifenox,
2021,Bifenox,
2022,Bifenox,
2023,Bifenox,
2024,Bifenox,
2015,Cybutryne,
2016,Cybutryne,
2017,Cybutryne,
2018,Cybutryne,
2019,Cybutryne,
2020,Cybutryne,
2021,Cybutryne,
2022,Cybutryne,
2023,Cybutryne,
2024,Cybutryne,
2015,Cypermethrin,
2016,Cypermethrin,
2017,Cypermethrin,
2018,Cypermethrin,
2019,Cypermethrin,
2020,Cypermethrin,
2021,Cypermethrin,
2022,Cypermethrin,
