Year,Компоненти індексу,Область,Вік,Стать,Value
2017,Відносини з урядом і безпека,Запорізька,,Жіноча,
2018,Відносини з урядом і безпека,Запорізька,,Жіноча,1.1
2019,Відносини з урядом і безпека,Запорізька,,Жіноча,
2020,Відносини з урядом і безпека,Запорізька,,Жіноча,
2021,Відносини з урядом і безпека,Запорізька,,Жіноча,
2022,Відносини з урядом і безпека,Запорізька,,Жіноча,
2023,Відносини з урядом і безпека,Запорізька,,Жіноча,
2017,Відносини з урядом і безпека,Харківська,,,
2018,Відносини з урядом і безпека,Харківська,,,
2019,Відносини з урядом і безпека,Харківська,,,
2020,Відносини з урядом і безпека,Харківська,,,
2021,Відносини з урядом і безпека,Харківська,,,
2022,Відносини з урядом і безпека,Харківська,,,
2023,Відносини з урядом і безпека,Харківська,,,
2017,Відносини з урядом і безпека,Харківська,18 – 35 років,,
2018,Відносини з урядом і безпека,Харківська,18 – 35 років,,1.5
2019,Відносини з урядом і безпека,Харківська,18 – 35 років,,
2020,Відносини з урядом і безпека,Харківська,18 – 35 років,,
2021,Відносини з урядом і безпека,Харківська,18 – 35 років,,
2022,Відносини з урядом і безпека,Харківська,18 – 35 років,,
2023,Відносини з урядом і безпека,Харківська,18 – 35 років,,
2017,Відносини з урядом і безпека,Харківська,36 – 60 років,,
2018,Відносини з урядом і безпека,Харківська,36 – 60 років,,1.3
2019,Відносини з урядом і безпека,Харківська,36 – 60 років,,
2020,Відносини з урядом і безпека,Харківська,36 – 60 років,,
2021,Відносини з урядом і безпека,Харківська,36–59 років,,
2022,Відносини з урядом і безпека,Харківська,36–59 років,,
2023,Відносини з урядом і безпека,Харківська,36–59 років,,
2017,Відносини з урядом і безпека,Харківська,61 рік і старші,,
2018,Відносини з урядом і безпека,Харківська,61 рік і старші,,0.8
2019,Відносини з урядом і безпека,Харківська,61 рік і старші,,
2020,Відносини з урядом і безпека,Харківська,61 рік і старші,,
2021,Відносини з урядом і безпека,Харківська,60 років і старші,,
2022,Відносини з урядом і безпека,Харківська,60 років і старші,,
2023,Відносини з урядом і безпека,Харківська,60 років і старші,,
2017,Відносини з урядом і безпека,Харківська,,Чоловіча,
2018,Відносини з урядом і безпека,Харківська,,Чоловіча,1.3
2019,Відносини з урядом і безпека,Харківська,,Чоловіча,
2020,Відносини з урядом і безпека,Харківська,,Чоловіча,
2021,Відносини з урядом і безпека,Харківська,,Чоловіча,
2022,Відносини з урядом і безпека,Харківська,,Чоловіча,
2023,Відносини з урядом і безпека,Харківська,,Чоловіча,
2017,Відносини з урядом і безпека,Харківська,,Жіноча,
2018,Відносини з урядом і безпека,Харківська,,Жіноча,1.2
2019,Відносини з урядом і безпека,Харківська,,Жіноча,
2020,Відносини з урядом і безпека,Харківська,,Жіноча,
2021,Відносини з урядом і безпека,Харківська,,Жіноча,
2022,Відносини з урядом і безпека,Харківська,,Жіноча,
2023,Відносини з урядом і безпека,Харківська,,Жіноча,
2017,Відносини між групами,Донецька,,,
2018,Відносини між групами,Донецька,,,
2019,Відносини між групами,Донецька,,,
2020,Відносини між групами,Донецька,,,
2021,Відносини між групами,Донецька,,,
2022,Відносини між групами,Донецька,,,
2023,Відносини між групами,Донецька,,,
2017,Відносини між групами,Донецька,18 – 35 років,,
2018,Відносини між групами,Донецька,18 – 35 років,,2.5
2019,Відносини між групами,Донецька,18 – 35 років,,6.5
2020,Відносини між групами,Донецька,18 – 35 років,,
2021,Відносини між групами,Донецька,18 – 35 років,,
2022,Відносини між групами,Донецька,18 – 35 років,,
2023,Відносини між групами,Донецька,18 – 35 років,,
2017,Відносини між групами,Донецька,36 – 60 років,,
2018,Відносини між групами,Донецька,36 – 60 років,,2.4
2019,Відносини між групами,Донецька,36 – 60 років,,6.4
2020,Відносини між групами,Донецька,36 – 60 років,,
2021,Відносини між групами,Донецька,36–59 років,,
2022,Відносини між групами,Донецька,36–59 років,,
2023,Відносини між групами,Донецька,36–59 років,,
2017,Відносини між групами,Донецька,61 рік і старші,,
2018,Відносини між групами,Донецька,61 рік і старші,,1.7
2019,Відносини між групами,Донецька,61 рік і старші,,5.9
2020,Відносини між групами,Донецька,61 рік і старші,,
2021,Відносини між групами,Донецька,60 років і старші,,
2022,Відносини між групами,Донецька,60 років і старші,,
2023,Відносини між групами,Донецька,60 років і старші,,
2017,Відносини між групами,Донецька,,Чоловіча,
2018,Відносини між групами,Донецька,,Чоловіча,2.4
2019,Відносини між групами,Донецька,,Чоловіча,6.5
2020,Відносини між групами,Донецька,,Чоловіча,
2021,Відносини між групами,Донецька,,Чоловіча,
2022,Відносини між групами,Донецька,,Чоловіча,
2023,Відносини між групами,Донецька,,Чоловіча,
2017,Відносини між групами,Донецька,,Жіноча,
2018,Відносини між групами,Донецька,,Жіноча,2.1
2019,Відносини між групами,Донецька,,Жіноча,6.1
2020,Відносини між групами,Донецька,,Жіноча,
2021,Відносини між групами,Донецька,,Жіноча,
2022,Відносини між групами,Донецька,,Жіноча,
2023,Відносини між групами,Донецька,,Жіноча,
2017,Відносини між групами,Луганська,,,
2018,Відносини між групами,Луганська,,,
2019,Відносини між групами,Луганська,,,
2020,Відносини між групами,Луганська,,,
2021,Відносини між групами,Луганська,,,
2022,Відносини між групами,Луганська,,,
2023,Відносини між групами,Луганська,,,
2017,Відносини між групами,Луганська,18 – 35 років,,
2018,Відносини між групами,Луганська,18 – 35 років,,2.9
2019,Відносини між групами,Луганська,18 – 35 років,,6.0
2020,Відносини між групами,Луганська,18 – 35 років,,
2021,Відносини між групами,Луганська,18 – 35 років,,
2022,Відносини між групами,Луганська,18 – 35 років,,
2023,Відносини між групами,Луганська,18 – 35 років,,
2017,Відносини між групами,Луганська,36 – 60 років,,
2018,Відносини між групами,Луганська,36 – 60 років,,2.7
2019,Відносини між групами,Луганська,36 – 60 років,,6.0
2020,Відносини між групами,Луганська,36 – 60 років,,
2021,Відносини між групами,Луганська,36–59 років,,
2022,Відносини між групами,Луганська,36–59 років,,
2023,Відносини між групами,Луганська,36–59 років,,
2017,Відносини між групами,Луганська,61 рік і старші,,
2018,Відносини між групами,Луганська,61 рік і старші,,2.1
2019,Відносини між групами,Луганська,61 рік і старші,,5.1
2020,Відносини між групами,Луганська,61 рік і старші,,
2021,Відносини між групами,Луганська,60 років і старші,,
2022,Відносини між групами,Луганська,60 років і старші,,
2023,Відносини між групами,Луганська,60 років і старші,,
2017,Відносини між групами,Луганська,,Чоловіча,
2018,Відносини між групами,Луганська,,Чоловіча,2.8
2019,Відносини між групами,Луганська,,Чоловіча,5.9
2020,Відносини між групами,Луганська,,Чоловіча,
2021,Відносини між групами,Луганська,,Чоловіча,
2022,Відносини між групами,Луганська,,Чоловіча,
2023,Відносини між групами,Луганська,,Чоловіча,
2017,Відносини між групами,Луганська,,Жіноча,
2018,Відносини між групами,Луганська,,Жіноча,2.4
2019,Відносини між групами,Луганська,,Жіноча,5.6
2020,Відносини між групами,Луганська,,Жіноча,
2021,Відносини між групами,Луганська,,Жіноча,
2022,Відносини між групами,Луганська,,Жіноча,
2023,Відносини між групами,Луганська,,Жіноча,
2017,Відносини між групами,Дніпропетровська,,,
2018,Відносини між групами,Дніпропетровська,,,
2019,Відносини між групами,Дніпропетровська,,,
2020,Відносини між групами,Дніпропетровська,,,
2021,Відносини між групами,Дніпропетровська,,,
2022,Відносини між групами,Дніпропетровська,,,
2023,Відносини між групами,Дніпропетровська,,,
2017,Відносини між групами,Дніпропетровська,18 – 35 років,,
2018,Відносини між групами,Дніпропетровська,18 – 35 років,,2.7
2019,Відносини між групами,Дніпропетровська,18 – 35 років,,
2020,Відносини між групами,Дніпропетровська,18 – 35 років,,
2021,Відносини між групами,Дніпропетровська,18 – 35 років,,
2022,Відносини між групами,Дніпропетровська,18 – 35 років,,
2023,Відносини між групами,Дніпропетровська,18 – 35 років,,
2017,Відносини між групами,Дніпропетровська,36 – 60 років,,
2018,Відносини між групами,Дніпропетровська,36 – 60 років,,2.2
2019,Відносини між групами,Дніпропетровська,36 – 60 років,,
2020,Відносини між групами,Дніпропетровська,36 – 60 років,,
2021,Відносини між групами,Дніпропетровська,36–59 років,,
2022,Відносини між групами,Дніпропетровська,36–59 років,,
2023,Відносини між групами,Дніпропетровська,36–59 років,,
2017,Відносини між групами,Дніпропетровська,61 рік і старші,,
2018,Відносини між групами,Дніпропетровська,61 рік і старші,,1.7
2019,Відносини між групами,Дніпропетровська,61 рік і старші,,
2020,Відносини між групами,Дніпропетровська,61 рік і старші,,
2021,Відносини між групами,Дніпропетровська,60 років і старші,,
2022,Відносини між групами,Дніпропетровська,60 років і старші,,
2023,Відносини між групами,Дніпропетровська,60 років і старші,,
2017,Відносини між групами,Дніпропетровська,,Чоловіча,
2018,Відносини між групами,Дніпропетровська,,Чоловіча,2.5
2019,Відносини між групами,Дніпропетровська,,Чоловіча,
2020,Відносини між групами,Дніпропетровська,,Чоловіча,
2021,Відносини між групами,Дніпропетровська,,Чоловіча,
2022,Відносини між групами,Дніпропетровська,,Чоловіча,
2023,Відносини між групами,Дніпропетровська,,Чоловіча,
2017,Відносини між групами,Дніпропетровська,,Жіноча,
2018,Відносини між групами,Дніпропетровська,,Жіноча,2.0
2019,Відносини між групами,Дніпропетровська,,Жіноча,
2020,Відносини між групами,Дніпропетровська,,Жіноча,
2021,Відносини між групами,Дніпропетровська,,Жіноча,
2022,Відносини між групами,Дніпропетровська,,Жіноча,
2023,Відносини між групами,Дніпропетровська,,Жіноча,
2017,Відносини між групами,Запорізька,,,
2018,Відносини між групами,Запорізька,,,
2019,Відносини між групами,Запорізька,,,
2020,Відносини між групами,Запорізька,,,
2021,Відносини між групами,Запорізька,,,
2022,Відносини між групами,Запорізька,,,
2023,Відносини між групами,Запорізька,,,
2017,Відносини між групами,Запорізька,18 – 35 років,,
2018,Відносини між групами,Запорізька,18 – 35 років,,2.9
2019,Відносини між групами,Запорізька,18 – 35 років,,
2020,Відносини між групами,Запорізька,18 – 35 років,,
2021,Відносини між групами,Запорізька,18 – 35 років,,
2022,Відносини між групами,Запорізька,18 – 35 років,,
2023,Відносини між групами,Запорізька,18 – 35 років,,
2017,Відносини між групами,Запорізька,36 – 60 років,,
2018,Відносини між групами,Запорізька,36 – 60 років,,2.9
2019,Відносини між групами,Запорізька,36 – 60 років,,
2020,Відносини між групами,Запорізька,36 – 60 років,,
2021,Відносини між групами,Запорізька,36–59 років,,
2022,Відносини між групами,Запорізька,36–59 років,,
2023,Відносини між групами,Запорізька,36–59 років,,
2017,Відносини між групами,Запорізька,61 рік і старші,,
2018,Відносини між групами,Запорізька,61 рік і старші,,2.3
2019,Відносини між групами,Запорізька,61 рік і старші,,
2020,Відносини між групами,Запорізька,61 рік і старші,,
2021,Відносини між групами,Запорізька,60 років і старші,,
2022,Відносини між групами,Запорізька,60 років і старші,,
2023,Відносини між групами,Запорізька,60 років і старші,,
2017,Відносини між групами,Запорізька,,Чоловіча,
2018,Відносини між групами,Запорізька,,Чоловіча,3.0
2019,Відносини між групами,Запорізька,,Чоловіча,
2020,Відносини між групами,Запорізька,,Чоловіча,
2021,Відносини між групами,Запорізька,,Чоловіча,
2022,Відносини між групами,Запорізька,,Чоловіча,
2023,Відносини між групами,Запорізька,,Чоловіча,
2017,Відносини між групами,Запорізька,,Жіноча,
2018,Відносини між групами,Запорізька,,Жіноча,2.5
2019,Відносини між групами,Запорізька,,Жіноча,
2020,Відносини між групами,Запорізька,,Жіноча,
2021,Відносини між групами,Запорізька,,Жіноча,
2022,Відносини між групами,Запорізька,,Жіноча,
2023,Відносини між групами,Запорізька,,Жіноча,
2017,Відносини між групами,Харківська,,,
2018,Відносини між групами,Харківська,,,
2019,Відносини між групами,Харківська,,,
2020,Відносини між групами,Харківська,,,
2021,Відносини між групами,Харківська,,,
2022,Відносини між групами,Харківська,,,
2023,Відносини між групами,Харківська,,,
2017,Відносини між групами,Харківська,18 – 35 років,,
2018,Відносини між групами,Харківська,18 – 35 років,,2.9
2019,Відносини між групами,Харківська,18 – 35 років,,
2020,Відносини між групами,Харківська,18 – 35 років,,
2021,Відносини між групами,Харківська,18 – 35 років,,
2022,Відносини між групами,Харківська,18 – 35 років,,
2023,Відносини між групами,Харківська,18 – 35 років,,
2017,Відносини між групами,Харківська,36 – 60 років,,
2018,Відносини між групами,Харківська,36 – 60 років,,2.7
2019,Відносини між групами,Харківська,36 – 60 років,,
2020,Відносини між групами,Харківська,36 – 60 років,,
2021,Відносини між групами,Харківська,36–59 років,,
2022,Відносини між групами,Харківська,36–59 років,,
2023,Відносини між групами,Харківська,36–59 років,,
2017,Відносини між групами,Харківська,61 рік і старші,,
2018,Відносини між групами,Харківська,61 рік і старші,,2.0
2019,Відносини між групами,Харківська,61 рік і старші,,
2020,Відносини між групами,Харківська,61 рік і старші,,
2021,Відносини між групами,Харківська,60 років і старші,,
2022,Відносини між групами,Харківська,60 років і старші,,
2023,Відносини між групами,Харківська,60 років і старші,,
2017,Відносини між групами,Харківська,,Чоловіча,
2018,Відносини між групами,Харківська,,Чоловіча,2.8
2019,Відносини між групами,Харківська,,Чоловіча,
2020,Відносини між групами,Харківська,,Чоловіча,
2021,Відносини між групами,Харківська,,Чоловіча,
2022,Відносини між групами,Харківська,,Чоловіча,
2023,Відносини між групами,Харківська,,Чоловіча,
2017,Відносини між групами,Харківська,,Жіноча,
2018,Відносини між групами,Харківська,,Жіноча,2.5
2019,Відносини між групами,Харківська,,Жіноча,
2020,Відносини між групами,Харківська,,Жіноча,
2021,Відносини між групами,Харківська,,Жіноча,
2022,Відносини між групами,Харківська,,Жіноча,
2023,Відносини між групами,Харківська,,Жіноча,
2017,Психо-соціальна активність,Донецька,,,
2018,Психо-соціальна активність,Донецька,,,
2019,Психо-соціальна активність,Донецька,,,
2020,Психо-соціальна активність,Донецька,,,
2021,Психо-соціальна активність,Донецька,,,
2022,Психо-соціальна активність,Донецька,,,
2023,Психо-соціальна активність,Донецька,,,
2017,Психо-соціальна активність,Донецька,18 – 35 років,,
2018,Психо-соціальна активність,Донецька,18 – 35 років,,1.9
2019,Психо-соціальна активність,Донецька,18 – 35 років,,5.1
2020,Психо-соціальна активність,Донецька,18 – 35 років,,
2021,Психо-соціальна активність,Донецька,18 – 35 років,,
2022,Психо-соціальна активність,Донецька,18 – 35 років,,
2023,Психо-соціальна активність,Донецька,18 – 35 років,,
2017,Психо-соціальна активність,Донецька,36 – 60 років,,
2018,Психо-соціальна активність,Донецька,36 – 60 років,,1.9
2019,Психо-соціальна активність,Донецька,36 – 60 років,,4.8
2020,Психо-соціальна активність,Донецька,36 – 60 років,,
2021,Психо-соціальна активність,Донецька,36–59 років,,
2022,Психо-соціальна активність,Донецька,36–59 років,,
2023,Психо-соціальна активність,Донецька,36–59 років,,
2017,Психо-соціальна активність,Донецька,61 рік і старші,,
2018,Психо-соціальна активність,Донецька,61 рік і старші,,1.0
2019,Психо-соціальна активність,Донецька,61 рік і старші,,4.8
2020,Психо-соціальна активність,Донецька,61 рік і старші,,
2021,Психо-соціальна активність,Донецька,60 років і старші,,
2022,Психо-соціальна активність,Донецька,60 років і старші,,
2023,Психо-соціальна активність,Донецька,60 років і старші,,
2017,Психо-соціальна активність,Донецька,,Чоловіча,
2018,Психо-соціальна активність,Донецька,,Чоловіча,2.5
2019,Психо-соціальна активність,Донецька,,Чоловіча,5.2
2020,Психо-соціальна активність,Донецька,,Чоловіча,
2021,Психо-соціальна активність,Донецька,,Чоловіча,
2022,Психо-соціальна активність,Донецька,,Чоловіча,
2023,Психо-соціальна активність,Донецька,,Чоловіча,
2017,Психо-соціальна активність,Донецька,,Жіноча,
2018,Психо-соціальна активність,Донецька,,Жіноча,0.9
2019,Психо-соціальна активність,Донецька,,Жіноча,4.6
2020,Психо-соціальна активність,Донецька,,Жіноча,
2021,Психо-соціальна активність,Донецька,,Жіноча,
2022,Психо-соціальна активність,Донецька,,Жіноча,
2023,Психо-соціальна активність,Донецька,,Жіноча,
2017,Психо-соціальна активність,Луганська,,,
2018,Психо-соціальна активність,Луганська,,,
2019,Психо-соціальна активність,Луганська,,,
2020,Психо-соціальна активність,Луганська,,,
2021,Психо-соціальна активність,Луганська,,,
2022,Психо-соціальна активність,Луганська,,,
2023,Психо-соціальна активність,Луганська,,,
2017,Психо-соціальна активність,Луганська,18 – 35 років,,
2018,Психо-соціальна активність,Луганська,18 – 35 років,,2.2
2019,Психо-соціальна активність,Луганська,18 – 35 років,,4.7
2020,Психо-соціальна активність,Луганська,18 – 35 років,,
2021,Психо-соціальна активність,Луганська,18 – 35 років,,
2022,Психо-соціальна активність,Луганська,18 – 35 років,,
2023,Психо-соціальна активність,Луганська,18 – 35 років,,
2017,Психо-соціальна активність,Луганська,36 – 60 років,,
2018,Психо-соціальна активність,Луганська,36 – 60 років,,1.7
2019,Психо-соціальна активність,Луганська,36 – 60 років,,4.6
2020,Психо-соціальна активність,Луганська,36 – 60 років,,
2021,Психо-соціальна активність,Луганська,36–59 років,,
2022,Психо-соціальна активність,Луганська,36–59 років,,
2023,Психо-соціальна активність,Луганська,36–59 років,,
2017,Психо-соціальна активність,Луганська,61 рік і старші,,
2018,Психо-соціальна активність,Луганська,61 рік і старші,,1.0
2019,Психо-соціальна активність,Луганська,61 рік і старші,,4.4
2020,Психо-соціальна активність,Луганська,61 рік і старші,,
2021,Психо-соціальна активність,Луганська,60 років і старші,,
2022,Психо-соціальна активність,Луганська,60 років і старші,,
2023,Психо-соціальна активність,Луганська,60 років і старші,,
2017,Психо-соціальна активність,Луганська,,Чоловіча,
2018,Психо-соціальна активність,Луганська,,Чоловіча,2.4
2019,Психо-соціальна активність,Луганська,,Чоловіча,5.0
2020,Психо-соціальна активність,Луганська,,Чоловіча,
2021,Психо-соціальна активність,Луганська,,Чоловіча,
2022,Психо-соціальна активність,Луганська,,Чоловіча,
2023,Психо-соціальна активність,Луганська,,Чоловіча,
2017,Психо-соціальна активність,Луганська,,Жіноча,
2018,Психо-соціальна активність,Луганська,,Жіноча,1.0
2019,Психо-соціальна активність,Луганська,,Жіноча,4.3
2020,Психо-соціальна активність,Луганська,,Жіноча,
2021,Психо-соціальна активність,Луганська,,Жіноча,
2022,Психо-соціальна активність,Луганська,,Жіноча,
2023,Психо-соціальна активність,Луганська,,Жіноча,
2017,Психо-соціальна активність,Дніпропетровська,,,
2018,Психо-соціальна активність,Дніпропетровська,,,
2019,Психо-соціальна активність,Дніпропетровська,,,
2020,Психо-соціальна активність,Дніпропетровська,,,
2021,Психо-соціальна активність,Дніпропетровська,,,
2022,Психо-соціальна активність,Дніпропетровська,,,
2023,Психо-соціальна активність,Дніпропетровська,,,
2017,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2018,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,2.1
2019,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2020,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2021,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2022,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2023,Психо-соціальна активність,Дніпропетровська,18 – 35 років,,
2017,Психо-соціальна активність,Дніпропетровська,36 – 60 років,,
2018,Психо-соціальна активність,Дніпропетровська,36 – 60 років,,2.0
2019,Психо-соціальна активність,Дніпропетровська,36 – 60 років,,
2020,Психо-соціальна активність,Дніпропетровська,36 – 60 років,,
2021,Психо-соціальна активність,Дніпропетровська,36–59 років,,
2022,Психо-соціальна активність,Дніпропетровська,36–59 років,,
2023,Психо-соціальна активність,Дніпропетровська,36–59 років,,
2017,Психо-соціальна активність,Дніпропетровська,61 рік і старші,,
2018,Психо-соціальна активність,Дніпропетровська,61 рік і старші,,1.4
2019,Психо-соціальна активність,Дніпропетровська,61 рік і старші,,
2020,Психо-соціальна активність,Дніпропетровська,61 рік і старші,,
2021,Психо-соціальна активність,Дніпропетровська,60 років і старші,,
2022,Психо-соціальна активність,Дніпропетровська,60 років і старші,,
2023,Психо-соціальна активність,Дніпропетровська,60 років і старші,,
2017,Психо-соціальна активність,Дніпропетровська,,Чоловіча,
2018,Психо-соціальна активність,Дніпропетровська,,Чоловіча,2.5
2019,Психо-соціальна активність,Дніпропетровська,,Чоловіча,
2020,Психо-соціальна активність,Дніпропетровська,,Чоловіча,
2021,Психо-соціальна активність,Дніпропетровська,,Чоловіча,
2022,Психо-соціальна активність,Дніпропетровська,,Чоловіча,
2023,Психо-соціальна активність,Дніпропетровська,,Чоловіча,
2017,Психо-соціальна активність,Дніпропетровська,,Жіноча,
2018,Психо-соціальна активність,Дніпропетровська,,Жіноча,1.4
2019,Психо-соціальна активність,Дніпропетровська,,Жіноча,
2020,Психо-соціальна активність,Дніпропетровська,,Жіноча,
2021,Психо-соціальна активність,Дніпропетровська,,Жіноча,
2022,Психо-соціальна активність,Дніпропетровська,,Жіноча,
2023,Психо-соціальна активність,Дніпропетровська,,Жіноча,
2017,Психо-соціальна активність,Запорізька,,,
2018,Психо-соціальна активність,Запорізька,,,
2019,Психо-соціальна активність,Запорізька,,,
2020,Психо-соціальна активність,Запорізька,,,
2021,Психо-соціальна активність,Запорізька,,,
2022,Психо-соціальна активність,Запорізька,,,
2023,Психо-соціальна активність,Запорізька,,,
2017,Психо-соціальна активність,Запорізька,18 – 35 років,,
2018,Психо-соціальна активність,Запорізька,18 – 35 років,,2.5
2019,Психо-соціальна активність,Запорізька,18 – 35 років,,
2020,Психо-соціальна активність,Запорізька,18 – 35 років,,
2021,Психо-соціальна активність,Запорізька,18 – 35 років,,
2022,Психо-соціальна активність,Запорізька,18 – 35 років,,
2023,Психо-соціальна активність,Запорізька,18 – 35 років,,
2017,Психо-соціальна активність,Запорізька,36 – 60 років,,
2018,Психо-соціальна активність,Запорізька,36 – 60 років,,2.2
2019,Психо-соціальна активність,Запорізька,36 – 60 років,,
2020,Психо-соціальна активність,Запорізька,36 – 60 років,,
2021,Психо-соціальна активність,Запорізька,36–59 років,,
2022,Психо-соціальна активність,Запорізька,36–59 років,,
2023,Психо-соціальна активність,Запорізька,36–59 років,,
2017,Психо-соціальна активність,Запорізька,61 рік і старші,,
2018,Психо-соціальна активність,Запорізька,61 рік і старші,,1.1
2019,Психо-соціальна активність,Запорізька,61 рік і старші,,
2020,Психо-соціальна активність,Запорізька,61 рік і старші,,
2021,Психо-соціальна активність,Запорізька,60 років і старші,,
2022,Психо-соціальна активність,Запорізька,60 років і старші,,
2023,Психо-соціальна активність,Запорізька,60 років і старші,,
2017,Психо-соціальна активність,Запорізька,,Чоловіча,
2018,Психо-соціальна активність,Запорізька,,Чоловіча,2.9
2019,Психо-соціальна активність,Запорізька,,Чоловіча,
2020,Психо-соціальна активність,Запорізька,,Чоловіча,
2021,Психо-соціальна активність,Запорізька,,Чоловіча,
2022,Психо-соціальна активність,Запорізька,,Чоловіча,
2023,Психо-соціальна активність,Запорізька,,Чоловіча,
2017,Психо-соціальна активність,Запорізька,,Жіноча,
2018,Психо-соціальна активність,Запорізька,,Жіноча,1.2
2019,Психо-соціальна активність,Запорізька,,Жіноча,
2020,Психо-соціальна активність,Запорізька,,Жіноча,
2021,Психо-соціальна активність,Запорізька,,Жіноча,
2022,Психо-соціальна активність,Запорізька,,Жіноча,
2023,Психо-соціальна активність,Запорізька,,Жіноча,
2017,Психо-соціальна активність,Харківська,,,
2018,Психо-соціальна активність,Харківська,,,
2019,Психо-соціальна активність,Харківська,,,
2020,Психо-соціальна активність,Харківська,,,
2021,Психо-соціальна активність,Харківська,,,
2022,Психо-соціальна активність,Харківська,,,
2023,Психо-соціальна активність,Харківська,,,
2017,Психо-соціальна активність,Харківська,18 – 35 років,,
2018,Психо-соціальна активність,Харківська,18 – 35 років,,2.3
2019,Психо-соціальна активність,Харківська,18 – 35 років,,
2020,Психо-соціальна активність,Харківська,18 – 35 років,,
2021,Психо-соціальна активність,Харківська,18 – 35 років,,
2022,Психо-соціальна активність,Харківська,18 – 35 років,,
2023,Психо-соціальна активність,Харківська,18 – 35 років,,
2017,Психо-соціальна активність,Харківська,36 – 60 років,,
2018,Психо-соціальна активність,Харківська,36 – 60 років,,1.9
2019,Психо-соціальна активність,Харківська,36 – 60 років,,
2020,Психо-соціальна активність,Харківська,36 – 60 років,,
2021,Психо-соціальна активність,Харківська,36–59 років,,
2022,Психо-соціальна активність,Харківська,36–59 років,,
2023,Психо-соціальна активність,Харківська,36–59 років,,
2017,Психо-соціальна активність,Харківська,61 рік і старші,,
2018,Психо-соціальна активність,Харківська,61 рік і старші,,1.0
2019,Психо-соціальна активність,Харківська,61 рік і старші,,
2020,Психо-соціальна активність,Харківська,61 рік і старші,,
2021,Психо-соціальна активність,Харківська,60 років і старші,,
2022,Психо-соціальна активність,Харківська,60 років і старші,,
2023,Психо-соціальна активність,Харківська,60 років і старші,,
2017,Психо-соціальна активність,Харківська,,Чоловіча,
2018,Психо-соціальна активність,Харківська,,Чоловіча,2.5
2019,Психо-соціальна активність,Харківська,,Чоловіча,
2020,Психо-соціальна активність,Харківська,,Чоловіча,
2021,Психо-соціальна активність,Харківська,,Чоловіча,
2022,Психо-соціальна активність,Харківська,,Чоловіча,
2023,Психо-соціальна активність,Харківська,,Чоловіча,
2017,Психо-соціальна активність,Харківська,,Жіноча,
2018,Психо-соціальна активність,Харківська,,Жіноча,1.2
2019,Психо-соціальна активність,Харківська,,Жіноча,
2020,Психо-соціальна активність,Харківська,,Жіноча,
2021,Психо-соціальна активність,Харківська,,Жіноча,
2022,Психо-соціальна активність,Харківська,,Жіноча,
2023,Психо-соціальна активність,Харківська,,Жіноча,
2017,Толерантна та активна громадянська позиція,Донецька,,,
2018,Толерантна та активна громадянська позиція,Донецька,,,
2019,Толерантна та активна громадянська позиція,Донецька,,,
2020,Толерантна та активна громадянська позиція,Донецька,,,
2021,Толерантна та активна громадянська позиція,Донецька,,,
2022,Толерантна та активна громадянська позиція,Донецька,,,
2023,Толерантна та активна громадянська позиція,Донецька,,,
2017,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,
2018,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,2.0
2019,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,4.9
2020,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,
2021,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,
2022,Толерантна та активна громадянська позиція,Донецька,18 – 35 років,,
