Year,Type of residence,Region,Value
2019,,Donetsk,
2019,,Zhytomyr,18.8
2019,,Zakarpattya,15.7
2019,,Zaporizhzhya,20.4
2019,,Ivano-Frankivsk,8.7
2019,,Kyiv,16.7
2019,,Kirovohrad,21.4
2019,,Luhansk,
2019,,Lviv,12.1
2019,,Mykolayiv,22.9
2019,,Odesa,13.4
2019,,Poltava,21.9
2019,,Rivne,11.6
2019,,Sumy,26.9
2019,,Ternopil,12.3
2019,,Kharkiv,25.5
2019,,Kherson,19.9
2019,,Khmelnytskiy,16.5
2019,,Cherkasy,24.8
2019,,Chernivtsi,16.2
2019,,Chernihiv,21.4
2019,,city Kyiv,20.1
2019,,city Sevastopol,
2020,,,16.3
2020,urban,,21.1
2020,rural,,7.6
2020,,Autonomous Republic of Crimea,
2020,,Vinnytsya,21.4
2020,,Volyn,12.3
2020,,Dnipropetrovsk,20.6
2020,,Donetsk,
2020,,Zhytomyr,18.5
2020,,Zakarpattya,13.5
2020,,Zaporizhzhya,19.2
2020,,Ivano-Frankivsk,8.0
2020,,Kyiv,14.6
2020,,Kirovohrad,19.8
2020,,Luhansk,
2020,,Lviv,11.4
2020,,Mykolayiv,24.9
2020,,Odesa,13.1
2020,,Poltava,19.8
2020,,Rivne,10.0
2020,,Sumy,24.6
2020,,Ternopil,12.1
2020,,Kharkiv,18.4
2020,,Kherson,19.3
2020,,Khmelnytskiy,15.2
2020,,Cherkasy,23.9
2020,,Chernivtsi,13.7
2020,,Chernihiv,21.3
2020,,city Kyiv,16.0
2020,,city Sevastopol,
2021,,,18.1
2021,urban,,23.4
2021,rural,,8.7
2021,,Autonomous Republic of Crimea,
2021,,Vinnytsya,24.7
2021,,Volyn,13.7
2021,,Dnipropetrovsk,22.2
2021,,Donetsk,
2021,,Zhytomyr,20.2
2021,,Zakarpattya,14.8
2021,,Zaporizhzhya,21.2
2021,,Ivano-Frankivsk,8.7
2021,,Kyiv,15.5
2021,,Kirovohrad,22.9
2021,,Luhansk,
2021,,Lviv,13.1
2021,,Mykolayiv,26.6
2021,,Odesa,14.5
2021,,Poltava,22.0
2021,,Rivne,12.0
2021,,Sumy,26.2
2021,,Ternopil,12.8
2021,,Kharkiv,20.5
2021,,Kherson,20.6
2021,,Khmelnytskiy,18.2
2021,,Cherkasy,25.5
2021,,Chernivtsi,15.9
2021,,Chernihiv,22.2
2021,,city Kyiv,18.1
2021,,city Sevastopol,
2022,,,12.3
2022,urban,,15.6
2022,rural,,6.5
2022,,Autonomous Republic of Crimea,
2022,,Vinnytsya,18.4
2022,,Volyn,10.7
2022,,Dnipropetrovsk,17.8
2022,,Donetsk,
2022,,Zhytomyr,16.0
2022,,Zakarpattya,13.2
2022,,Zaporizhzhya,10.9
2022,,Ivano-Frankivsk,8.0
2022,,Kyiv,10.7
2022,,Kirovohrad,17.0
2022,,Luhansk,
2022,,Lviv,11.7
2022,,Mykolayiv,12.1
2022,,Odesa,8.4
2022,,Poltava,16.7
2022,,Rivne,8.3
2022,,Sumy,23.5
2022,,Ternopil,6.5
2022,,Kharkiv,13.1
2022,,Kherson,4.8
2022,,Khmelnytskiy,16.7
2022,,Cherkasy,19.9
2022,,Chernivtsi,13.2
2022,,Chernihiv,10.1
2022,,city Kyiv,13.1
2022,,city Sevastopol,
2023,,,
2023,urban,,
2023,rural,,
2023,,Autonomous Republic of Crimea,
2023,,Vinnytsya,
2023,,Volyn,
2023,,Dnipropetrovsk,
2023,,Donetsk,
2023,,Zhytomyr,
2023,,Zakarpattya,
2023,,Zaporizhzhya,
2023,,Ivano-Frankivsk,
2023,,Kyiv,
2023,,Kirovohrad,
2023,,Luhansk,
2023,,Lviv,
2023,,Mykolayiv,
2023,,Odesa,
2023,,Poltava,
2023,,Rivne,
2023,,Sumy,
2023,,Ternopil,
2023,,Kharkiv,
2023,,Kherson,
2023,,Khmelnytskiy,
2023,,Cherkasy,
2023,,Chernivtsi,
2023,,Chernihiv,
2023,,city Kyiv,
2023,,city Sevastopol,
2024,,,
2024,urban,,
2024,rural,,
2024,,Autonomous Republic of Crimea,
2024,,Vinnytsya,
2024,,Volyn,
2024,,Dnipropetrovsk,
2024,,Donetsk,
2024,,Zhytomyr,
2024,,Zakarpattya,
2024,,Zaporizhzhya,
2024,,Ivano-Frankivsk,
2024,,Kyiv,
2024,,Kirovohrad,
2024,,Luhansk,
2024,,Lviv,
2024,,Mykolayiv,
2024,,Odesa,
2024,,Poltava,
2024,,Rivne,
2024,,Sumy,
2024,,Ternopil,
2024,,Kharkiv,
2024,,Kherson,
2024,,Khmelnytskiy,
2024,,Cherkasy,
2024,,Chernivtsi,
2024,,Chernihiv,
2024,,city Kyiv,
2024,,city Sevastopol,
