Year,Область,Value
2024,Київська,295.695
2015,Кіровоградська,99.408
2016,Кіровоградська,99.408
2017,Кіровоградська,99.408
2018,Кіровоградська,99.411
2019,Кіровоградська,100.319
2020,Кіровоградська,100.319
2021,Кіровоградська,100.405
2022,Кіровоградська,100.517
2023,Кіровоградська,100.948
2024,Кіровоградська,101.557
2015,Луганська,92.258
2016,Луганська,92.625
2017,Луганська,92.933
2018,Луганська,92.933
2019,Луганська,93.195
2020,Луганська,93.219
2021,Луганська,93.221
2022,Луганська,93.221
2023,Луганська,93.221
2024,Луганська,92.685
2015,Львівська,155.729
2016,Львівська,155.899
2017,Львівська,155.879
2018,Львівська,156.064
2019,Львівська,168.864
2020,Львівська,177.944
2021,Львівська,173.613
2022,Львівська,173.614
2023,Львівська,175.241
2024,Львівська,172.036
2015,Миколаївська,75.45
2016,Миколаївська,75.488
2017,Миколаївська,75.488
2018,Миколаївська,75.488
2019,Миколаївська,77.238
2020,Миколаївська,77.238
2021,Миколаївська,78.048
2022,Миколаївська,78.048
2023,Миколаївська,78.336
2024,Миколаївська,78.572
2015,Одеська,150.841
2016,Одеська,150.841
2017,Одеська,150.838
2018,Одеська,150.838
2019,Одеська,154.39
2020,Одеська,154.39
2021,Одеська,154.686
2022,Одеська,166.343
2023,Одеська,166.343
2024,Одеська,166.979
2015,Полтавська,142.413
2016,Полтавська,142.447
2017,Полтавська,142.447
2018,Полтавська,142.473
2019,Полтавська,142.55
2020,Полтавська,142.79
2021,Полтавська,142.79
2022,Полтавська,143.157
2023,Полтавська,144.18
2024,Полтавська,144.189
2015,Рівненська,177.45
2016,Рівненська,177.463
2017,Рівненська,177.456
2018,Рівненська,177.459
2019,Рівненська,199.478
2020,Рівненська,199.545
2021,Рівненська,199.88
2022,Рівненська,225.028
2023,Рівненська,225.028
2024,Рівненська,225.042
2015,Сумська,176.509
2016,Сумська,176.7
2017,Сумська,176.813
2018,Сумська,177.033
2019,Сумська,178.589
2020,Сумська,178.589
2021,Сумська,179.421
2022,Сумська,179.421
2023,Сумська,179.538
2024,Сумська,179.633
2015,Тернопільська,122.908
2016,Тернопільська,123.219
2017,Тернопільська,123.273
2018,Тернопільська,123.212
2019,Тернопільська,124.186
2020,Тернопільська,123.349
2021,Тернопільська,123.629
2022,Тернопільська,123.907
2023,Тернопільська,123.883
2024,Тернопільська,123.88
2015,Харківська,74.151
2016,Харківська,74.151
2017,Харківська,74.437
2018,Харківська,74.844
2019,Харківська,74.844
2020,Харківська,74.844
2021,Харківська,74.877
2022,Харківська,74.877
2023,Харківська,74.877
2024,Харківська,74.888
2015,Херсонська,302.679
2016,Херсонська,302.783
2017,Херсонська,302.783
2018,Херсонська,302.783
2019,Херсонська,318.695
2020,Херсонська,319.316
2021,Херсонська,319.316
2022,Херсонська,319.316
2023,Херсонська,319.316
2024,Херсонська,319.316
2015,Хмельницька,312.48
2016,Хмельницька,312.482
2017,Хмельницька,312.482
2018,Хмельницька,312.482
2019,Хмельницька,312.579
2020,Хмельницька,313.084
2021,Хмельницька,313.084
2022,Хмельницька,313.084
2023,Хмельницька,313.105
2024,Хмельницька,313.148
2015,Черкаська,63.118
2016,Черкаська,63.907
2017,Черкаська,64.008
2018,Черкаська,64.119
2019,Черкаська,64.596
2020,Черкаська,64.746
2021,Черкаська,64.86
2022,Черкаська,71.717
2023,Черкаська,70.36
2024,Черкаська,70.482
2015,Чернівецька,103.598
2016,Чернівецька,103.598
2017,Чернівецька,103.598
2018,Чернівецька,103.598
2019,Чернівецька,103.599
2020,Чернівецька,103.599
2021,Чернівецька,104.326
2022,Чернівецька,104.457
2023,Чернівецька,104.457
2024,Чернівецька,104.457
2015,Чернігівська,249.285
2016,Чернігівська,249.29
2017,Чернігівська,249.365
2018,Чернігівська,249.381
2019,Чернігівська,250.537
2020,Чернігівська,250.72
2021,Чернігівська,250.867
2022,Чернігівська,251.23
2023,Чернігівська,251.443
2024,Чернігівська,251.646
2015,м. Київ,17.559
2016,м. Київ,17.711
2017,м. Київ,17.711
2018,м. Київ,17.727
2019,м. Київ,18.092
2020,м. Київ,21.149
2021,м. Київ,21.267
2022,м. Київ,21.567
2023,м. Київ,21.796
2024,м. Київ,21.774
2015,м. Севастополь,26.241
2016,м. Севастополь,26.241
2017,м. Севастополь,26.241
2018,м. Севастополь,26.241
2019,м. Севастополь,26.241
2020,м. Севастополь,26.241
2021,м. Севастополь,26.241
2022,м. Севастополь,26.241
2023,м. Севастополь,26.241
2024,м. Севастополь,26.241
