Year,Age,Sex,Type of residence,Level of education,Employment status,Level of income,Displacement status,Region,Value
2021,,,,primary education,,,,,5.3
2021,,,,secondary education,,,,,5.2
2021,,,,secondary vocational education,,,,,5.0
2021,,,,tertiary education,,,,,5.1
2021,,,,,full/part-time,,,,5.0
2021,,,,,housekeeping or maternity leave,,,,5.2
2021,,,,,pensioners,,,,5.3
2021,,,,,students,,,,4.8
2021,,,,,unemployed,,,,5.0
2021,,,,,,not enough money for food,,,5.1
2021,,,,,,"enough for food, but not enough for clothes",,,5.0
2021,,,,,,"enough for clothes, but not enough for expensive goods",,,5.1
2021,,,,,,enough money for expensive goods,,,5.3
2021,,,,,,,internally displaced persons (IDPs),,
2021,,,,,,,persons who returned,,
2021,,,,,,,persons who did not leave,,
2021,,,,,,,,Autonomous Republic of Crimea,
2021,,,,,,,,Vinnytsya,5.5
2021,,,,,,,,Volyn,6.1
2021,,,,,,,,Dnipropetrovsk,5.3
2021,,,,,,,,Donetsk,4.8
2021,,,,,,,,Zhytomyr,5.4
2021,,,,,,,,Zakarpattya,4.9
2021,,,,,,,,Zaporizhzhya,4.8
2021,,,,,,,,Ivano-Frankivsk,5.5
2021,,,,,,,,Kyiv,4.9
2021,,,,,,,,Kirovohrad,5.2
2021,,,,,,,,Luhansk,5.4
2021,,,,,,,,Lviv,5.1
2021,,,,,,,,Mykolayiv,5.0
2021,,,,,,,,Odesa,4.8
2021,,,,,,,,Poltava,4.7
2021,,,,,,,,Rivne,6.5
2021,,,,,,,,Sumy,4.8
2021,,,,,,,,Ternopil,5.0
2021,,,,,,,,Kharkiv,4.4
2021,,,,,,,,Kherson,5.6
2021,,,,,,,,Khmelnytskiy,5.6
2021,,,,,,,,Cherkasy,5.3
2021,,,,,,,,Chernivtsi,5.4
2021,,,,,,,,Chernihiv,5.1
2021,,,,,,,,city Kyiv,4.4
2021,,,,,,,,city Sevastopol,
2022,,,,,,,,,
2022,men 18–35 years,,,,,,,,
2022,men 36–59 years,,,,,,,,
2022,men 60 years and older,,,,,,,,
2022,women 18–35 years,,,,,,,,
2022,women 36–59 years,,,,,,,,
2022,women 60 years and older,,,,,,,,
2022,,women,,,,,,,
2022,,men,,,,,,,
2022,,,"large cities (population 500,000 or more)",,,,,,
2020,,,"cities (population 50,000–500,000)",,,,,,
2022,,,"small cities (population less than 50,000)",,,,,,
2022,,,rural areas,,,,,,
2022,,,,primary education,,,,,
2022,,,,secondary education,,,,,
2022,,,,secondary vocational education,,,,,
2022,,,,tertiary education,,,,,
2022,,,,,full/part-time,,,,
2022,,,,,housekeeping or maternity leave,,,,
2022,,,,,pensioners,,,,
2022,,,,,students,,,,
2022,,,,,unemployed,,,,
2022,,,,,,not enough money for food,,,
2022,,,,,,"enough for food, but not enough for clothes",,,
2022,,,,,,"enough for clothes, but not enough for expensive goods",,,
2022,,,,,,enough money for expensive goods,,,
2022,,,,,,,internally displaced persons (IDPs),,
2022,,,,,,,persons who returned,,
2022,,,,,,,persons who did not leave,,
2022,,,,,,,,Autonomous Republic of Crimea,
2022,,,,,,,,Vinnytsya,
2022,,,,,,,,Volyn,
2022,,,,,,,,Dnipropetrovsk,
2022,,,,,,,,Donetsk,
2022,,,,,,,,Zhytomyr,
2022,,,,,,,,Zakarpattya,
2022,,,,,,,,Zaporizhzhya,
2022,,,,,,,,Ivano-Frankivsk,
2022,,,,,,,,Kyiv,
2022,,,,,,,,Kirovohrad,
2022,,,,,,,,Luhansk,
2022,,,,,,,,Lviv,
2022,,,,,,,,Mykolayiv,
2022,,,,,,,,Odesa,
2022,,,,,,,,Poltava,
2022,,,,,,,,Rivne,
2022,,,,,,,,Sumy,
2022,,,,,,,,Ternopil,
2022,,,,,,,,Kharkiv,
2022,,,,,,,,Kherson,
2022,,,,,,,,Khmelnytskiy,
2022,,,,,,,,Cherkasy,
2022,,,,,,,,Chernivtsi,
2022,,,,,,,,Chernihiv,
2022,,,,,,,,city Kyiv,
2022,,,,,,,,city Sevastopol,
2023,,,,,,,,,5.5
2023,men 18–35 years,,,,,,,,5.4
2023,men 36–59 years,,,,,,,,5.4
2023,men 60 years and older,,,,,,,,5.5
2023,women 18–35 years,,,,,,,,5.2
2023,women 36–59 years,,,,,,,,5.6
2023,women 60 years and older,,,,,,,,5.8
2023,,women,,,,,,,5.6
2023,,men,,,,,,,5.4
2023,,,"large cities (population 500,000 or more)",,,,,,5.5
2023,,,"cities (population 50,000–500,000)",,,,,,5.1
2023,,,"small cities (population less than 50,000)",,,,,,5.4
2023,,,rural areas,,,,,,5.8
2023,,,,primary education,,,,,5.1
2023,,,,secondary education,,,,,5.4
2023,,,,secondary vocational education,,,,,5.6
2023,,,,tertiary education,,,,,5.5
2023,,,,,full/part-time,,,,5.5
2023,,,,,housekeeping or maternity leave,,,,5.5
2023,,,,,pensioners,,,,5.6
2023,,,,,students,,,,5.3
2023,,,,,unemployed,,,,5.5
2023,,,,,,not enough money for food,,,5.0
2023,,,,,,"enough for food, but not enough for clothes",,,5.4
2023,,,,,,"enough for clothes, but not enough for expensive goods",,,5.6
2023,,,,,,enough money for expensive goods,,,5.6
