Year,Type of residence,Age,Sex,Region,Value
2021,,,,21_reg_Luhansk,11.0
2021,,,,22_reg_Lviv,2.8
2021,,,,23_reg_Mykolayiv,
2021,,,,24_reg_Odesa,10.7
2021,,,,25_reg_Poltava,8.5
2021,,,,26_reg_Rivne,5.4
2021,,,,27_reg_Sumy,3.2
2021,,,,28_reg_Ternopil,16.0
2021,,,,29_reg_Kharkiv,13.0
2021,,,,30_reg_Kherson,43.7
2021,,,,31_reg_Khmelnytskiy,
2021,,,,32_reg_Cherkasy,28.1
2021,,,,33_reg_Chernivtsi,4.1
2021,,,,34_reg_Chernihiv,27.5
2021,,,,35_reg_Kyiv_city,8.3
2021,,,,city_Sevastopol,
2021,,,,23_reg_Mykolayiv,10.7
2021,,,,31_reg_Khmelnytskiy,6.7
