Year,Age,Region,Value
2019,age_under20,17_reg_Zaporizhzhya,16.4
2019,age_under20,18_reg_Ivano-Frankivsk,17.9
2019,age_under20,19_reg_Kyiv,18.1
2019,age_under20,20_reg_Kirovohrad,24.9
2019,age_under20,22_reg_Lviv,11.4
2019,age_under20,23_reg_Mykolayiv,20.6
2019,age_under20,24_reg_Odesa,19.4
2019,age_under20,25_reg_Poltava,15.3
2019,age_under20,26_reg_Rivne,15.9
2019,age_under20,27_reg_Sumy,14.9
2019,age_under20,28_reg_Ternopil,13.9
2019,age_under20,29_reg_Kharkiv,11.8
2019,age_under20,30_reg_Kherson,21.3
2019,age_under20,31_reg_Khmelnytskiy,20.4
2019,age_under20,32_reg_Cherkasy,16.7
2019,age_under20,33_reg_Chernivtsi,18.0
2019,age_under20,34_reg_Chernihiv,15.0
2019,age_under20,35_reg_Kyiv_city,5.7
2019,age_under20,Ukraine,16.9
2020,age_15_17,Ukraine,6.8
2020,age_under15,Ukraine,0.1
2020,age_under20,11_reg_Vinnytsya,17.9
2020,age_under20,12_reg_Volyn,16.5
2020,age_under20,13_reg_Dnipropetrovsk,15.3
2020,age_under20,15_reg_Zhytomyr,21.3
2020,age_under20,16_reg_Zakarpattya,39.8
2020,age_under20,17_reg_Zaporizhzhya,13.6
2020,age_under20,18_reg_Ivano-Frankivsk,15.0
2020,age_under20,19_reg_Kyiv,14.5
2020,age_under20,20_reg_Kirovohrad,23.5
2020,age_under20,22_reg_Lviv,10.2
2020,age_under20,23_reg_Mykolayiv,20.2
2020,age_under20,24_reg_Odesa,19.1
2020,age_under20,25_reg_Poltava,16.2
2020,age_under20,26_reg_Rivne,15.6
2020,age_under20,27_reg_Sumy,13.5
2020,age_under20,28_reg_Ternopil,12.5
2020,age_under20,29_reg_Kharkiv,10.6
2020,age_under20,30_reg_Kherson,20.4
2020,age_under20,31_reg_Khmelnytskiy,18.6
2020,age_under20,32_reg_Cherkasy,16.0
2020,age_under20,33_reg_Chernivtsi,17.0
2020,age_under20,34_reg_Chernihiv,14.3
2020,age_under20,35_reg_Kyiv_city,5.4
2020,age_under20,Ukraine,15.8
2021,age_15_17,Ukraine,5.8
2021,age_under15,Ukraine,0.1
2021,age_under20,11_reg_Vinnytsya,13.6
2021,age_under20,12_reg_Volyn,14.6
2021,age_under20,13_reg_Dnipropetrovsk,13.1
2021,age_under20,15_reg_Zhytomyr,17.3
2021,age_under20,16_reg_Zakarpattya,39.6
2021,age_under20,17_reg_Zaporizhzhya,12.8
2021,age_under20,18_reg_Ivano-Frankivsk,12.7
2021,age_under20,19_reg_Kyiv,12.8
2021,age_under20,20_reg_Kirovohrad,20.2
2021,age_under20,22_reg_Lviv,9.2
2021,age_under20,23_reg_Mykolayiv,17.7
2021,age_under20,24_reg_Odesa,15.5
2021,age_under20,25_reg_Poltava,13.0
2021,age_under20,26_reg_Rivne,14.0
2021,age_under20,27_reg_Sumy,12.4
2021,age_under20,28_reg_Ternopil,12.0
2021,age_under20,29_reg_Kharkiv,8.5
2021,age_under20,30_reg_Kherson,17.0
2021,age_under20,31_reg_Khmelnytskiy,16.2
2021,age_under20,32_reg_Cherkasy,15.7
2021,age_under20,33_reg_Chernivtsi,16.3
2021,age_under20,34_reg_Chernihiv,12.4
2021,age_under20,35_reg_Kyiv_city,4.1
2021,age_under20,Ukraine,13.8
2021,,autonomous_Republic_of_Crimea,
2021,,city_Sevastopol,
2022,,,
2023,,,
2024,,,
