Year,CouncilLevel,Region,Sex,Value
2015,,22_reg_Lviv,women,37.95
2015,,22_reg_Lviv,men,62.05
2016,,22_reg_Lviv,women,37.67
2016,,22_reg_Lviv,men,62.33
2017,,22_reg_Lviv,women,37.48
2017,,22_reg_Lviv,men,62.52
2018,,22_reg_Lviv,men,62.95
2018,,22_reg_Lviv,women,37.05
2019,,22_reg_Lviv,men,63.09
2019,,22_reg_Lviv,women,36.91
2020,,22_reg_Lviv,men,71.89
2020,,22_reg_Lviv,women,28.11
2021,,22_reg_Lviv,men,72.08
2021,,22_reg_Lviv,women,27.92
2022,,22_reg_Lviv,men,7.0
2023,,22_reg_Lviv,men,71.91
2023,,22_reg_Lviv,women,28.09
2015,,23_reg_Mykolayiv,women,58.72
2015,,23_reg_Mykolayiv,men,41.28
2016,,23_reg_Mykolayiv,women,56.89
2016,,23_reg_Mykolayiv,men,43.11
2017,,23_reg_Mykolayiv,women,56.33
2017,,23_reg_Mykolayiv,men,43.67
2018,,23_reg_Mykolayiv,men,43.64
2018,,23_reg_Mykolayiv,women,56.36
2019,,23_reg_Mykolayiv,men,45.54
2019,,23_reg_Mykolayiv,women,54.46
2020,,23_reg_Mykolayiv,men,56.42
2020,,23_reg_Mykolayiv,women,43.58
2021,,23_reg_Mykolayiv,men,56.4
2021,,23_reg_Mykolayiv,women,43.6
2022,,23_reg_Mykolayiv,men,56.24
2022,,23_reg_Mykolayiv,women,43.76
2023,,23_reg_Mykolayiv,men,56.36
2023,,23_reg_Mykolayiv,women,43.64
2015,,24_reg_Odesa,women,47.99
2015,,24_reg_Odesa,men,52.01
2016,,24_reg_Odesa,women,47.74
2016,,24_reg_Odesa,men,52.26
2017,,24_reg_Odesa,women,46.85
2017,,24_reg_Odesa,men,53.15
2018,,24_reg_Odesa,men,53.52
2018,,24_reg_Odesa,women,46.48
2019,,24_reg_Odesa,men,54.02
2019,,24_reg_Odesa,women,45.98
2020,,24_reg_Odesa,men,61.67
2020,,24_reg_Odesa,women,38.33
2021,,24_reg_Odesa,men,61.43
2021,,24_reg_Odesa,women,38.57
2022,,24_reg_Odesa,men,61.36
2022,,24_reg_Odesa,women,38.64
2023,,24_reg_Odesa,men,61.35
2023,,24_reg_Odesa,women,38.65
2015,,25_reg_Poltava,women,48.83
2015,,25_reg_Poltava,men,51.17
2016,,25_reg_Poltava,women,48.46
2016,,25_reg_Poltava,men,51.54
2017,,25_reg_Poltava,women,47.24
2017,,25_reg_Poltava,men,52.76
2018,,25_reg_Poltava,men,52.99
2018,,25_reg_Poltava,women,47.08
2019,,25_reg_Poltava,men,53.28
2019,,25_reg_Poltava,women,46.72
2020,,25_reg_Poltava,men,64.12
2020,,25_reg_Poltava,women,35.82
2021,,25_reg_Poltava,men,64.1
2021,,25_reg_Poltava,women,35.9
2022,,25_reg_Poltava,men,64.13
2022,,25_reg_Poltava,women,35.97
2023,,25_reg_Poltava,men,64.1
2023,,25_reg_Poltava,women,35.9
2015,,26_reg_Rivne,women,49.47
