Year,Region,Sex,Age,Type of residence,Value
2020,city Sevastopol,,,,
2021,,,,,78.02
2021,,women,,,78.36
2021,,men,,,76.2
2021,,,6 years,,64.88
2021,,,7 years,,88.35
2021,,,8 years,,89.94
2021,,,9 years,,89.46
2021,,,10 years,,89.95
2021,,,11 years,,89.44
2021,,,12 years,,89.17
2021,,,13 years,,90.05
2021,,,14 years,,89.16
2021,,,15 years,,68.07
2021,,,16 years,,56.28
2021,,,17 years,,15.83
2021,,,,urban,81.75
2021,,,,rural,68.06
2021,Autonomous Republic of Crimea,,,,
2021,Vinnytsya,,,,83.78
2021,Volyn,,,,85.95
2021,Dnipropetrovsk,,,,82.84
2021,Donetsk,,,,36.77
2021,Zhytomyr,,,,83.42
2021,Zakarpattya,,,,83.38
2021,Zaporizhzhya,,,,82.93
2021,Ivano-Frankivsk,,,,82.84
2021,Kyiv,,,,94.11
2021,Kirovohrad,,,,82.72
2021,Luhansk,,,,24.67
2021,Lviv,,,,85.39
2021,Mykolayiv,,,,81.51
2021,Odesa,,,,84.68
2021,Poltava,,,,84.39
2021,Rivne,,,,86.36
2021,Sumy,,,,83.3
2021,Ternopil,,,,81.15
2021,Kharkiv,,,,84.59
2021,Kherson,,,,82.78
2021,Khmelnytskiy,,,,84.44
2021,Cherkasy,,,,84.55
2021,Chernivtsi,,,,84.36
2021,Chernihiv,,,,86.38
2021,the city of Kyiv,,,,85.63
2021,city Sevastopol,,,,
2022,,,,,78.22
2022,,women,,,78.54
2022,,men,,,76.43
2022,,,6 years,,67.32
2022,,,7 years,,90.36
2022,,,8 years,,89.33
2022,,,9 years,,89.86
2022,,,10 years,,89.14
2022,,,11 years,,89.72
2022,,,12 years,,89.3
2022,,,13 years,,88.57
2022,,,14 years,,89.37
2022,,,15 years,,67.69
2022,,,16 years,,56.82
2022,,,17 years,,16.61
2022,,,,urban,82.69
2022,,,,rural,66.8
2022,Autonomous Republic of Crimea,,,,
2022,Vinnytsya,,,,83.19
2022,Volyn,,,,86.02
2022,Dnipropetrovsk,,,,82.18
2022,Donetsk,,,,37.87
2022,Zhytomyr,,,,82.78
2022,Zakarpattya,,,,82.85
2022,Zaporizhzhya,,,,81.82
2022,Ivano-Frankivsk,,,,82.44
2022,Kyiv,,,,93.85
2022,Kirovohrad,,,,82.16
2022,Luhansk,,,,25.95
2022,Lviv,,,,85.09
2022,Mykolayiv,,,,81.39
2022,Odesa,,,,84.76
2022,Poltava,,,,83.98
2022,Rivne,,,,86.09
2022,Sumy,,,,82.79
2022,Ternopil,,,,80.48
2022,Kharkiv,,,,84.39
2022,Kherson,,,,82.33
2022,Khmelnytskiy,,,,83.92
2022,Cherkasy,,,,83.99
2022,Chernivtsi,,,,83.81
2022,Chernihiv,,,,86.0
2022,the city of Kyiv,,,,86.43
2022,city Sevastopol,,,,
2023,,,,,
2023,Autonomous Republic of Crimea,,,,
2023,Vinnytsya,,,,
2023,Volyn,,,,
2023,Dnipropetrovsk,,,,
2023,Donetsk,,,,
2023,Zhytomyr,,,,
2023,Zakarpattya,,,,
2023,Zaporizhzhya,,,,
2023,Ivano-Frankivsk,,,,
2023,Kyiv,,,,
2023,Kirovohrad,,,,
2023,Luhansk,,,,
2023,Lviv,,,,
2023,Mykolayiv,,,,
2023,Odesa,,,,
2023,Poltava,,,,
2023,Rivne,,,,
2023,Sumy,,,,
2023,Ternopil,,,,
2023,Kharkiv,,,,
2023,Kherson,,,,
2023,Khmelnytskiy,,,,
2023,Cherkasy,,,,
2023,Chernivtsi,,,,
2023,Chernihiv,,,,
2023,the city of Kyiv,,,,
2023,city Sevastopol,,,,
