Year,Спеціальності галузей знань,Рівні (ступені) освіти,Value
2024,182 Технології легкої промисловості,,69.27
2015,183 Технології захисту навколишнього середовища,,
2016,183 Технології захисту навколишнього середовища,,58.71
2017,183 Технології захисту навколишнього середовища,,56.36
2018,183 Технології захисту навколишнього середовища,,52.48
2019,183 Технології захисту навколишнього середовища,,49.07
2020,183 Технології захисту навколишнього середовища,,47.09
2021,183 Технології захисту навколишнього середовища,,45.88
2022,183 Технології захисту навколишнього середовища,,38.65
2023,183 Технології захисту навколишнього середовища,,25.37
2024,183 Технології захисту навколишнього середовища,,26.17
2015,184 Гірництво,,33.33
2016,184 Гірництво,,13.97
2017,184 Гірництво,,13.22
2018,184 Гірництво,,13.33
2019,184 Гірництво,,13.72
2020,184 Гірництво,,14.55
2021,184 Гірництво,,15.72
2022,184 Гірництво,,15.07
2023,184 Гірництво,,12.26
2024,184 Гірництво,,11.98
2015,185 Нафтогазова інженерія та технології,,
2016,185 Нафтогазова інженерія та технології,,6.43
2017,185 Нафтогазова інженерія та технології,,7.67
2018,185 Нафтогазова інженерія та технології,,8.48
2019,185 Нафтогазова інженерія та технології,,9.05
2020,185 Нафтогазова інженерія та технології,,9.61
2021,185 Нафтогазова інженерія та технології,,10.64
2022,185 Нафтогазова інженерія та технології,,10.79
2023,185 Нафтогазова інженерія та технології,,8.17
2024,185 Нафтогазова інженерія та технології,,7.09
2015,186 Видавництво та поліграфія,,
2016,186 Видавництво та поліграфія,,51.65
2017,186 Видавництво та поліграфія,,50.74
2018,186 Видавництво та поліграфія,,49.77
2019,186 Видавництво та поліграфія,,51.23
2020,186 Видавництво та поліграфія,,53.93
2021,186 Видавництво та поліграфія,,57.21
2022,186 Видавництво та поліграфія,,55.36
2023,186 Видавництво та поліграфія,,56.58
2024,186 Видавництво та поліграфія,,58.04
2015,187 Деревообробні та меблеві технології,,
2016,187 Деревообробні та меблеві технології,,
2017,187 Деревообробні та меблеві технології,,6.46
2018,187 Деревообробні та меблеві технології,,7.54
2019,187 Деревообробні та меблеві технології,,8.73
2020,187 Деревообробні та меблеві технології,,5.55
2021,187 Деревообробні та меблеві технології,,11.23
2022,187 Деревообробні та меблеві технології,,9.0
2023,187 Деревообробні та меблеві технології,,5.25
2024,187 Деревообробні та меблеві технології,,3.46
2015,191 Архітектура та містобудування,,85.71
2016,191 Архітектура та містобудування,,59.11
2017,191 Архітектура та містобудування,,60.19
2018,191 Архітектура та містобудування,,59.44
2019,191 Архітектура та містобудування,,58.64
2020,191 Архітектура та містобудування,,59.15
2021,191 Архітектура та містобудування,,59.82
2022,191 Архітектура та містобудування,,60.39
2023,191 Архітектура та містобудування,,61.94
2024,191 Архітектура та містобудування,,65.39
2015,192 Будівництво та цивільна інженерія,,38.46
2016,192 Будівництво та цивільна інженерія,,21.44
2017,192 Будівництво та цивільна інженерія,,20.77
2018,192 Будівництво та цивільна інженерія,,20.58
2019,192 Будівництво та цивільна інженерія,,20.8
2020,192 Будівництво та цивільна інженерія,,20.89
2021,192 Будівництво та цивільна інженерія,,22.06
2022,192 Будівництво та цивільна інженерія,,20.52
2023,192 Будівництво та цивільна інженерія,,18.03
2024,192 Будівництво та цивільна інженерія,,17.45
