Year,за рівнем рад,Область,Стать,Value
2019,,Рівненська,чоловіків,53.05
2019,,Рівненська,жінок,46.95
2020,,Рівненська,чоловіків,62.29
2020,,Рівненська,жінок,37.71
2021,,Рівненська,чоловіків,62.24
2021,,Рівненська,жінок,37.761
2022,,Рівненська,чоловіків,62.22
2022,,Рівненська,жінок,37.78
2023,,Рівненська,чоловіків,62.37
2023,,Рівненська,жінок,37.63
2018,,Сумська,чоловіків,46.6
2018,,Сумська,жінок,53.4
2019,,Сумська,чоловіків,47.98
2019,,Сумська,жінок,2.02
2020,,Сумська,чоловіків,62.2
2020,,Сумська,жінок,37.8
2021,,Сумська,чоловіків,62.53
2021,,Сумська,жінок,37.47
2022,,Сумська,чоловіків,62.46
2022,,Сумська,жінок,37.54
2023,,Сумська,чоловіків,62.72
2023,,Сумська,жінок,37.28
2018,,Тернопільська,чоловіків,53.86
2018,,Тернопільська,жінок,46.14
2019,,Тернопільська,чоловіків,54.07
2019,,Тернопільська,жінок,45.93
2020,,Тернопільська,чоловіків,66.11
2020,,Тернопільська,жінок,33.89
2021,,Тернопільська,чоловіків,66.0
2021,,Тернопільська,жінок,34.0
2022,,Тернопільська,чоловіків,65.96
2022,,Тернопільська,жінок,34.04
2023,,Тернопільська,чоловіків,65.73
2023,,Тернопільська,жінок,34.77
2018,,Харківська,чоловіків,49.13
2018,,Харківська,жінок,50.87
2019,,Харківська,чоловіків,49.83
2019,,Харківська,жінок,50.17
2020,,Харківська,чоловіків,61.09
2020,,Харківська,жінок,38.91
2021,,Харківська,чоловіків,60.84
2021,,Харківська,жінок,39.16
2022,,Харківська,чоловіків,60.95
2022,,Харківська,жінок,39.05
2023,,Харківська,чоловіків,61.67
2023,,Харківська,жінок,38.33
2018,,Херсонська,чоловіків,45.71
2018,,Херсонська,жінок,54.29
2019,,Херсонська,чоловіків,45.91
2019,,Херсонська,жінок,54.09
2020,,Херсонська,чоловіків,58.23
2020,,Херсонська,жінок,41.77
2021,,Херсонська,чоловіків,5839.0
2021,,Херсонська,жінок,41.611
2022,,Херсонська,чоловіків,7840.0
2023,,Херсонська,чоловіків,58.84
2023,,Херсонська,жінок,41.16
2018,,Хмельницька,чоловіків,52.0
2018,,Хмельницька,жінок,48.0
2019,,Хмельницька,чоловіків,2.38
2019,,Хмельницька,жінок,47.62
2020,,Хмельницька,чоловіків,62.92
2020,,Хмельницька,жінок,37.08
2021,,Хмельницька,чоловіків,63.1
2021,,Хмельницька,жінок,36.9
2022,,Хмельницька,чоловіків,63.08
2022,,Хмельницька,жінок,36.92
2023,,Хмельницька,чоловіків,62.91
2023,,Хмельницька,жінок,37.09
2018,,Черкаська,чоловіків,48.26
2018,,Черкаська,жінок,51.74
2019,,Черкаська,чоловіків,48.51
2019,,Черкаська,жінок,51.49
2020,,Черкаська,чоловіків,61.11
2020,,Черкаська,жінок,38.89
2021,,Черкаська,чоловіків,61.16
2021,,Черкаська,жінок,38.84
2022,,Черкаська,чоловіків,61.08
2022,,Черкаська,жінок,38.92
2023,,Черкаська,чоловіків,61.14
2023,,Черкаська,жінок,38.86
2018,,Чернівецька,чоловіків,63.26
2018,,Чернівецька,жінок,36.74
2019,,Чернівецька,чоловіків,63.66
2019,,Чернівецька,жінок,36.34
2020,,Чернівецька,чоловіків,67.21
2020,,Чернівецька,жінок,32.79
2021,,Чернівецька,чоловіків,66.97
2021,,Чернівецька,жінок,33.03
2022,,Чернівецька,чоловіків,66.81
2022,,Чернівецька,жінок,33.19
2023,,Чернівецька,чоловіків,66.88
2023,,Чернівецька,жінок,33.12
2018,,Чернігівська,чоловіків,46.55
2018,,Чернігівська,жінок,53.45
2019,,Чернігівська,чоловіків,49.16
2019,,Чернігівська,жінок,50.84
2020,,Чернігівська,чоловіків,59.48
2020,,Чернігівська,жінок,40.52
2021,,Чернігівська,чоловіків,59.43
2021,,Чернігівська,жінок,40.57
2022,,Чернігівська,чоловіків,59.68
2022,,Чернігівська,жінок,40.32
2023,,Чернігівська,чоловіків,59.83
2023,,Чернігівська,жінок,40.17
2018,,місто Київ,чоловіків,81.67
2018,,Автономна Республіка Крим,чоловіків,
2018,,м. Севастополь,чоловіків,
2018,,місто Київ,жінок,18.33
2018,,Автономна Республіка Крим,жінок,
2018,,м. Севастополь,жінок,
2019,,місто Київ,чоловіків,80.83
2019,,Автономна Республіка Крим,чоловіків,
2019,,м. Севастополь,чоловіків,
2019,,місто Київ,жінок,19.17
2019,,Автономна Республіка Крим,жінок,
2019,,м. Севастополь,жінок,
