Year,Types of economic activity,by the organisational and legal forms,Region,Value
2022,printing of newspapers,,,18.2
2022,other printing,,,21.3
2022,pre-press and pre-media services,,,31.6
2022,binding and related services,,,70.7
2022,reproduction of recorded media,,,100.0
2022,manufacture of coke oven products,,,14.3
2022,manufacture of refined petroleum products,,,50.0
2022,manufacture of industrial gases,,,29.5
2022,manufacture of dyes and pigments,,,
2022,manufacture of other inorganic basic chemicals,,,28.6
2022,manufacture of other organic basic chemicals,,,27.8
2022,manufacture of fertilisers and nitrogen compounds,,,18.5
2022,manufacture of plastics in primary forms,,,22.8
2022,manufacture of synthetic rubber in primary forms,,,27.7
2022,manufacture of pesticides and other agrochemical products,,,27.1
2022,"manufacture of paints, varnishes and similar coatings, printing ink and mastics",,,18.6
2022,"manufacture of soap and detergents, cleaning and polishing preparations",,,20.3
2022,manufacture of perfumes and toilet preparations,,,
2022,manufacture of explosives,,,13.7
2022,manufacture of glues,,,25.0
2022,manufacture of essential oils,,,
2022,manufacture of other chemical products n.e.c.,,,26.2
2022,manufacture of man-made fibres,,,12.5
2022,manufacture of basic pharmaceutical products,,,29.4
2022,manufacture of pharmaceutical preparations,,,27.5
2022,manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,,,38.4
2022,manufacture of other rubber products,,,42.9
2022,"manufacture of plastic plates, sheets, tubes and profiles",,,33.3
2022,manufacture of plastic packing goods,,,26.9
2022,manufacture of buildersТ ware of plastic,,,33.3
2022,manufacture of other plastic products,,,25.8
2022,manufacture of flat glass,,,16.0
2022,shaping and processing of flat glass,,,25.0
2022,manufacture of hollow glass,,,24.6
2022,manufacture of glass fibres,,,11.4
2022,"manufacture and processing of other glass, including technical glassware",,,
2022,manufacture of refractory products,,,13.2
2022,manufacture of ceramic tiles and flags,,,15.4
2022,"manufacture of bricks, tiles and construction products, in baked clay",,,21.4
2022,manufacture of ceramic household and ornamental articles,,,26.7
2022,manufacture of ceramic sanitary fixtures,,,
2022,manufacture of ceramic insulators and insulating fittings,,,11.1
2022,manufacture of other technical ceramic products,,,33.3
2022,manufacture of other ceramic products,,,
2022,manufacture of cement,,,18.5
2022,manufacture of lime and plaster,,,
2022,manufacture of concrete products for construction purposes,,,50.0
2022,manufacture of plaster products for construction purposes,,,
2022,manufacture of ready-mixed concrete,,,
2022,manufacture of mortars,,,16.7
2022,manufacture of fibre cement,,,27.3
2022,"manufacture of other articles of concrete, plaster and cement",,,10.0
2022,"cutting, shaping and finishing of stone",,,10.0
2022,production of abrasive products,,,11.2
2022,manufacture of other non-metallic mineral products n.e.c.,,,11.6
2022,manufacture of basic iron and steel and of ferro-alloys,,,11.5
2022,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,12.7
2022,cold drawing of bars,,,3.8
2022,cold rolling of narrow strip,,,8.4
2022,cold forming or folding,,,11.3
2022,cold drawing of wire,,,10.2
2022,precious metals production,,,5.3
2022,aluminium production,,,10.4
2022,"lead, zinc and tin production",,,10.4
2022,copper production,,,11.8
2022,other non-ferrous metal production,,,
2022,casting of iron,,,15.4
2022,casting of steel,,,18.8
2022,casting of light metals,,,12.5
2022,casting of other non-ferrous metals,,,25.9
2022,manufacture of metal structures and parts of structures,,,18.6
2022,manufacture of doors and windows of metal,,,15.1
2022,manufacture of central heating radiators and boilers,,,7.1
2022,"manufacture of other tanks, reservoirs and containers of metal",,,13.0
2022,"manufacture of steam generators, except central heating hot water boilers",,,16.9
2022,manufacture of weapons and ammunition,,,16.7
2022,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,35.7
2022,treatment and coating of metals,,,40.9
2022,machining,,,18.5
2022,manufacture of cutlery,,,6.7
2022,manufacture of locks and hinges,,,
2022,manufacture of tools,,,
2022,manufacture of steel drums and similar containers,,,11.1
2022,manufacture of light metal packaging,,,12.5
2022,"manufacture of wire products, chain and springs",,,13.4
2022,manufacture of fasteners and screw machine products,,,19.6
2022,manufacture of other fabricated metal products n.e.c.,,,
2022,manufacture of electronic components,,,16.2
2022,manufacture of loaded electronic boards,,,
2022,manufacture of computers and peripheral equipment,,,11.9
2022,manufacture of communication equipment,,,14.3
2022,manufacture of consumer electronics,,,
2022,"manufacture of instruments and appliances for measuring, testing and navigation",,,7.7
2022,manufacture of watches and clocks,,,5.9
2022,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,20.6
2022,manufacture of optical instruments and photographic equipment,,,25.0
2022,manufacture of magnetic and optical media,,,16.3
2022,"manufacture of electric motors, generators and transformers",,,11.9
2022,manufacture of electricity distribution and control apparatus,,,21.1
2022,manufacture of batteries and accumulators,,,16.7
2022,manufacture of fibre optic cables,,,25.0
2022,manufacture of other electronic and electric wires and cables,,,12.5
2022,manufacture of wiring devices,,,13.0
2022,manufacture of electric lighting equipment,,,6.5
2022,manufacture of electric domestic appliances,,,11.1
2022,manufacture of non-electric domestic appliances,,,
2022,manufacture of other electrical equipment,,,26.7
2022,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,16.7
2022,manufacture of fluid power equipment,,,20.0
2022,manufacture of other pumps and compressors,,,11.8
2022,manufacture of other taps and valves,,,21.4
2022,"manufacture of bearings, gears, gearing and driving elements",,,15.5
2022,"manufacture of ovens, furnaces and furnace burners",,,10.0
2022,manufacture of lifting and handling equipment,,,17.9
2022,manufacture of office machinery and equipment (except computers and peripheral equipment),,,
2022,manufacture of power-driven hand tools,,,8.3
2022,manufacture of non-domestic cooling and ventilation equipment,,,
2022,manufacture of other general-purpose machinery n.e.c.,,,
2022,manufacture of agricultural and forestry machinery,,,15.8
2022,manufacture of metal forming machinery,,,33.3
2022,manufacture of other machine tools,,,14.7
2022,manufacture of machinery for metallurgy,,,9.9
2022,"manufacture of machinery for mining, quarrying and construction",,,36.8
2022,"manufacture of machinery for food, beverage and tobacco processing",,,16.3
2022,"manufacture of machinery for textile, apparel and leather production",,,
2022,manufacture of machinery for paper and paperboard production,,,22.1
2022,manufacture of plastics and rubber machinery,,,63.2
2022,manufacture of other special-purpose machinery n.e.c.,,,12.5
2022,manufacture of motor vehicles,,,22.3
2022,manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,,,43.0
2022,manufacture of electrical and electronic equipment for motor vehicles,,,17.7
2022,manufacture of other parts and accessories for motor vehicles,,,22.2
2022,building of ships and floating structures,,,37.5
2022,building of pleasure and sporting boats,,,9.8
2022,manufacture of railway locomotives and rolling stock,,,11.4
2022,manufacture of air and spacecraft and related machinery,,,9.9
2022,manufacture of military fighting vehicles,,,12.5
2022,manufacture of motorcycles,,,18.1
2022,manufacture of bicycles and invalid carriages,,,
2022,manufacture of other transport equipment n.e.c.,,,7.0
2022,manufacture of office and shop furniture,,,9.1
2022,manufacture of kitchen furniture,,,11.3
2022,manufacture of mattresses,,,24.0
2022,manufacture of other furniture,,,50.0
2022,striking of coins,,,
2022,manufacture of jewellery and related articles,,,30.0
2022,manufacture of imitation jewellery and related articles,,,20.0
2022,manufacture of musical instruments,,,33.3
2022,manufacture of sports goods,,,28.2
2022,manufacture of games and toys,,,14.3
2022,manufacture of medical and dental instruments and supplies,,,30.9
2022,manufacture of brooms and brushes,,,
2022,other manufacturing n.e.c.,,,21.1
2022,repair of fabricated metal products,,,33.3
2022,repair of machinery,,,4.7
2022,repair of electronic and optical equipment,,,23.8
2022,repair of electrical equipment,,,18.6
2022,repair and maintenance of ships and boats,,,17.2
2022,repair and maintenance of aircraft and spacecraft,,,13.0
2022,repair and maintenance of other transport equipment,,,17.7
2022,repair of other equipment,,,14.3
2022,installation of industrial machinery and equipment,,,14.2
2022,production of electricity,,,12.4
2022,transmission of electricity,,,6.1
2022,distribution of electricity,,,16.2
2022,trade of electricity,,,11.0
2022,manufacture of gas,,,17.4
2022,distribution of gaseous fuels through mains,,,8.6
2022,trade of gas through mains,,,10.6
2022,steam and air conditioning supply,,,9.9
2022,"water collection, treatment and supply",,,20.5
2022,sewerage,,,14.1
2022,collection of non-hazardous waste,,,11.7
2022,collection of hazardous waste,,,9.2
2022,treatment and disposal of non-hazardous waste,,,16.0
2022,treatment and disposal of hazardous waste,,,11.5
2022,dismantling of wrecks,,,9.0
2022,recovery of sorted materials,,,12.4
2022,remediation activities and other waste management services,,,14.8
2022,development of building projects,,,17.1
2022,construction of residential and non-residential buildings,,,10.6
2022,construction of roads and motorways,,,26.9
2022,construction of railways and underground railways,,,24.6
2022,construction of bridges and tunnels,,,20.2
2022,construction of utility projects for fluids,,,29.9
2022,construction of utility projects for electricity and telecommunications,,,22.9
