Year,Types of economic activity,by the organisational and legal forms,Region,Value
2016,joinery installation,,,
2016,floor and wall covering,,,
2016,painting and glazing,,,
2016,other building completion and finishing,,,
2016,roofing activities,,,
2016,other specialised construction activities n.e.c.,,,
2016,sale of cars and light motor vehicles,,,
2016,sale of other motor vehicles,,,
2016,maintenance and repair of motor vehicles,,,
2016,wholesale trade of motor vehicle parts and accessories,,,
2016,retail trade of motor vehicle parts and accessories,,,
2016,"sale, maintenance and repair of motorcycles and related parts and accessories",,,
2016,"agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",,,
2016,"agents involved in the sale of fuels, ores, metals and industrial chemicals",,,
2016,agents involved in the sale of timber and building materials,,,
2016,"agents involved in the sale of machinery, industrial equipment, ships and aircraft",,,
2016,"agents involved in the sale of furniture, household goods, hardware and ironmongery",,,
2016,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,
2016,"agents involved in the sale of food, beverages and tobacco",,,
2016,agents specialised in the sale of other particular products,,,
2016,agents involved in the sale of a variety of goods,,,
2016,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,
2016,wholesale of flowers and plants,,,
2016,wholesale of live animals,,,
2016,"wholesale of hides, skins and leather",,,
2016,wholesale of fruit and vegetables,,,
2016,wholesale of meat and meat products,,,
2016,"wholesale of dairy products, eggs and edible oils and fats",,,
2016,wholesale of beverages,,,
2016,wholesale of tobacco products,,,
2016,wholesale of sugar and chocolate and sugar confectionery,,,
2016,"wholesale of coffee, tea, cocoa and spices",,,
2016,"wholesale of other food, including fish, crustaceans and molluscs",,,
2016,"non-specialised wholesale of food, beverages and tobacco",,,
2016,wholesale of textiles,,,
2016,wholesale of clothing and footwear,,,
2016,wholesale of electrical household appliances,,,
2016,wholesale of china and glassware and cleaning materials,,,
2016,wholesale of perfume and cosmetics,,,
2016,wholesale of pharmaceutical goods,,,
2016,"wholesale of furniture, carpets and lighting equipment",,,
2016,wholesale of watches and jewellery,,,
2016,wholesale of other household goods,,,
2016,"wholesale of computers, computer peripheral equipment and software",,,
2016,wholesale of electronic and telecommunications equipment and parts,,,
2016,"wholesale of agricultural machinery, equipment and supplies",,,
2016,wholesale of machine tools,,,
2016,"wholesale of mining, construction and civil engineering machinery",,,
2016,wholesale of machinery for the textile industry and of sewing and knitting machines,,,
2016,wholesale of office furniture,,,
2016,wholesale of other office machinery and equipment,,,
2016,wholesale of other machinery and equipment,,,
2016,"wholesale of solid, liquid and gaseous fuels and related products",,,
2016,wholesale of metals and metal ores,,,
2016,"wholesale of wood, construction materials and sanitary equipment",,,
2016,"wholesale of hardware, plumbing and heating equipment and supplies",,,
2016,wholesale of chemical products,,,
2016,wholesale of other intermediate products,,,
2016,wholesale of waste and scrap,,,
2016,non-specialised wholesale trade,,,
2016,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,
2016,other retail sale in non-specialised stores,,,
2016,retail sale of fruit and vegetables in specialised stores,,,
2016,retail sale of meat and meat products in specialised stores,,,
2016,"retail sale of fish, crustaceans and molluscs in specialised stores",,,
2016,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,
2016,retail sale of beverages in specialised stores,,,
2016,retail sale of tobacco products in specialised stores,,,
2016,other retail sale of food in specialised stores,,,
2016,retail sale of automotive fuel in specialised stores,,,
2016,"retail sale of computers, peripheral units and software in specialised stores",,,
2016,retail sale of telecommunications equipment in specialised stores,,,
2016,retail sale of audio and video equipment in specialised stores,,,
2016,retail sale of textiles in specialised stores,,,
2016,"retail sale of hardware, paints and glass in specialised stores",,,
2016,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,
2016,retail sale of electrical household appliances in specialised stores,,,
2016,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,
2016,retail sale of books in specialised stores,,,
2016,retail sale of newspapers and stationery in specialised stores,,,
2016,retail sale of music and video recordings in specialised stores,,,
2016,retail sale of sporting equipment in specialised stores,,,
2016,retail sale of games and toys in specialised stores,,,
2016,retail sale of clothing in specialised stores,,,
2016,retail sale of footwear and leather goods in specialised stores,,,
2016,dispensing chemist in specialised stores,,,
2016,retail sale of medical and orthopaedic goods in specialised stores,,,
2016,retail sale of cosmetic and toilet articles in specialised stores,,,
2016,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,
2016,retail sale of watches and jewellery in specialised stores,,,
2016,other retail sale of new goods in specialised stores,,,
2016,retail sale of second-hand goods in stores,,,
2016,"retail sale via stalls and markets of food, beverages and tobacco products",,,
2016,"retail sale via stalls and markets of textiles, clothing and footwear",,,
