Year,group_label_90,group_label_91,group_4,group_5,group_6,group_7,group_8,group_9,Value
2020,,group_label_108,,,,,,,
2021,,group_label_108,,,,,,,
2022,,group_label_108,,,,,,,
2023,,group_label_108,,,,,,,
2024,,group_label_108,,,,,,,
2015,,group_label_109,,,,,,,
2016,,group_label_109,,,,,,,
2017,,group_label_109,,,,,,,99.82
2018,,group_label_109,,,,,,,32.27
2019,,group_label_109,,,,,,,7.48
2020,,group_label_109,,,,,,,31.68
2021,,group_label_109,,,,,,,
2022,,group_label_109,,,,,,,
2023,,group_label_109,,,,,,,
2024,,group_label_109,,,,,,,
2015,,group_label_126,,,,,,,
2016,,group_label_126,,,,,,,
2017,,group_label_126,,,,,,,
2018,,group_label_126,,,,,,,
2019,,group_label_126,,,,,,,
2020,,group_label_126,,,,,,,
2021,,group_label_126,,,,,,,
2022,,group_label_126,,,,,,,
2023,,group_label_126,,,,,,,
2024,,group_label_126,,,,,,,
2015,,group_label_127,,,,,,,
2016,,group_label_127,,,,,,,
2017,,group_label_127,,,,,,,
2018,,group_label_127,,,,,,,
2019,,group_label_127,,,,,,,
2020,,group_label_127,,,,,,,
2021,,group_label_127,,,,,,,
2022,,group_label_127,,,,,,,
2023,,group_label_127,,,,,,,
2024,,group_label_127,,,,,,,
2015,,group_label_111,,,,,,,
2016,,group_label_111,,,,,,,
2017,,group_label_111,,,,,,,
2018,,group_label_111,,,,,,,
2019,,group_label_111,,,,,,,
2020,,group_label_111,,,,,,,
2021,,group_label_111,,,,,,,
2022,,group_label_111,,,,,,,
2023,,group_label_111,,,,,,,
2024,,group_label_111,,,,,,,
2015,,group_label_128,,,,,,,
2016,,group_label_128,,,,,,,
2017,,group_label_128,,,,,,,
2018,,group_label_128,,,,,,,
2019,,group_label_128,,,,,,,
2020,,group_label_128,,,,,,,
2021,,group_label_128,,,,,,,
2022,,group_label_128,,,,,,,
2023,,group_label_128,,,,,,,
2024,,group_label_128,,,,,,,
2015,,group_label_129,,,,,,,
2016,,group_label_129,,,,,,,
2017,,group_label_129,,,,,,,
2018,,group_label_129,,,,,,,
2019,,group_label_129,,,,,,,
2020,,group_label_129,,,,,,,
2021,,group_label_129,,,,,,,
2022,,group_label_129,,,,,,,
2023,,group_label_129,,,,,,,
2024,,group_label_129,,,,,,,
2015,,group_label_114,,,,,,,
2016,,group_label_114,,,,,,,
2017,,group_label_114,,,,,,,
2018,,group_label_114,,,,,,,
2019,,group_label_114,,,,,,,
2020,,group_label_114,,,,,,,
2021,,group_label_114,,,,,,,
2022,,group_label_114,,,,,,,
2023,,group_label_114,,,,,,,
2024,,group_label_114,,,,,,,
2015,,group_label_130,,,,,,,
2016,,group_label_130,,,,,,,
2017,,group_label_130,,,,,,,
2018,,group_label_130,,,,,,,
2019,,group_label_130,,,,,,,
2020,,group_label_130,,,,,,,
2021,,group_label_130,,,,,,,
2022,,group_label_130,,,,,,,
2023,,group_label_130,,,,,,,
2024,,group_label_130,,,,,,,
2015,,group_label_131,,,,,,,
2016,,group_label_131,,,,,,,
2017,,group_label_131,,,,,,,
2018,,group_label_131,,,,,,,
2019,,group_label_131,,,,,,,
2020,,group_label_131,,,,,,,
2021,,group_label_131,,,,,,,
2022,,group_label_131,,,,,,,
2023,,group_label_131,,,,,,,
2024,,group_label_131,,,,,,,
2015,,group_label_116,,,,,,,
2016,,group_label_116,,,,,,,
2017,,group_label_116,,,,,,,
2018,,group_label_116,,,,,,,
2019,,group_label_116,,,,,,,
2020,,group_label_116,,,,,,,
2021,,group_label_116,,,,,,,
2022,,group_label_116,,,,,,,
2023,,group_label_116,,,,,,,
2024,,group_label_116,,,,,,,
2015,,group_label_117,,,,,,,
2016,,group_label_117,,,,,,,
2017,,group_label_117,,,,,,,
2018,,group_label_117,,,,,,,
2019,,group_label_117,,,,,,,
2020,,group_label_117,,,,,,,
2021,,group_label_117,,,,,,,
2022,,group_label_117,,,,,,,
2023,,group_label_117,,,,,,,
2024,,group_label_117,,,,,,,
2015,,group_label_119,,,,,,,
2016,,group_label_119,,,,,,,
2017,,group_label_119,,,,,,,
2018,,group_label_119,,,,,,,
2019,,group_label_119,,,,,,,
2020,,group_label_119,,,,,,,
2021,,group_label_119,,,,,,,
2022,,group_label_119,,,,,,,
2023,,group_label_119,,,,,,,
2024,,group_label_119,,,,,,,
2015,,group_label_132,,,,,,,
2016,,group_label_132,,,,,,,
2017,,group_label_132,,,,,,,
2018,,group_label_132,,,,,,,
2019,,group_label_132,,,,,,,
2020,,group_label_132,,,,,,,
2021,,group_label_132,,,,,,,
2022,,group_label_132,,,,,,,
2023,,group_label_132,,,,,,,
2024,,group_label_132,,,,,,,
2015,,group_label_133,,,,,,,
2016,,group_label_133,,,,,,,
2017,,group_label_133,,,,,,,
2018,,group_label_133,,,,,,,
2019,,group_label_133,,,,,,,
2020,,group_label_133,,,,,,,
2021,,group_label_133,,,,,,,
2022,,group_label_133,,,,,,,
2023,,group_label_133,,,,,,,
2024,,group_label_133,,,,,,,
2015,,group_label_134,,,,,,,
2016,,group_label_134,,,,,,,
2017,,group_label_134,,,,,,,
2018,,group_label_134,,,,,,,
2019,,group_label_134,,,,,,,
2020,,group_label_134,,,,,,,
2021,,group_label_134,,,,,,,
2022,,group_label_134,,,,,,,
2023,,group_label_134,,,,,,,
2024,,group_label_134,,,,,,,
2015,,group_label_122,,,,,,,
2016,,group_label_122,,,,,,,
2017,,group_label_122,,,,,,,
2018,,group_label_122,,,,,,,
2019,,group_label_122,,,,,,,
2020,,group_label_122,,,,,,,
2021,,group_label_122,,,,,,,
2022,,group_label_122,,,,,,,
2023,,group_label_122,,,,,,,
2024,,group_label_122,,,,,,,
2015,,group_label_135,,,,,,,
2016,,group_label_135,,,,,,,
2017,,group_label_135,,,,,,,
2018,,group_label_135,,,,,,,
2019,,group_label_135,,,,,,,
2020,,group_label_135,,,,,,,
2021,,group_label_135,,,,,,,
2022,,group_label_135,,,,,,,
2023,,group_label_135,,,,,,,
2024,,group_label_135,,,,,,,
2015,,group_label_136,,,,,,,
2016,,group_label_136,,,,,,,
2017,,group_label_136,,,,,,,
2018,,group_label_136,,,,,,,
2019,,group_label_136,,,,,,,
2020,,group_label_136,,,,,,,
2021,,group_label_136,,,,,,,
2022,,group_label_136,,,,,,,
2023,,group_label_136,,,,,,,
2024,,group_label_136,,,,,,,
