Year,Region,Conducted by,Value
2022,Chernihiv,,
2023,Chernihiv,,
2024,Chernihiv,,96.0
2015,the city of Kyiv,,
2016,the city of Kyiv,,
2017,the city of Kyiv,,
2018,the city of Kyiv,,
2019,the city of Kyiv,,
2020,the city of Kyiv,,
2021,the city of Kyiv,,
2022,the city of Kyiv,,
2023,the city of Kyiv,,
2024,the city of Kyiv,,155.0
2015,city Sevastopol,,
2016,city Sevastopol,,
2017,city Sevastopol,,
2018,city Sevastopol,,
2019,city Sevastopol,,
2020,city Sevastopol,,
2021,city Sevastopol,,
2022,city Sevastopol,,
2023,city Sevastopol,,
2024,city Sevastopol,,
2015,,By ministries and other central executive bodies,2559.0
2016,,By ministries and other central executive bodies,2243.0
2017,,By ministries and other central executive bodies,1759.0
2018,,By ministries and other central executive bodies,1779.0
2019,,By ministries and other central executive bodies,1536.0
2020,,By ministries and other central executive bodies,1666.0
2021,,By ministries and other central executive bodies,1616.0
2022,,By ministries and other central executive bodies,957.0
2023,,By ministries and other central executive bodies,1892.0
2024,,By ministries and other central executive bodies,2013.0
2015,,"By regional, Kyiv city state administrations (military administrations)",2220.0
2016,,"By regional, Kyiv city state administrations (military administrations)",1940.0
2017,,"By regional, Kyiv city state administrations (military administrations)",1444.0
2018,,"By regional, Kyiv city state administrations (military administrations)",1448.0
2019,,"By regional, Kyiv city state administrations (military administrations)",1743.0
2020,,"By regional, Kyiv city state administrations (military administrations)",1441.0
2021,,"By regional, Kyiv city state administrations (military administrations)",1163.0
2022,,"By regional, Kyiv city state administrations (military administrations)",506.0
2023,,"By regional, Kyiv city state administrations (military administrations)",900.0
2024,,"By regional, Kyiv city state administrations (military administrations)",1000.0
