Year,WaterType,SupplyType,Region,Value
2015,sanitary_chemical,rural_pipelines,17_reg_Zaporizhzhya,36.3
2015,sanitary_chemical,non_centralized_1,17_reg_Zaporizhzhya,67.7
2015,radiation,urban_pipelines,17_reg_Zaporizhzhya,23.3
2015,radiation,rural_pipelines,17_reg_Zaporizhzhya,0.0
2015,radiation,non_centralized_1,17_reg_Zaporizhzhya,0.0
2015,microbiological,urban_pipelines,18_reg_Ivano-Frankivsk,1.3
2015,microbiological,rural_pipelines,18_reg_Ivano-Frankivsk,4.5
2015,microbiological,non_centralized_1,18_reg_Ivano-Frankivsk,38.8
2015,sanitary_chemical,urban_pipelines,18_reg_Ivano-Frankivsk,2.6
2015,sanitary_chemical,rural_pipelines,18_reg_Ivano-Frankivsk,6.1
2015,sanitary_chemical,non_centralized_1,18_reg_Ivano-Frankivsk,13.1
2015,radiation,urban_pipelines,18_reg_Ivano-Frankivsk,0.0
2015,radiation,rural_pipelines,18_reg_Ivano-Frankivsk,0.0
2015,radiation,non_centralized_1,18_reg_Ivano-Frankivsk,0.0
2015,microbiological,urban_pipelines,19_reg_Kyiv,2.8
2015,microbiological,rural_pipelines,19_reg_Kyiv,10.4
2015,microbiological,non_centralized_1,19_reg_Kyiv,19.7
2015,sanitary_chemical,urban_pipelines,19_reg_Kyiv,16.0
2015,sanitary_chemical,rural_pipelines,19_reg_Kyiv,29.7
2015,sanitary_chemical,non_centralized_1,19_reg_Kyiv,39.1
2015,radiation,urban_pipelines,19_reg_Kyiv,0.0
2015,radiation,rural_pipelines,19_reg_Kyiv,0.0
2015,radiation,non_centralized_1,19_reg_Kyiv,0.0
2015,microbiological,urban_pipelines,20_reg_Kirovohrad,2.4
2015,microbiological,rural_pipelines,20_reg_Kirovohrad,4.9
2015,microbiological,non_centralized_1,20_reg_Kirovohrad,11.5
2015,sanitary_chemical,urban_pipelines,20_reg_Kirovohrad,13.2
2015,sanitary_chemical,rural_pipelines,20_reg_Kirovohrad,21.9
2015,sanitary_chemical,non_centralized_1,20_reg_Kirovohrad,60.5
2015,radiation,urban_pipelines,20_reg_Kirovohrad,0.0
2015,radiation,rural_pipelines,20_reg_Kirovohrad,0.0
2015,radiation,non_centralized_1,20_reg_Kirovohrad,23.9
2015,microbiological,urban_pipelines,21_reg_Luhansk,4.0
2015,microbiological,rural_pipelines,21_reg_Luhansk,3.9
2015,microbiological,non_centralized_1,21_reg_Luhansk,13.9
2015,sanitary_chemical,urban_pipelines,21_reg_Luhansk,29.4
2015,sanitary_chemical,rural_pipelines,21_reg_Luhansk,53.1
2015,sanitary_chemical,non_centralized_1,21_reg_Luhansk,37.5
2015,radiation,urban_pipelines,21_reg_Luhansk,0.0
2015,radiation,rural_pipelines,21_reg_Luhansk,0.0
2015,radiation,non_centralized_1,21_reg_Luhansk,0.0
2015,microbiological,urban_pipelines,22_reg_Lviv,6.1
2015,microbiological,rural_pipelines,22_reg_Lviv,9.0
2015,microbiological,non_centralized_1,22_reg_Lviv,14.6
2015,sanitary_chemical,urban_pipelines,22_reg_Lviv,3.9
2015,sanitary_chemical,rural_pipelines,22_reg_Lviv,4.1
2015,sanitary_chemical,non_centralized_1,22_reg_Lviv,12.4
2015,radiation,urban_pipelines,22_reg_Lviv,0.0
2015,radiation,rural_pipelines,22_reg_Lviv,0.0
2015,radiation,non_centralized_1,22_reg_Lviv,0.0
2015,microbiological,urban_pipelines,23_reg_Mykolayiv,3.9
2015,microbiological,rural_pipelines,23_reg_Mykolayiv,7.8
2015,microbiological,non_centralized_1,23_reg_Mykolayiv,6.7
2015,sanitary_chemical,urban_pipelines,23_reg_Mykolayiv,38.3
2015,sanitary_chemical,rural_pipelines,23_reg_Mykolayiv,80.5
2015,sanitary_chemical,non_centralized_1,23_reg_Mykolayiv,70.5
2015,radiation,urban_pipelines,23_reg_Mykolayiv,0.0
2015,radiation,rural_pipelines,23_reg_Mykolayiv,0.0
2015,radiation,non_centralized_1,23_reg_Mykolayiv,0.0
2015,microbiological,urban_pipelines,24_reg_Odesa,5.2
2015,microbiological,rural_pipelines,24_reg_Odesa,8.9
2015,microbiological,non_centralized_1,24_reg_Odesa,31.3
2015,sanitary_chemical,urban_pipelines,24_reg_Odesa,7.1
2015,sanitary_chemical,rural_pipelines,24_reg_Odesa,14.3
2015,sanitary_chemical,non_centralized_1,24_reg_Odesa,53.0
2015,radiation,urban_pipelines,24_reg_Odesa,0.0
2015,radiation,rural_pipelines,24_reg_Odesa,0.0
2015,radiation,non_centralized_1,24_reg_Odesa,0.0
2015,microbiological,urban_pipelines,25_reg_Poltava,2.4
2015,microbiological,rural_pipelines,25_reg_Poltava,32.9
2015,microbiological,non_centralized_1,25_reg_Poltava,8.9
2015,sanitary_chemical,urban_pipelines,25_reg_Poltava,24.7
2015,sanitary_chemical,rural_pipelines,25_reg_Poltava,32.0
2015,sanitary_chemical,non_centralized_1,25_reg_Poltava,43.3
2015,radiation,urban_pipelines,25_reg_Poltava,0.0
2015,radiation,rural_pipelines,25_reg_Poltava,0.0
2015,radiation,non_centralized_1,25_reg_Poltava,0.0
2015,microbiological,urban_pipelines,26_reg_Rivne,4.1
2015,microbiological,rural_pipelines,26_reg_Rivne,23.3
2015,microbiological,non_centralized_1,26_reg_Rivne,29.0
2015,sanitary_chemical,urban_pipelines,26_reg_Rivne,11.1
2015,sanitary_chemical,rural_pipelines,26_reg_Rivne,27.3
2015,sanitary_chemical,non_centralized_1,26_reg_Rivne,40.4
2015,radiation,urban_pipelines,26_reg_Rivne,0.0
2015,radiation,rural_pipelines,26_reg_Rivne,0.0
2015,radiation,non_centralized_1,26_reg_Rivne,0.0
2015,microbiological,urban_pipelines,27_reg_Sumy,3.6
2015,microbiological,rural_pipelines,27_reg_Sumy,11.9
2015,microbiological,non_centralized_1,27_reg_Sumy,30.7
2015,sanitary_chemical,urban_pipelines,27_reg_Sumy,10.6
2015,sanitary_chemical,rural_pipelines,27_reg_Sumy,24.9
2015,sanitary_chemical,non_centralized_1,27_reg_Sumy,49.7
2015,radiation,urban_pipelines,27_reg_Sumy,0.0
2015,radiation,rural_pipelines,27_reg_Sumy,0.0
2015,radiation,non_centralized_1,27_reg_Sumy,0.0
2015,microbiological,urban_pipelines,28_reg_Ternopil,10.5
2015,microbiological,rural_pipelines,28_reg_Ternopil,15.2
2015,microbiological,non_centralized_1,28_reg_Ternopil,16.2
2015,sanitary_chemical,urban_pipelines,28_reg_Ternopil,12.9
2015,sanitary_chemical,rural_pipelines,28_reg_Ternopil,8.6
2015,sanitary_chemical,non_centralized_1,28_reg_Ternopil,16.1
2015,radiation,urban_pipelines,28_reg_Ternopil,0.0
2015,radiation,rural_pipelines,28_reg_Ternopil,0.0
2015,radiation,non_centralized_1,28_reg_Ternopil,0.0
2015,microbiological,urban_pipelines,29_reg_Kharkiv,2.9
2015,microbiological,rural_pipelines,29_reg_Kharkiv,7.5
2015,microbiological,non_centralized_1,29_reg_Kharkiv,32.4
2015,sanitary_chemical,urban_pipelines,29_reg_Kharkiv,17.2
2015,sanitary_chemical,rural_pipelines,29_reg_Kharkiv,14.7
2015,sanitary_chemical,non_centralized_1,29_reg_Kharkiv,46.9
2015,radiation,urban_pipelines,29_reg_Kharkiv,0.0
