Year,by type of educational institution,Region,Value
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Rivne,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Rivne,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Rivne,
2015,General secondary educational institutions with Internet access (without specifying the speed),Rivne,92.72
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Rivne,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Rivne,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Rivne,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Sumy,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Sumy,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Sumy,
2015,General secondary educational institutions with Internet access (without specifying the speed),Sumy,92.35
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Sumy,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Sumy,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Sumy,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ternopil,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ternopil,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ternopil,
2015,General secondary educational institutions with Internet access (without specifying the speed),Ternopil,75.39
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ternopil,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ternopil,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ternopil,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kharkiv,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kharkiv,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kharkiv,
2015,General secondary educational institutions with Internet access (without specifying the speed),Kharkiv,99.75
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kharkiv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kharkiv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kharkiv,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kherson,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kherson,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kherson,
2015,General secondary educational institutions with Internet access (without specifying the speed),Kherson,94.52
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kherson,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kherson,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kherson,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Khmelnytskiy,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Khmelnytskiy,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Khmelnytskiy,
2015,General secondary educational institutions with Internet access (without specifying the speed),Khmelnytskiy,99.22
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Khmelnytskiy,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Khmelnytskiy,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Khmelnytskiy,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Cherkasy,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Cherkasy,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Cherkasy,
2015,General secondary educational institutions with Internet access (without specifying the speed),Cherkasy,98.21
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Cherkasy,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Cherkasy,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Cherkasy,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernivtsi,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernivtsi,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernivtsi,
2015,General secondary educational institutions with Internet access (without specifying the speed),Chernivtsi,92.22
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernivtsi,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernivtsi,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernivtsi,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernihiv,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernihiv,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernihiv,
2015,General secondary educational institutions with Internet access (without specifying the speed),Chernihiv,93.44
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernihiv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernihiv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernihiv,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,the city of Kyiv,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,the city of Kyiv,
2015,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,the city of Kyiv,
2015,General secondary educational institutions with Internet access (without specifying the speed),the city of Kyiv,95.7
2015,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,the city of Kyiv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,the city of Kyiv,
2015,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,the city of Kyiv,
2015,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,city Sevastopol,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ukraine,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ukraine,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ukraine,
2016,General secondary educational institutions with Internet access (without specifying the speed),Ukraine,89.71
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ukraine,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ukraine,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ukraine,
2016,,Autonomous Republic of Crimea,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Vinnytsya,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Vinnytsya,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Vinnytsya,
2016,General secondary educational institutions with Internet access (without specifying the speed),Vinnytsya,85.48
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Vinnytsya,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Vinnytsya,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Vinnytsya,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Volyn,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Volyn,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Volyn,
2016,General secondary educational institutions with Internet access (without specifying the speed),Volyn,78.56
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Volyn,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Volyn,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Volyn,
