Year,by type of educational institution,Region,Value
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2020,General secondary educational institutions with Internet access (without specifying the speed),Kyiv,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,79.22
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,48.4
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2020,General secondary educational institutions with Internet access (without specifying the speed),Kirovohrad,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,67.79
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,40.6
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2020,General secondary educational institutions with Internet access (without specifying the speed),Luhansk,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,43.87
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,21.19
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2020,General secondary educational institutions with Internet access (without specifying the speed),Lviv,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,65.23
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,26.76
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2020,General secondary educational institutions with Internet access (without specifying the speed),Mykolayiv,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,44.47
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,25.38
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2020,General secondary educational institutions with Internet access (without specifying the speed),Odesa,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,56.24
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,29.17
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
2020,General secondary educational institutions with Internet access (without specifying the speed),Poltava,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,56.61
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,46.56
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Rivne,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Rivne,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Rivne,
2020,General secondary educational institutions with Internet access (without specifying the speed),Rivne,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Rivne,78.67
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Rivne,12.59
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Rivne,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Sumy,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Sumy,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Sumy,
2020,General secondary educational institutions with Internet access (without specifying the speed),Sumy,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Sumy,69.92
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Sumy,17.22
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Sumy,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ternopil,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ternopil,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ternopil,
2020,General secondary educational institutions with Internet access (without specifying the speed),Ternopil,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ternopil,76.21
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ternopil,21.59
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ternopil,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kharkiv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kharkiv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kharkiv,
2020,General secondary educational institutions with Internet access (without specifying the speed),Kharkiv,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kharkiv,65.73
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kharkiv,35.24
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kharkiv,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kherson,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kherson,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kherson,
2020,General secondary educational institutions with Internet access (without specifying the speed),Kherson,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kherson,53.65
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kherson,36.72
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kherson,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Khmelnytskiy,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Khmelnytskiy,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Khmelnytskiy,
2020,General secondary educational institutions with Internet access (without specifying the speed),Khmelnytskiy,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Khmelnytskiy,47.05
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Khmelnytskiy,22.62
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Khmelnytskiy,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Cherkasy,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Cherkasy,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Cherkasy,
2020,General secondary educational institutions with Internet access (without specifying the speed),Cherkasy,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Cherkasy,61.42
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Cherkasy,29.17
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Cherkasy,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernivtsi,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernivtsi,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernivtsi,
2020,General secondary educational institutions with Internet access (without specifying the speed),Chernivtsi,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernivtsi,95.88
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernivtsi,52.58
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernivtsi,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernihiv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernihiv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernihiv,
2020,General secondary educational institutions with Internet access (without specifying the speed),Chernihiv,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernihiv,38.15
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernihiv,20.47
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernihiv,
2020,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,the city of Kyiv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,the city of Kyiv,
2020,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,the city of Kyiv,
2020,General secondary educational institutions with Internet access (without specifying the speed),the city of Kyiv,
2020,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,the city of Kyiv,34.26
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,the city of Kyiv,19.44
2020,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,the city of Kyiv,
2020,,city Sevastopol,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ukraine,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ukraine,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ukraine,
2021,General secondary educational institutions with Internet access (without specifying the speed),Ukraine,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ukraine,74.34
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ukraine,38.87
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ukraine,
2021,,Autonomous Republic of Crimea,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Vinnytsya,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Vinnytsya,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Vinnytsya,
2021,General secondary educational institutions with Internet access (without specifying the speed),Vinnytsya,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Vinnytsya,63.21
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Vinnytsya,26.1
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Vinnytsya,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Volyn,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Volyn,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Volyn,
2021,General secondary educational institutions with Internet access (without specifying the speed),Volyn,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Volyn,85.71
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Volyn,18.63
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Volyn,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Dnipropetrovsk,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Dnipropetrovsk,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Dnipropetrovsk,
2021,General secondary educational institutions with Internet access (without specifying the speed),Dnipropetrovsk,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Dnipropetrovsk,75.43
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Dnipropetrovsk,56.97
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Dnipropetrovsk,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Donetsk,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Donetsk,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Donetsk,
2021,General secondary educational institutions with Internet access (without specifying the speed),Donetsk,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Donetsk,88.03
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Donetsk,76.26
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Donetsk,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zhytomyr,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zhytomyr,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zhytomyr,
2021,General secondary educational institutions with Internet access (without specifying the speed),Zhytomyr,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zhytomyr,56.36
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zhytomyr,33.57
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zhytomyr,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zakarpattya,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zakarpattya,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zakarpattya,
2021,General secondary educational institutions with Internet access (without specifying the speed),Zakarpattya,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zakarpattya,63.75
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zakarpattya,45.88
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zakarpattya,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zaporizhzhya,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zaporizhzhya,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zaporizhzhya,
2021,General secondary educational institutions with Internet access (without specifying the speed),Zaporizhzhya,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zaporizhzhya,75.63
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zaporizhzhya,50.0
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zaporizhzhya,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ivano-Frankivsk,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ivano-Frankivsk,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ivano-Frankivsk,
2021,General secondary educational institutions with Internet access (without specifying the speed),Ivano-Frankivsk,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ivano-Frankivsk,71.12
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ivano-Frankivsk,0.17
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ivano-Frankivsk,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2021,General secondary educational institutions with Internet access (without specifying the speed),Kyiv,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,87.13
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,53.8
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2021,General secondary educational institutions with Internet access (without specifying the speed),Kirovohrad,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,75.17
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,61.56
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2021,General secondary educational institutions with Internet access (without specifying the speed),Luhansk,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,46.8
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,14.0
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2021,General secondary educational institutions with Internet access (without specifying the speed),Lviv,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,76.51
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,46.26
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2021,General secondary educational institutions with Internet access (without specifying the speed),Mykolayiv,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,53.17
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,29.41
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2021,General secondary educational institutions with Internet access (without specifying the speed),Odesa,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,75.6
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,41.94
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
2021,General secondary educational institutions with Internet access (without specifying the speed),Poltava,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,69.87
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,56.05
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Rivne,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Rivne,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Rivne,
2021,General secondary educational institutions with Internet access (without specifying the speed),Rivne,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Rivne,87.76
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Rivne,0.93
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Rivne,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Sumy,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Sumy,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Sumy,
2021,General secondary educational institutions with Internet access (without specifying the speed),Sumy,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Sumy,81.27
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Sumy,35.54
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Sumy,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ternopil,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ternopil,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ternopil,
2021,General secondary educational institutions with Internet access (without specifying the speed),Ternopil,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ternopil,85.47
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ternopil,9.27
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ternopil,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kharkiv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kharkiv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kharkiv,
2021,General secondary educational institutions with Internet access (without specifying the speed),Kharkiv,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kharkiv,74.0
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kharkiv,38.29
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kharkiv,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kherson,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kherson,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kherson,
2021,General secondary educational institutions with Internet access (without specifying the speed),Kherson,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kherson,64.63
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kherson,53.19
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kherson,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Khmelnytskiy,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Khmelnytskiy,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Khmelnytskiy,
2021,General secondary educational institutions with Internet access (without specifying the speed),Khmelnytskiy,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Khmelnytskiy,66.55
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Khmelnytskiy,33.45
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Khmelnytskiy,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Cherkasy,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Cherkasy,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Cherkasy,
2021,General secondary educational institutions with Internet access (without specifying the speed),Cherkasy,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Cherkasy,78.42
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Cherkasy,48.13
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Cherkasy,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernivtsi,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernivtsi,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernivtsi,
2021,General secondary educational institutions with Internet access (without specifying the speed),Chernivtsi,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernivtsi,99.13
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernivtsi,57.73
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernivtsi,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernihiv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernihiv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernihiv,
2021,General secondary educational institutions with Internet access (without specifying the speed),Chernihiv,
2021,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Chernihiv,53.11
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Chernihiv,23.68
2021,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Chernihiv,
2021,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,the city of Kyiv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,the city of Kyiv,
2021,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,the city of Kyiv,
