Year,EducationInternetType,Region,Value
2020,preschool_wired_gt30,27_reg_Sumy,
2020,preschool_wired_gt30,28_reg_Ternopil,
2020,preschool_wired_gt30,29_reg_Kharkiv,
2020,preschool_wired_gt30,30_reg_Kherson,
2020,preschool_wired_gt30,31_reg_Khmelnytskiy,
2020,preschool_wired_gt30,32_reg_Cherkasy,
2020,preschool_wired_gt30,33_reg_Chernivtsi,
2020,preschool_wired_gt30,34_reg_Chernihiv,
2020,preschool_wired_gt30,Kyiv_city,
2020,preschool_wired_gt30,city_Sevastopol,
2021,preschool_wired_gt30,Ukraine,
2021,preschool_wired_gt30,autonomous_Republic_of_Crimea,
2021,preschool_wired_gt30,11_reg_Vinnytsya,
2021,preschool_wired_gt30,12_reg_Volyn,
2021,preschool_wired_gt30,13_reg_Dnipropetrovsk,
2021,preschool_wired_gt30,14_reg_Donetsk,
2021,preschool_wired_gt30,15_reg_Zhytomyr,
2021,preschool_wired_gt30,16_reg_Zakarpattya,
2021,preschool_wired_gt30,17_reg_Zaporizhzhya,
2021,preschool_wired_gt30,18_reg_Ivano-Frankivsk,
2021,preschool_wired_gt30,19_reg_Kyiv,
2021,preschool_wired_gt30,20_reg_Kirovohrad,
2021,preschool_wired_gt30,21_reg_Luhansk,
2021,preschool_wired_gt30,22_reg_Lviv,
2021,preschool_wired_gt30,23_reg_Mykolayiv,
2021,preschool_wired_gt30,24_reg_Odesa,
2021,preschool_wired_gt30,25_reg_Poltava,
2021,preschool_wired_gt30,26_reg_Rivne,
2021,preschool_wired_gt30,27_reg_Sumy,
2021,preschool_wired_gt30,28_reg_Ternopil,
2021,preschool_wired_gt30,29_reg_Kharkiv,
2021,preschool_wired_gt30,30_reg_Kherson,
2021,preschool_wired_gt30,31_reg_Khmelnytskiy,
2021,preschool_wired_gt30,32_reg_Cherkasy,
2021,preschool_wired_gt30,33_reg_Chernivtsi,
2021,preschool_wired_gt30,34_reg_Chernihiv,
2021,preschool_wired_gt30,Kyiv_city,
2021,preschool_wired_gt30,city_Sevastopol,
2022,preschool_wired_gt30,Ukraine,58.66
2022,preschool_wired_gt30,autonomous_Republic_of_Crimea,
2022,preschool_wired_gt30,11_reg_Vinnytsya,51.54
2022,preschool_wired_gt30,12_reg_Volyn,50.52
2022,preschool_wired_gt30,13_reg_Dnipropetrovsk,54.72
2022,preschool_wired_gt30,14_reg_Donetsk,51.25
2022,preschool_wired_gt30,15_reg_Zhytomyr,65.18
2022,preschool_wired_gt30,16_reg_Zakarpattya,52.08
2022,preschool_wired_gt30,17_reg_Zaporizhzhya,45.43
2022,preschool_wired_gt30,18_reg_Ivano-Frankivsk,55.36
2022,preschool_wired_gt30,19_reg_Kyiv,66.96
2022,preschool_wired_gt30,20_reg_Kirovohrad,43.64
2022,preschool_wired_gt30,21_reg_Luhansk,0.0
2022,preschool_wired_gt30,22_reg_Lviv,55.11
2022,preschool_wired_gt30,23_reg_Mykolayiv,51.18
2022,preschool_wired_gt30,24_reg_Odesa,71.9
2022,preschool_wired_gt30,25_reg_Poltava,56.09
2022,preschool_wired_gt30,26_reg_Rivne,49.03
2022,preschool_wired_gt30,27_reg_Sumy,73.28
2022,preschool_wired_gt30,28_reg_Ternopil,50.75
2022,preschool_wired_gt30,29_reg_Kharkiv,62.64
2022,preschool_wired_gt30,30_reg_Kherson,27.32
2022,preschool_wired_gt30,31_reg_Khmelnytskiy,61.88
