Year,Component,Region,Age,Gender,Value
2019,com_2_tolerance,29_reg_Kharkiv,,,
2020,com_2_tolerance,29_reg_Kharkiv,,,
2021,com_2_tolerance,29_reg_Kharkiv,,,
2022,com_2_tolerance,29_reg_Kharkiv,,,
2023,com_2_tolerance,29_reg_Kharkiv,,,
2017,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,4.7
2018,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2019,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2020,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2021,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2022,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2023,com_2_tolerance,29_reg_Kharkiv,age_1_18_35,,
2017,com_2_tolerance,29_reg_Kharkiv,age_2_36_60_a,,4.8
2018,com_2_tolerance,29_reg_Kharkiv,age_2_36_60_a,,
2019,com_2_tolerance,29_reg_Kharkiv,age_2_36_60_a,,
2020,com_2_tolerance,29_reg_Kharkiv,age_2_36_60_a,,
2021,com_2_tolerance,29_reg_Kharkiv,age_36_59_a,,
2022,com_2_tolerance,29_reg_Kharkiv,age_36_59_a,,
2023,com_2_tolerance,29_reg_Kharkiv,age_36_59_a,,
2017,com_2_tolerance,29_reg_Kharkiv,age_3_61,,4.7
2018,com_2_tolerance,29_reg_Kharkiv,age_3_61,,
2019,com_2_tolerance,29_reg_Kharkiv,age_3_61,,
2020,com_2_tolerance,29_reg_Kharkiv,age_3_61,,
2021,com_2_tolerance,29_reg_Kharkiv,age_60_a,,
2022,com_2_tolerance,29_reg_Kharkiv,age_60_a,,
2023,com_2_tolerance,29_reg_Kharkiv,age_60_a,,
2017,com_2_tolerance,29_reg_Kharkiv,,males_a,4.6
2018,com_2_tolerance,29_reg_Kharkiv,,males_a,
2019,com_2_tolerance,29_reg_Kharkiv,,males_a,
2020,com_2_tolerance,29_reg_Kharkiv,,males_a,
2021,com_2_tolerance,29_reg_Kharkiv,,males_a,
2022,com_2_tolerance,29_reg_Kharkiv,,males_a,
2023,com_2_tolerance,29_reg_Kharkiv,,males_a,
2017,com_2_tolerance,29_reg_Kharkiv,,females_a,4.9
2018,com_2_tolerance,29_reg_Kharkiv,,females_a,
2019,com_2_tolerance,29_reg_Kharkiv,,females_a,
2020,com_2_tolerance,29_reg_Kharkiv,,females_a,
2021,com_2_tolerance,29_reg_Kharkiv,,females_a,
2022,com_2_tolerance,29_reg_Kharkiv,,females_a,
2023,com_2_tolerance,29_reg_Kharkiv,,females_a,
2017,com_3_adapt,14_reg_Donetsk,,,
2018,com_3_adapt,14_reg_Donetsk,,,
2019,com_3_adapt,14_reg_Donetsk,,,
2020,com_3_adapt,14_reg_Donetsk,,,
2021,com_3_adapt,14_reg_Donetsk,,,
2022,com_3_adapt,14_reg_Donetsk,,,
2023,com_3_adapt,14_reg_Donetsk,,,
2017,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2018,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2019,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2020,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2021,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2022,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
2023,com_3_adapt,14_reg_Donetsk,age_1_18_35,,
