Year,by level of councils,Region,Sex,Value
2019,,Ukraine,women,46.56
2019,,Autonomous Republic of Crimea,men,
2019,,Autonomous Republic of Crimea,women,
2019,,Vinnytsya,men,51.47
2019,,Vinnytsya,women,48.53
2019,,Volyn,men,5234.0
2019,,Volyn,women,47.66
2019,,Dnipropetrovsk,men,56.6
2019,,Dnipropetrovsk,women,43.4
2019,,Donetsk,men,46.39
2019,,Donetsk,women,53.61
2019,,Zhytomyr,men,1.72
2019,,Zhytomyr,women,48.28
2019,,Zakarpattya,men,64.58
2019,,Zakarpattya,women,3549.0
2019,,Zaporizhzhya,men,53.74
2019,,Zaporizhzhya,women,46.26
2019,,Ivano-Frankivsk,men,62.73
2019,,Ivano-Frankivsk,women,37.27
2019,,Kyiv,men,52.74
2019,,Kyiv,women,47.26
2019,,Kirovohrad,men,47.82
2019,,Kirovohrad,women,52.18
2019,,Luhansk,men,46.56
2019,,Luhansk,women,53.44
2019,,Lviv,men,63.09
2019,,Lviv,women,36.91
2019,,Mykolayiv,men,45.54
2019,,Mykolayiv,women,54.46
2019,,Odesa,men,54.02
2019,,Odesa,women,45.98
2019,,Poltava,men,53.28
2019,,Poltava,women,46.72
2019,,Rivne,men,53.05
2019,,Rivne,women,46.95
2019,,Sumy,men,47.98
2019,,Sumy,women,2.02
2019,,Ternopil,men,54.07
2019,,Ternopil,women,45.93
2019,,Kharkiv,men,49.83
2019,,Kharkiv,women,50.17
2019,,Kherson,men,45.91
2019,,Kherson,women,54.09
2019,,Khmelnytskiy,men,2.38
2019,,Khmelnytskiy,women,47.62
2019,,Cherkasy,men,48.51
2019,,Cherkasy,women,51.49
2019,,Chernivtsi,men,63.66
2019,,Chernivtsi,women,36.34
2019,,Chernihiv,men,49.16
2019,,Chernihiv,women,50.84
2019,,the city of Kyiv,men,80.83
2019,,the city of Kyiv,women,19.17
2019,,city Sevastopol,men,
2019,,city Sevastopol,women,
2020,regional councils,,women,26.76
2020,regional councils,,men,73.24
2020,district councils,,women,34.7
2020,district councils,,men,65.3
2020,city councils (including Kyiv City council),,women,33.12
2020,city councils (including Kyiv City council),,men,66.88
2020,district councils in cities,,women,43.24
2020,district councils in cities,,men,56.76
2020,settlement councils,,women,37.92
2020,settlement councils,,men,62.08
2020,village councils,,women,41.28
2020,village councils,,men,58.72
2020,,Ukraine,men,63.02
2020,,Ukraine,women,36.98
2020,,Autonomous Republic of Crimea,men,
2020,,Autonomous Republic of Crimea,women,
2020,,Vinnytsya,men,64.17
2020,,Vinnytsya,women,35.83
2020,,Volyn,men,61.99
2020,,Volyn,women,38.01
2020,,Dnipropetrovsk,men,58.7
2020,,Dnipropetrovsk,women,41.3
2020,,Donetsk,men,59.14
2020,,Donetsk,women,40.86
2020,,Zhytomyr,men,61.61
2020,,Zhytomyr,women,38.39
2020,,Zakarpattya,men,71.58
2020,,Zakarpattya,women,2949.0
2020,,Zaporizhzhya,men,57.63
2020,,Zaporizhzhya,women,42.37
2020,,Ivano-Frankivsk,men,69.02
2020,,Ivano-Frankivsk,women,30.98
2020,,Kyiv,men,65.97
2020,,Kyiv,women,34.03
2020,,Kirovohrad,men,63.87
2020,,Kirovohrad,women,36.13
2020,,Luhansk,men,58.14
2020,,Luhansk,women,41.86
2020,,Lviv,men,71.89
2020,,Lviv,women,28.11
2020,,Mykolayiv,men,56.42
2020,,Mykolayiv,women,43.58
2020,,Odesa,men,61.67
2020,,Odesa,women,38.33
2020,,Poltava,men,64.12
2020,,Poltava,women,35.82
2020,,Rivne,men,62.29
2020,,Rivne,women,37.71
2020,,Sumy,men,62.2
2020,,Sumy,women,37.8
2020,,Ternopil,men,66.11
2020,,Ternopil,women,33.89
2020,,Kharkiv,men,61.09
2020,,Kharkiv,women,38.91
2020,,Kherson,men,58.23
2020,,Kherson,women,41.77
2020,,Khmelnytskiy,men,62.92
2020,,Khmelnytskiy,women,37.08
2020,,Cherkasy,men,61.11
2020,,Cherkasy,women,38.89
2020,,Chernivtsi,men,67.21
2020,,Chernivtsi,women,32.79
2020,,Chernihiv,men,59.48
2020,,Chernihiv,women,40.52
2020,,the city of Kyiv,men,71.67
2020,,the city of Kyiv,women,28.33
2020,,city Sevastopol,men,
2020,,city Sevastopol,women,
2021,regional councils,,women,26.88
2021,regional councils,,men,73.12
2021,district councils,,women,34.66
2021,district councils,,men,65.34
2021,city councils (including Kyiv City council),,women,33.22
2021,city councils (including Kyiv City council),,men,66.78
2021,district councils in cities,,women,42.6
2021,district councils in cities,,men,57.4
2021,settlement councils,,women,38.0
2021,settlement councils,,men,62.0
2021,village councils,,women,41.2
2021,village councils,,men,58.8
2021,,Ukraine,men,62.99
2021,,Ukraine,women,37.01
2021,,Autonomous Republic of Crimea,men,
2021,,Autonomous Republic of Crimea,women,
2021,,Vinnytsya,men,64.12
2021,,Vinnytsya,women,35.88
2021,,Volyn,men,61.94
2021,,Volyn,women,38.06
2021,,Dnipropetrovsk,men,8.81
2021,,Dnipropetrovsk,women,41.19
2021,,Donetsk,men,59.07
2021,,Donetsk,women,40.93
2021,,Zhytomyr,men,61.51
2021,,Zhytomyr,women,38.49
2021,,Zakarpattya,men,7155.0
2021,,Zakarpattya,women,945.0
2021,,Zaporizhzhya,men,57.77
2021,,Zaporizhzhya,women,42.23
2021,,Ivano-Frankivsk,men,68.74
2021,,Ivano-Frankivsk,women,31.26
2021,,Kyiv,men,65.97
2021,,Kyiv,women,34.03
2021,,Kirovohrad,men,64.03
2021,,Kirovohrad,women,38.97
2021,,Luhansk,men,57.12
2021,,Luhansk,women,42.88
2021,,Lviv,men,72.08
2021,,Lviv,women,27.92
2021,,Mykolayiv,men,56.4
2021,,Mykolayiv,women,43.6
2021,,Odesa,men,61.43
2021,,Odesa,women,38.57
2021,,Poltava,men,64.1
2021,,Poltava,women,35.9
2021,,Rivne,men,62.24
2021,,Rivne,women,37.761
2021,,Sumy,men,62.53
2021,,Sumy,women,37.47
2021,,Ternopil,men,66.0
2021,,Ternopil,women,34.0
2021,,Kharkiv,men,60.84
2021,,Kharkiv,women,39.16
2021,,Kherson,men,5839.0
2021,,Kherson,women,41.611
2021,,Khmelnytskiy,men,63.1
2021,,Khmelnytskiy,women,36.9
2021,,Cherkasy,men,61.16
2021,,Cherkasy,women,38.84
2021,,Chernivtsi,men,66.97
2021,,Chernivtsi,women,33.03
2021,,Chernihiv,men,59.43
2021,,Chernihiv,women,40.57
2021,,the city of Kyiv,men,72.27
2021,,the city of Kyiv,women,27.73
2021,,city Sevastopol,men,
2021,,city Sevastopol,women,
2022,regional councils,,women,27.37
2022,regional councils,,men,72.63
2022,district councils,,women,34.67
2022,district councils,,men,65.33
2022,city councils (including Kyiv City council),,women,33.32
2022,city councils (including Kyiv City council),,men,66.68
2022,district councils in cities,,women,42.5
2022,district councils in cities,,men,57.5
2022,settlement councils,,women,38.05
2022,settlement councils,,men,61.95
2022,village councils,,women,41.23
2022,village councils,,men,58.77
2022,,Ukraine,men,62.93
2022,,Ukraine,women,37.07
2022,,Autonomous Republic of Crimea,women,
2022,,Vinnytsya,men,64.11
2022,,Vinnytsya,women,35.89
2022,,Volyn,men,161.85
2022,,Volyn,women,1.0
2022,,Dnipropetrovsk,men,58.7
2022,,Dnipropetrovsk,women,41.3
2022,,Donetsk,men,59.04
2022,,Donetsk,women,40.96
2022,,Zhytomyr,men,61.31
2022,,Zhytomyr,women,38.69
2022,,Zakarpattya,men,3.0
2022,,Zaporizhzhya,men,57.7
2022,,Zaporizhzhya,women,42.3
2022,,Ivano-Frankivsk,men,68.78
2022,,Ivano-Frankivsk,women,31.22
2022,,Kyiv,men,65.76
2022,,Kyiv,women,34.24
2022,,Kirovohrad,men,63.99
2022,,Kirovohrad,women,36.01
2022,,Luhansk,men,57.14
2022,,Luhansk,women,42.36
2022,,Lviv,men,7.0
2022,,Mykolayiv,men,56.24
2022,,Mykolayiv,women,43.76
2022,,Odesa,men,61.36
2022,,Odesa,women,38.64
2022,,Poltava,men,64.13
2022,,Poltava,women,35.97
2022,,Rivne,men,62.22
2022,,Rivne,women,37.78
2022,,Sumy,men,62.46
2022,,Sumy,women,37.54
2022,,Ternopil,men,65.96
2022,,Ternopil,women,34.04
2022,,Kharkiv,men,60.95
2022,,Kharkiv,women,39.05
2022,,Kherson,men,7840.0
2022,,Khmelnytskiy,men,63.08
2022,,Khmelnytskiy,women,36.92
2022,,Cherkasy,men,61.08
2022,,Cherkasy,women,38.92
2022,,Chernivtsi,men,66.81
2022,,Chernivtsi,women,33.19
2022,,Chernihiv,men,59.68
2022,,Chernihiv,women,40.32
2022,,the city of Kyiv,men,70.83
2022,,the city of Kyiv,women,99.17
2022,,city Sevastopol,women,
2023,regional councils,,women,27.55
2023,regional councils,,men,72.45
2023,district councils,,women,34.34
2023,district councils,,men,65.66
2023,city councils (including Kyiv City council),,women,33.29
2023,city councils (including Kyiv City council),,men,66.71
2023,district councils in cities,,women,42.45
2023,district councils in cities,,men,57.55
2023,settlement councils,,women,37.99
2023,settlement councils,,men,62.01
2023,village councils,,women,41.07
2023,village councils,,men,58.93
2023,,Ukraine,men,63.02
2023,,Ukraine,women,36.98
2023,,Autonomous Republic of Crimea,men,
2023,,Autonomous Republic of Crimea,women,
2023,,Vinnytsya,men,63.88
2023,,Vinnytsya,women,36.12
2023,,Volyn,men,61.99
2023,,Volyn,women,38.01
2023,,Dnipropetrovsk,men,58.68
2023,,Dnipropetrovsk,women,41.32
2023,,Donetsk,men,59.02
2023,,Donetsk,women,40.98
2023,,Zhytomyr,men,61.03
2023,,Zhytomyr,women,38.97
2023,,Zakarpattya,men,79.99
2023,,Zakarpattya,women,2772.0
2023,,Zaporizhzhya,men,57.92
2023,,Zaporizhzhya,women,42.08
2023,,Ivano-Frankivsk,men,68.49
2023,,Ivano-Frankivsk,women,31.51
2023,,Kyiv,men,65.66
2023,,Kyiv,women,34.34
2023,,Kirovohrad,men,64.09
2023,,Kirovohrad,women,35.91
2023,,Luhansk,men,56.26
2023,,Luhansk,women,43.14
2023,,Lviv,men,71.91
2023,,Lviv,women,28.09
2023,,Mykolayiv,men,56.36
2023,,Mykolayiv,women,43.64
2023,,Odesa,men,61.35
2023,,Odesa,women,38.65
2023,,Poltava,men,64.1
2023,,Poltava,women,35.9
2023,,Rivne,men,62.37
2023,,Rivne,women,37.63
2023,,Sumy,men,62.72
2023,,Sumy,women,37.28
2023,,Ternopil,men,65.73
2023,,Ternopil,women,34.77
2023,,Kharkiv,men,61.67
2023,,Kharkiv,women,38.33
2023,,Kherson,men,58.84
2023,,Kherson,women,41.16
2023,,Khmelnytskiy,men,62.91
2023,,Khmelnytskiy,women,37.09
2023,,Cherkasy,men,61.14
2023,,Cherkasy,women,38.86
2023,,Chernivtsi,men,66.88
2023,,Chernivtsi,women,33.12
2023,,Chernihiv,men,59.83
2023,,Chernihiv,women,40.17
2023,,the city of Kyiv,men,72.03
2023,,the city of Kyiv,women,97.97
2023,,city Sevastopol,men,
2023,,city Sevastopol,women,
2024,,Ukraine,men,
2024,,Ukraine,women,
2024,,Autonomous Republic of Crimea,men,
2024,,Vinnytsya,men,
2024,,Volyn,men,
2024,,Dnipropetrovsk,men,
2024,,Donetsk,men,
2024,,Zhytomyr,men,
2024,,Zakarpattya,men,
2024,,Zaporizhzhya,men,
2024,,Ivano-Frankivsk,men,
2024,,Kyiv,men,
2024,,Kirovohrad,men,
2024,,Luhansk,men,
2024,,Lviv,men,
2024,,Mykolayiv,men,
2024,,Odesa,men,
2024,,Poltava,men,
2024,,Rivne,men,
2024,,Sumy,men,
2024,,Ternopil,men,
2024,,Kharkiv,men,
2024,,Kherson,men,
2024,,Khmelnytskiy,men,
2024,,Cherkasy,men,
2024,,Chernivtsi,men,
2024,,Chernihiv,men,
2024,,the city of Kyiv,men,
2024,,city Sevastopol,men,
