Year,Region,Age,Gender,Type of place of residence,education,Employment status,Income level,Displacement status,Value
2022,Poltava,,,,,,,,
2022,Rivne,,,,,,,,
2022,Sumy,,,,,,,,
2022,Ternopil,,,,,,,,
2022,Kharkiv,,,,,,,,
2022,Kherson,,,,,,,,
2022,Khmelnytskiy,,,,,,,,
2022,Cherkasy,,,,,,,,
2022,Chernivtsi,,,,,,,,
2022,Chernihiv,,,,,,,,
2022,the city of Kyiv,,,,,,,,
2022,city Sevastopol,,,,,,,,
2023,,men 18–35 years,,,,,,,5.4
2023,,men 36–59 years,,,,,,,5.4
2023,,men 60 years and older,,,,,,,5.5
2023,,women 18–35 years,,,,,,,5.2
2023,,women 36–59 years,,,,,,,5.6
2023,,women 60 years and older,,,,,,,5.8
2023,,,females,,,,,,5.6
2023,,,men,,,,,,5.4
2023,,,,"large cities (population 500,000 or more)",,,,,5.5
2023,,,,"cities (population 50,000–500,000)",,,,,5.1
2023,,,,"small cities (population less than 50,000)",,,,,5.4
2023,,,,rural areas,,,,,5.8
2023,,,,,Primary education,,,,5.1
2023,,,,,Secondary education,,,,5.4
2023,,,,,Secondary vocational education,,,,5.6
2023,,,,,tertiary education,,,,5.5
2023,,,,,,Full/part-time employment,,,5.5
2023,,,,,,Housekeeping or maternity leave,,,5.5
2023,,,,,,Pensioners,,,5.6
2023,,,,,,Students,,,5.3
2023,,,,,,Unemployed,,,5.5
2023,,,,,,,Not enough money for food,,5.0
2023,,,,,,,"Enough for food, but not enough for clothing",,5.4
2023,,,,,,,"Enough for clothing, but not enough for expensive goods",,5.6
2023,,,,,,,Enough money for expensive goods,,5.6
2023,,,,,,,,Internally displaced persons (IDPs),5.6
2023,,,,,,,,Returnees,5.4
2023,,,,,,,,People who did not leave,5.5
2023,Ukraine,,,,,,,,5.5
2023,Autonomous Republic of Crimea,,,,,,,,
2023,Vinnytsya,,,,,,,,5.8
2023,Volyn,,,,,,,,5.2
2023,Dnipropetrovsk,,,,,,,,6.0
2023,Donetsk,,,,,,,,
2023,Zhytomyr,,,,,,,,5.0
2023,Zakarpattya,,,,,,,,5.5
2023,Zaporizhzhya,,,,,,,,4.4
2023,Ivano-Frankivsk,,,,,,,,5.6
2023,Kyiv,,,,,,,,5.4
2023,Kirovohrad,,,,,,,,6.0
2023,Luhansk,,,,,,,,
2023,Lviv,,,,,,,,6.2
2023,Mykolayiv,,,,,,,,5.1
2023,Odesa,,,,,,,,5.4
2023,Poltava,,,,,,,,5.6
2023,Rivne,,,,,,,,4.9
2023,Sumy,,,,,,,,5.0
2023,Ternopil,,,,,,,,5.4
2023,Kharkiv,,,,,,,,5.9
2023,Kherson,,,,,,,,5.2
2023,Khmelnytskiy,,,,,,,,5.0
2023,Cherkasy,,,,,,,,5.5
2023,Chernivtsi,,,,,,,,5.7
2023,Chernihiv,,,,,,,,5.7
2023,the city of Kyiv,,,,,,,,5.1
2023,city Sevastopol,,,,,,,,
2024,,men 18–35 years,,,,,,,5.0
2024,,men 36–59 years,,,,,,,5.2
2024,,men 60 years and older,,,,,,,5.0
2024,,women 18–35 years,,,,,,,5.0
2024,,women 36–59 years,,,,,,,5.2
2024,,women 60 years and older,,,,,,,5.4
2024,,,females,,,,,,5.2
2024,,,men,,,,,,5.1
2024,,,,"large cities (population 500,000 or more)",,,,,4.8
2024,,,,"cities (population 50,000–500,000)",,,,,4.9
2024,,,,"small cities (population less than 50,000)",,,,,5.1
2024,,,,rural areas,,,,,5.5
2024,,,,,Primary education,,,,5.3
2024,,,,,Secondary education,,,,5.1
2024,,,,,Secondary vocational education,,,,5.2
2024,,,,,tertiary education,,,,5.1
2024,,,,,,Full/part-time employment,,,5.1
2024,,,,,,Housekeeping or maternity leave,,,5.1
2024,,,,,,Pensioners,,,5.3
2024,,,,,,Students,,,5.0
2024,,,,,,Unemployed,,,5.1
2024,,,,,,,Not enough money for food,,5.0
2024,,,,,,,"Enough for food, but not enough for clothing",,5.1
2024,,,,,,,"Enough for clothing, but not enough for expensive goods",,5.2
2024,,,,,,,Enough money for expensive goods,,5.1
2024,,,,,,,,Internally displaced persons (IDPs),5.0
2024,,,,,,,,Returnees,5.1
2024,,,,,,,,People who did not leave,5.2
2024,Ukraine,,,,,,,,5.2
2024,Autonomous Republic of Crimea,,,,,,,,
2024,Vinnytsya,,,,,,,,5.5
2024,Volyn,,,,,,,,5.7
2024,Dnipropetrovsk,,,,,,,,5.4
2024,Donetsk,,,,,,,,
2024,Zhytomyr,,,,,,,,5.0
2024,Zakarpattya,,,,,,,,4.4
2024,Zaporizhzhya,,,,,,,,4.4
2024,Ivano-Frankivsk,,,,,,,,5.6
2024,Kyiv,,,,,,,,5.4
2024,Kirovohrad,,,,,,,,5.1
2024,Luhansk,,,,,,,,
2024,Lviv,,,,,,,,5.6
2024,Mykolayiv,,,,,,,,5.0
2024,Odesa,,,,,,,,4.8
2024,Poltava,,,,,,,,5.4
2024,Rivne,,,,,,,,5.8
2024,Sumy,,,,,,,,4.7
2024,Ternopil,,,,,,,,4.8
2024,Kharkiv,,,,,,,,5.2
2024,Kherson,,,,,,,,5.3
2024,Khmelnytskiy,,,,,,,,5.0
2024,Cherkasy,,,,,,,,5.5
2024,Chernivtsi,,,,,,,,5.1
2024,Chernihiv,,,,,,,,4.9
2024,the city of Kyiv,,,,,,,,4.5
2024,city Sevastopol,,,,,,,,
