Year,Еconomic activity,Value
2018,"Water collection, treatment and supply, sewerage, wastewater collection and treatment",0.02
2019,"Water collection, treatment and supply, sewerage, wastewater collection and treatment",
2020,"Water collection, treatment and supply, sewerage, wastewater collection and treatment",
2021,"Water collection, treatment and supply, sewerage, wastewater collection and treatment",
2022,"Water collection, treatment and supply, sewerage, wastewater collection and treatment",
2023,"Water collection, treatment and supply, sewerage, wastewater collection and treatment",
2024,"Water collection, treatment and supply, sewerage, wastewater collection and treatment",0.6
2015,"Waste collection, treatment and disposal activities; materials recovery and other waste management activities",
2016,"Waste collection, treatment and disposal activities; materials recovery and other waste management activities",
2017,"Waste collection, treatment and disposal activities; materials recovery and other waste management activities",
2018,"Waste collection, treatment and disposal activities; materials recovery and other waste management activities",0.1
2019,"Waste collection, treatment and disposal activities; materials recovery and other waste management activities",
2020,"Waste collection, treatment and disposal activities; materials recovery and other waste management activities",
2021,"Waste collection, treatment and disposal activities; materials recovery and other waste management activities",
2022,"Waste collection, treatment and disposal activities; materials recovery and other waste management activities",
2023,"Waste collection, treatment and disposal activities; materials recovery and other waste management activities",
2024,"Waste collection, treatment and disposal activities; materials recovery and other waste management activities",0.0
2015,"Wholesale trade, except of motor vehicles and motorcycles, transport, storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2016,"Wholesale trade, except of motor vehicles and motorcycles, transport, storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2017,"Wholesale trade, except of motor vehicles and motorcycles, transport, storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2018,"Wholesale trade, except of motor vehicles and motorcycles, transport, storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",0.5
2019,"Wholesale trade, except of motor vehicles and motorcycles, transport, storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2020,"Wholesale trade, except of motor vehicles and motorcycles, transport, storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",0.4
2021,"Wholesale trade, except of motor vehicles and motorcycles, transport, storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2022,"Wholesale trade, except of motor vehicles and motorcycles, transport, storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",0.4
2023,"Wholesale trade, except of motor vehicles and motorcycles, transport, storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2024,"Wholesale trade, except of motor vehicles and motorcycles, transport, storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",1.1
2015,"Wholesale trade, except of motor vehicles and motorcycles",
2016,"Wholesale trade, except of motor vehicles and motorcycles",
2017,"Wholesale trade, except of motor vehicles and motorcycles",
2018,"Wholesale trade, except of motor vehicles and motorcycles",0.1
2019,"Wholesale trade, except of motor vehicles and motorcycles",
