Year,Specialties of fields of knowledge,Level (degree) of education,Value
2016,"141 Electric power engineering, electrical engineering and electromechanics",,8.39
2017,"141 Electric power engineering, electrical engineering and electromechanics",,8.63
2018,"141 Electric power engineering, electrical engineering and electromechanics",,8.54
2019,"141 Electric power engineering, electrical engineering and electromechanics",,7.98
2020,"141 Electric power engineering, electrical engineering and electromechanics",,7.85
2021,"141 Electric power engineering, electrical engineering and electromechanics",,7.35
2022,"141 Electric power engineering, electrical engineering and electromechanics",,7.03
2023,"141 Electric power engineering, electrical engineering and electromechanics",,6.15
2024,"141 Electric power engineering, electrical engineering and electromechanics",,5.69
2015,142 Energy mechanical engineering,,
2016,142 Energy mechanical engineering,,4.15
2017,142 Energy mechanical engineering,,4.56
2018,142 Energy mechanical engineering,,4.58
2019,142 Energy mechanical engineering,,4.48
2020,142 Energy mechanical engineering,,4.47
2021,142 Energy mechanical engineering,,3.83
2022,142 Energy mechanical engineering,,3.94
2023,142 Energy mechanical engineering,,3.96
2024,142 Energy mechanical engineering,,4.02
2015,143 Nuclear power engineering,,
2016,143 Nuclear power engineering,,16.44
2017,143 Nuclear power engineering,,16.03
2018,143 Nuclear power engineering,,16.31
2019,143 Nuclear power engineering,,18.13
2020,143 Nuclear power engineering,,19.27
2021,143 Nuclear power engineering,,20.3
2022,143 Nuclear power engineering,,20.0
2023,143 Nuclear power engineering,,17.78
2024,143 Nuclear power engineering,,20.06
2015,144 Thermal power engineering,,
2016,144 Thermal power engineering,,20.92
2017,144 Thermal power engineering,,20.87
2018,144 Thermal power engineering,,19.9
2019,144 Thermal power engineering,,18.67
2020,144 Thermal power engineering,,19.24
2021,144 Thermal power engineering,,18.62
2022,144 Thermal power engineering,,17.38
2023,144 Thermal power engineering,,15.23
2024,144 Thermal power engineering,,14.06
2015,145 Renewable energy sources and hydropower,,
2016,145 Renewable energy sources and hydropower,,
2017,145 Renewable energy sources and hydropower,,
2018,145 Renewable energy sources and hydropower,,
2019,145 Renewable energy sources and hydropower,,
2020,145 Renewable energy sources and hydropower,,
2021,145 Renewable energy sources and hydropower,,
2022,145 Renewable energy sources and hydropower,,
2023,145 Renewable energy sources and hydropower,,3.57
2024,145 Renewable energy sources and hydropower,,4.87
2015,145 Hydropower engineering,,
2016,145 Hydropower engineering,,22.56
2017,145 Hydropower engineering,,27.94
2018,145 Hydropower engineering,,28.39
2019,145 Hydropower engineering,,27.55
2020,145 Hydropower engineering,,21.74
2021,145 Hydropower engineering,,13.37
2022,145 Hydropower engineering,,10.8
2023,145 Hydropower engineering,,11.18
2024,145 Hydropower engineering,,13.25
2015,151 Automation and computer-integrated technologies,,
2016,151 Automation and computer-integrated technologies,,14.59
2017,151 Automation and computer-integrated technologies,,13.94
2018,151 Automation and computer-integrated technologies,,12.88
2019,151 Automation and computer-integrated technologies,,11.96
2020,151 Automation and computer-integrated technologies,,11.11
2021,151 Automation and computer-integrated technologies,,10.41
2022,151 Automation and computer-integrated technologies,,9.68
2023,151 Automation and computer-integrated technologies,,9.15
2024,151 Automation and computer-integrated technologies,,9.8
2015,152 Metrology and information and measurement technology,,
2016,152 Metrology and information and measurement technology,,35.93
2017,152 Metrology and information and measurement technology,,33.52
2018,152 Metrology and information and measurement technology,,32.82
2019,152 Metrology and information and measurement technology,,31.8
2020,152 Metrology and information and measurement technology,,29.09
2021,152 Metrology and information and measurement technology,,26.11
2022,152 Metrology and information and measurement technology,,21.39
2023,152 Metrology and information and measurement technology,,19.87
2024,152 Metrology and information and measurement technology,,22.63
2015,153 Micro- and nanosystem engineering,,
2016,153 Micro- and nanosystem engineering,,17.66
2017,153 Micro- and nanosystem engineering,,16.21
2018,153 Micro- and nanosystem engineering,,16.43
2019,153 Micro- and nanosystem engineering,,16.31
2020,153 Micro- and nanosystem engineering,,15.44
2021,153 Micro- and nanosystem engineering,,14.52
