Year,Types of economic activity,Value
2021,Manufacture of chemicals and chemical products (Code NACE Rev.2 – 20),0.2
2022,Manufacture of chemicals and chemical products (Code NACE Rev.2 – 20),0.3
2023,Manufacture of chemicals and chemical products (Code NACE Rev.2 – 20),0.3
2024,Manufacture of chemicals and chemical products (Code NACE Rev.2 – 20),c
2015,Manufacture of basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 21),3.0
2016,Manufacture of basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 21),
2017,Manufacture of basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 21),1.6
2018,Manufacture of basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 21),2.4
2019,Manufacture of basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 21),1.7
2020,Manufacture of basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 21),3.5
2021,Manufacture of basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 21),0.9
2022,Manufacture of basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 21),1.9
2023,Manufacture of basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 21),1.3
2024,Manufacture of basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 21),3.2
2015,Manufacture of rubber and plastic products (Code NACE Rev.2 – 22),1.6
2016,Manufacture of rubber and plastic products (Code NACE Rev.2 – 22),
2017,Manufacture of rubber and plastic products (Code NACE Rev.2 – 22),1.6
2018,Manufacture of rubber and plastic products (Code NACE Rev.2 – 22),2.0
2019,Manufacture of rubber and plastic products (Code NACE Rev.2 – 22),1.8
2020,Manufacture of rubber and plastic products (Code NACE Rev.2 – 22),0.9
2021,Manufacture of rubber and plastic products (Code NACE Rev.2 – 22),c
2022,Manufacture of rubber and plastic products (Code NACE Rev.2 – 22),0.2
2023,Manufacture of rubber and plastic products (Code NACE Rev.2 – 22),0.2
2024,Manufacture of rubber and plastic products (Code NACE Rev.2 – 22),0.3
2015,Manufacture of other non-metallic mineral products (Code NACE Rev.2 – 23),0.3
2016,Manufacture of other non-metallic mineral products (Code NACE Rev.2 – 23),
2017,Manufacture of other non-metallic mineral products (Code NACE Rev.2 – 23),0.9
2018,Manufacture of other non-metallic mineral products (Code NACE Rev.2 – 23),1.0
2019,Manufacture of other non-metallic mineral products (Code NACE Rev.2 – 23),0.7
2020,Manufacture of other non-metallic mineral products (Code NACE Rev.2 – 23),1.1
2021,Manufacture of other non-metallic mineral products (Code NACE Rev.2 – 23),0.1
2022,Manufacture of other non-metallic mineral products (Code NACE Rev.2 – 23),0.7
2023,Manufacture of other non-metallic mineral products (Code NACE Rev.2 – 23),0.4
2024,Manufacture of other non-metallic mineral products (Code NACE Rev.2 – 23),0.6
2015,Manufacture of basic metals (Code NACE Rev.2 – 24),2.2
2016,Manufacture of basic metals (Code NACE Rev.2 – 24),
2017,Manufacture of basic metals (Code NACE Rev.2 – 24),0.9
2018,Manufacture of basic metals (Code NACE Rev.2 – 24),0.5
2019,Manufacture of basic metals (Code NACE Rev.2 – 24),3.2
2020,Manufacture of basic metals (Code NACE Rev.2 – 24),c
2021,Manufacture of basic metals (Code NACE Rev.2 – 24),c
2022,Manufacture of basic metals (Code NACE Rev.2 – 24),c
2023,Manufacture of basic metals (Code NACE Rev.2 – 24),c
2024,Manufacture of basic metals (Code NACE Rev.2 – 24),c
2015,"Manufacture of fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 25)",1.4
2016,"Manufacture of fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 25)",
2017,"Manufacture of fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 25)",1.2
2018,"Manufacture of fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 25)",2.7
2019,"Manufacture of fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 25)",0.7
2020,"Manufacture of fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 25)",1.5
2021,"Manufacture of fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 25)",1.0
2022,"Manufacture of fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 25)",3.3
2023,"Manufacture of fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 25)",c
2024,"Manufacture of fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 25)",19.7
2015,"Manufacture of computer, electronic and optical products (Code NACE Rev.2 – 26)",6.4
