Year,by types of economic activity,by the organisational and legal forms,Region,Value
2022,manufacture of other technical ceramic products,,,19.0
2023,manufacture of other technical ceramic products,,,19.0
2024,manufacture of other technical ceramic products,,,21.7
2025,manufacture of other technical ceramic products,,,28.0
2016,manufacture of other ceramic products,,,
2017,manufacture of other ceramic products,,,
2018,manufacture of other ceramic products,,,
2019,manufacture of other ceramic products,,,
2020,manufacture of other ceramic products,,,
2021,manufacture of other ceramic products,,,
2022,manufacture of other ceramic products,,,16.0
2023,manufacture of other ceramic products,,,16.0
2024,manufacture of other ceramic products,,,24.0
2025,manufacture of other ceramic products,,,23.1
2016,manufacture of cement,,,
2017,manufacture of cement,,,
2018,manufacture of cement,,,
2019,manufacture of cement,,,
2020,manufacture of cement,,,
2021,manufacture of cement,,,
2022,manufacture of cement,,,15.3
2023,manufacture of cement,,,14.8
2024,manufacture of cement,,,20.6
2025,manufacture of cement,,,23.1
2016,manufacture of lime and plaster,,,
2017,manufacture of lime and plaster,,,
2018,manufacture of lime and plaster,,,
2019,manufacture of lime and plaster,,,
2020,manufacture of lime and plaster,,,
2021,manufacture of lime and plaster,,,
2022,manufacture of lime and plaster,,,9.3
2023,manufacture of lime and plaster,,,10.1
2024,manufacture of lime and plaster,,,12.2
2025,manufacture of lime and plaster,,,17.6
2016,manufacture of concrete products for construction purposes,,,
2017,manufacture of concrete products for construction purposes,,,
2018,manufacture of concrete products for construction purposes,,,
2019,manufacture of concrete products for construction purposes,,,
2020,manufacture of concrete products for construction purposes,,,
2021,manufacture of concrete products for construction purposes,,,
2022,manufacture of concrete products for construction purposes,,,17.0
2023,manufacture of concrete products for construction purposes,,,16.7
2024,manufacture of concrete products for construction purposes,,,16.4
2025,manufacture of concrete products for construction purposes,,,17.6
2016,manufacture of plaster products for construction purposes,,,
2017,manufacture of plaster products for construction purposes,,,
2018,manufacture of plaster products for construction purposes,,,
2019,manufacture of plaster products for construction purposes,,,
2020,manufacture of plaster products for construction purposes,,,
2021,manufacture of plaster products for construction purposes,,,
2022,manufacture of plaster products for construction purposes,,,9.5
2023,manufacture of plaster products for construction purposes,,,9.0
2024,manufacture of plaster products for construction purposes,,,13.0
2025,manufacture of plaster products for construction purposes,,,13.0
2016,manufacture of ready-mixed concrete,,,
2017,manufacture of ready-mixed concrete,,,
2018,manufacture of ready-mixed concrete,,,
2019,manufacture of ready-mixed concrete,,,
2020,manufacture of ready-mixed concrete,,,
2021,manufacture of ready-mixed concrete,,,
2022,manufacture of ready-mixed concrete,,,18.0
2023,manufacture of ready-mixed concrete,,,17.3
2024,manufacture of ready-mixed concrete,,,18.4
2025,manufacture of ready-mixed concrete,,,20.0
2016,manufacture of mortars,,,
2017,manufacture of mortars,,,
2018,manufacture of mortars,,,
2019,manufacture of mortars,,,
2020,manufacture of mortars,,,
2021,manufacture of mortars,,,
2022,manufacture of mortars,,,14.7
2023,manufacture of mortars,,,15.7
2024,manufacture of mortars,,,17.0
2025,manufacture of mortars,,,19.2
2016,manufacture of fibre cement,,,
2017,manufacture of fibre cement,,,
2018,manufacture of fibre cement,,,
2019,manufacture of fibre cement,,,
2020,manufacture of fibre cement,,,
2021,manufacture of fibre cement,,,
2022,manufacture of fibre cement,,,8.7
2023,manufacture of fibre cement,,,8.0
2024,manufacture of fibre cement,,,11.1
2025,manufacture of fibre cement,,,6.9
2016,"manufacture of other articles of concrete, plaster and cement",,,
2017,"manufacture of other articles of concrete, plaster and cement",,,
2018,"manufacture of other articles of concrete, plaster and cement",,,
2019,"manufacture of other articles of concrete, plaster and cement",,,
2020,"manufacture of other articles of concrete, plaster and cement",,,
2021,"manufacture of other articles of concrete, plaster and cement",,,
2022,"manufacture of other articles of concrete, plaster and cement",,,20.5
2023,"manufacture of other articles of concrete, plaster and cement",,,20.9
2024,"manufacture of other articles of concrete, plaster and cement",,,21.3
2025,"manufacture of other articles of concrete, plaster and cement",,,22.4
2016,"cutting, shaping and finishing of stone",,,
2017,"cutting, shaping and finishing of stone",,,
2018,"cutting, shaping and finishing of stone",,,
2019,"cutting, shaping and finishing of stone",,,
2020,"cutting, shaping and finishing of stone",,,
2021,"cutting, shaping and finishing of stone",,,
2022,"cutting, shaping and finishing of stone",,,20.7
2023,"cutting, shaping and finishing of stone",,,20.1
2024,"cutting, shaping and finishing of stone",,,20.0
2025,"cutting, shaping and finishing of stone",,,20.0
2016,production of abrasive products,,,
2017,production of abrasive products,,,
2018,production of abrasive products,,,
2019,production of abrasive products,,,
2020,production of abrasive products,,,
2021,production of abrasive products,,,
2022,production of abrasive products,,,13.8
2023,production of abrasive products,,,13.8
2024,production of abrasive products,,,12.1
2025,production of abrasive products,,,11.9
2016,manufacture of other non-metallic mineral products n.e.c.,,,
2017,manufacture of other non-metallic mineral products n.e.c.,,,
2018,manufacture of other non-metallic mineral products n.e.c.,,,
2019,manufacture of other non-metallic mineral products n.e.c.,,,
2020,manufacture of other non-metallic mineral products n.e.c.,,,
2021,manufacture of other non-metallic mineral products n.e.c.,,,
2022,manufacture of other non-metallic mineral products n.e.c.,,,16.1
2023,manufacture of other non-metallic mineral products n.e.c.,,,15.9
2024,manufacture of other non-metallic mineral products n.e.c.,,,15.6
2025,manufacture of other non-metallic mineral products n.e.c.,,,16.2
2016,manufacture of basic iron and steel and of ferro-alloys,,,
2017,manufacture of basic iron and steel and of ferro-alloys,,,
2018,manufacture of basic iron and steel and of ferro-alloys,,,
2019,manufacture of basic iron and steel and of ferro-alloys,,,
2020,manufacture of basic iron and steel and of ferro-alloys,,,
2021,manufacture of basic iron and steel and of ferro-alloys,,,
2022,manufacture of basic iron and steel and of ferro-alloys,,,13.9
2023,manufacture of basic iron and steel and of ferro-alloys,,,15.0
2024,manufacture of basic iron and steel and of ferro-alloys,,,15.2
2025,manufacture of basic iron and steel and of ferro-alloys,,,14.6
2016,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,
2017,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,
2018,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,
2019,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,
2020,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,
2021,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,
2022,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,15.8
2023,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,15.6
2024,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,16.5
2025,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,16.8
2016,cold drawing of bars,,,
2017,cold drawing of bars,,,
2018,cold drawing of bars,,,
2019,cold drawing of bars,,,
2020,cold drawing of bars,,,
2021,cold drawing of bars,,,
2022,cold drawing of bars,,,9.5
2023,cold drawing of bars,,,9.5
2024,cold drawing of bars,,,8.7
2025,cold drawing of bars,,,8.0
2016,cold rolling of narrow strip,,,
2017,cold rolling of narrow strip,,,
2018,cold rolling of narrow strip,,,
2019,cold rolling of narrow strip,,,
2020,cold rolling of narrow strip,,,
2021,cold rolling of narrow strip,,,
2022,cold rolling of narrow strip,,,27.3
2023,cold rolling of narrow strip,,,30.0
2024,cold rolling of narrow strip,,,30.0
2025,cold rolling of narrow strip,,,40.0
2016,cold forming or folding,,,
2017,cold forming or folding,,,
2018,cold forming or folding,,,
2019,cold forming or folding,,,
2020,cold forming or folding,,,
2021,cold forming or folding,,,
2022,cold forming or folding,,,18.0
2023,cold forming or folding,,,18.3
2024,cold forming or folding,,,18.4
2025,cold forming or folding,,,21.4
2016,cold drawing of wire,,,
2017,cold drawing of wire,,,
2018,cold drawing of wire,,,
2019,cold drawing of wire,,,
2020,cold drawing of wire,,,
2021,cold drawing of wire,,,
2022,cold drawing of wire,,,19.0
2023,cold drawing of wire,,,18.8
2024,cold drawing of wire,,,21.8
2025,cold drawing of wire,,,22.5
2016,precious metals production,,,
2017,precious metals production,,,
2018,precious metals production,,,
2019,precious metals production,,,
2020,precious metals production,,,
2021,precious metals production,,,
2022,precious metals production,,,13.3
2023,precious metals production,,,13.0
2024,precious metals production,,,13.1
2025,precious metals production,,,15.7
2016,aluminium production,,,
2017,aluminium production,,,
2018,aluminium production,,,
2019,aluminium production,,,
2020,aluminium production,,,
2021,aluminium production,,,
2022,aluminium production,,,15.5
2023,aluminium production,,,16.7
2024,aluminium production,,,11.1
2025,aluminium production,,,12.2
2016,"lead, zinc and tin production",,,
2017,"lead, zinc and tin production",,,
2018,"lead, zinc and tin production",,,
2019,"lead, zinc and tin production",,,
2020,"lead, zinc and tin production",,,
2021,"lead, zinc and tin production",,,
2022,"lead, zinc and tin production",,,6.7
2023,"lead, zinc and tin production",,,6.3
2024,"lead, zinc and tin production",,,6.7
2025,"lead, zinc and tin production",,,6.7
2016,copper production,,,
2017,copper production,,,
2018,copper production,,,
2019,copper production,,,
2020,copper production,,,
2021,copper production,,,
2022,copper production,,,17.1
2023,copper production,,,17.8
2024,copper production,,,20.8
2025,copper production,,,23.4
2016,other non-ferrous metal production,,,
2017,other non-ferrous metal production,,,
2018,other non-ferrous metal production,,,
2019,other non-ferrous metal production,,,
2020,other non-ferrous metal production,,,
2021,other non-ferrous metal production,,,
2022,other non-ferrous metal production,,,6.5
2023,other non-ferrous metal production,,,12.5
2024,other non-ferrous metal production,,,6.3
2025,other non-ferrous metal production,,,9.1
2016,casting of iron,,,
2017,casting of iron,,,
2018,casting of iron,,,
2019,casting of iron,,,
2020,casting of iron,,,
2021,casting of iron,,,
2022,casting of iron,,,12.5
2023,casting of iron,,,13.6
2024,casting of iron,,,14.6
2025,casting of iron,,,14.8
2016,casting of steel,,,
2017,casting of steel,,,
2018,casting of steel,,,
2019,casting of steel,,,
2020,casting of steel,,,
2021,casting of steel,,,
2022,casting of steel,,,11.8
2023,casting of steel,,,11.8
2024,casting of steel,,,6.5
2025,casting of steel,,,9.0
2016,casting of light metals,,,
2017,casting of light metals,,,
2018,casting of light metals,,,
2019,casting of light metals,,,
2020,casting of light metals,,,
2021,casting of light metals,,,
2022,casting of light metals,,,13.0
2023,casting of light metals,,,11.8
2024,casting of light metals,,,12.1
2025,casting of light metals,,,10.3
2016,casting of other non-ferrous metals,,,
2017,casting of other non-ferrous metals,,,
2018,casting of other non-ferrous metals,,,
2019,casting of other non-ferrous metals,,,
2020,casting of other non-ferrous metals,,,
2021,casting of other non-ferrous metals,,,
2022,casting of other non-ferrous metals,,,15.8
2023,casting of other non-ferrous metals,,,15.3
2024,casting of other non-ferrous metals,,,15.8
2025,casting of other non-ferrous metals,,,19.3
2016,manufacture of metal structures and parts of structures,,,
2017,manufacture of metal structures and parts of structures,,,
2018,manufacture of metal structures and parts of structures,,,
2019,manufacture of metal structures and parts of structures,,,
2020,manufacture of metal structures and parts of structures,,,
2021,manufacture of metal structures and parts of structures,,,
2022,manufacture of metal structures and parts of structures,,,15.4
2023,manufacture of metal structures and parts of structures,,,15.3
2024,manufacture of metal structures and parts of structures,,,15.8
2025,manufacture of metal structures and parts of structures,,,16.8
2016,manufacture of doors and windows of metal,,,
2017,manufacture of doors and windows of metal,,,
2018,manufacture of doors and windows of metal,,,
2019,manufacture of doors and windows of metal,,,
2020,manufacture of doors and windows of metal,,,
2021,manufacture of doors and windows of metal,,,
2022,manufacture of doors and windows of metal,,,15.9
2023,manufacture of doors and windows of metal,,,14.8
2024,manufacture of doors and windows of metal,,,16.3
2025,manufacture of doors and windows of metal,,,18.6
2016,manufacture of central heating radiators and boilers,,,
2017,manufacture of central heating radiators and boilers,,,
2018,manufacture of central heating radiators and boilers,,,
2019,manufacture of central heating radiators and boilers,,,
2020,manufacture of central heating radiators and boilers,,,
2021,manufacture of central heating radiators and boilers,,,
2022,manufacture of central heating radiators and boilers,,,13.8
2023,manufacture of central heating radiators and boilers,,,13.9
2024,manufacture of central heating radiators and boilers,,,13.8
2025,manufacture of central heating radiators and boilers,,,14.2
2016,"manufacture of other tanks, reservoirs and containers of metal",,,
2017,"manufacture of other tanks, reservoirs and containers of metal",,,
2018,"manufacture of other tanks, reservoirs and containers of metal",,,
2019,"manufacture of other tanks, reservoirs and containers of metal",,,
2020,"manufacture of other tanks, reservoirs and containers of metal",,,
2021,"manufacture of other tanks, reservoirs and containers of metal",,,
2022,"manufacture of other tanks, reservoirs and containers of metal",,,19.9
2023,"manufacture of other tanks, reservoirs and containers of metal",,,18.2
2024,"manufacture of other tanks, reservoirs and containers of metal",,,17.4
2025,"manufacture of other tanks, reservoirs and containers of metal",,,20.6
2016,"manufacture of steam generators, except central heating hot water boilers",,,
2017,"manufacture of steam generators, except central heating hot water boilers",,,
2018,"manufacture of steam generators, except central heating hot water boilers",,,
2019,"manufacture of steam generators, except central heating hot water boilers",,,
2020,"manufacture of steam generators, except central heating hot water boilers",,,
2021,"manufacture of steam generators, except central heating hot water boilers",,,
2022,"manufacture of steam generators, except central heating hot water boilers",,,15.1
2023,"manufacture of steam generators, except central heating hot water boilers",,,14.8
2024,"manufacture of steam generators, except central heating hot water boilers",,,13.3
2025,"manufacture of steam generators, except central heating hot water boilers",,,11.3
2016,manufacture of weapons and ammunition,,,
2017,manufacture of weapons and ammunition,,,
2018,manufacture of weapons and ammunition,,,
2019,manufacture of weapons and ammunition,,,
2020,manufacture of weapons and ammunition,,,
2021,manufacture of weapons and ammunition,,,
2022,manufacture of weapons and ammunition,,,11.5
2023,manufacture of weapons and ammunition,,,12.1
2024,manufacture of weapons and ammunition,,,11.0
2025,manufacture of weapons and ammunition,,,10.4
2016,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,
2017,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,
2018,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,
2019,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,
2020,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,
2021,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,
2022,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,15.7
2023,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,14.8
2024,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,15.6
2025,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,16.8
2016,treatment and coating of metals,,,
2017,treatment and coating of metals,,,
2018,treatment and coating of metals,,,
2019,treatment and coating of metals,,,
2020,treatment and coating of metals,,,
2021,treatment and coating of metals,,,
2022,treatment and coating of metals,,,17.9
2023,treatment and coating of metals,,,18.0
2024,treatment and coating of metals,,,18.7
2025,treatment and coating of metals,,,19.6
2016,machining,,,
2017,machining,,,
2018,machining,,,
2019,machining,,,
2020,machining,,,
2021,machining,,,
2022,machining,,,16.5
2023,machining,,,17.3
2024,machining,,,17.2
2025,machining,,,18.8
2016,manufacture of cutlery,,,
2017,manufacture of cutlery,,,
2018,manufacture of cutlery,,,
2019,manufacture of cutlery,,,
2020,manufacture of cutlery,,,
2021,manufacture of cutlery,,,
2022,manufacture of cutlery,,,27.3
2023,manufacture of cutlery,,,25.0
2024,manufacture of cutlery,,,41.7
2025,manufacture of cutlery,,,50.0
2016,manufacture of locks and hinges,,,
2017,manufacture of locks and hinges,,,
2018,manufacture of locks and hinges,,,
2019,manufacture of locks and hinges,,,
2020,manufacture of locks and hinges,,,
2021,manufacture of locks and hinges,,,
2022,manufacture of locks and hinges,,,5.4
2023,manufacture of locks and hinges,,,8.3
2024,manufacture of locks and hinges,,,11.1
2025,manufacture of locks and hinges,,,12.8
2016,manufacture of tools,,,
2017,manufacture of tools,,,
2018,manufacture of tools,,,
2019,manufacture of tools,,,
2020,manufacture of tools,,,
2021,manufacture of tools,,,
2022,manufacture of tools,,,21.2
2023,manufacture of tools,,,22.0
2024,manufacture of tools,,,22.5
2025,manufacture of tools,,,24.0
2016,manufacture of steel drums and similar containers,,,
2017,manufacture of steel drums and similar containers,,,
2018,manufacture of steel drums and similar containers,,,
2019,manufacture of steel drums and similar containers,,,
2020,manufacture of steel drums and similar containers,,,
2021,manufacture of steel drums and similar containers,,,
2022,manufacture of steel drums and similar containers,,,15.6
2023,manufacture of steel drums and similar containers,,,15.6
2024,manufacture of steel drums and similar containers,,,18.9
2025,manufacture of steel drums and similar containers,,,30.8
2016,manufacture of light metal packaging,,,
2017,manufacture of light metal packaging,,,
2018,manufacture of light metal packaging,,,
2019,manufacture of light metal packaging,,,
2020,manufacture of light metal packaging,,,
2021,manufacture of light metal packaging,,,
2022,manufacture of light metal packaging,,,17.2
2023,manufacture of light metal packaging,,,19.1
2024,manufacture of light metal packaging,,,19.4
2025,manufacture of light metal packaging,,,21.1
2016,"manufacture of wire products, chain and springs",,,
2017,"manufacture of wire products, chain and springs",,,
2018,"manufacture of wire products, chain and springs",,,
2019,"manufacture of wire products, chain and springs",,,
2020,"manufacture of wire products, chain and springs",,,
2021,"manufacture of wire products, chain and springs",,,
2022,"manufacture of wire products, chain and springs",,,17.6
2023,"manufacture of wire products, chain and springs",,,17.4
2024,"manufacture of wire products, chain and springs",,,18.3
2025,"manufacture of wire products, chain and springs",,,19.4
2016,manufacture of fasteners and screw machine products,,,
2017,manufacture of fasteners and screw machine products,,,
2018,manufacture of fasteners and screw machine products,,,
2019,manufacture of fasteners and screw machine products,,,
2020,manufacture of fasteners and screw machine products,,,
2021,manufacture of fasteners and screw machine products,,,
2022,manufacture of fasteners and screw machine products,,,20.7
2023,manufacture of fasteners and screw machine products,,,21.3
2024,manufacture of fasteners and screw machine products,,,15.9
2025,manufacture of fasteners and screw machine products,,,14.1
2016,manufacture of other fabricated metal products n.e.c.,,,
2017,manufacture of other fabricated metal products n.e.c.,,,
2018,manufacture of other fabricated metal products n.e.c.,,,
2019,manufacture of other fabricated metal products n.e.c.,,,
2020,manufacture of other fabricated metal products n.e.c.,,,
2021,manufacture of other fabricated metal products n.e.c.,,,
2022,manufacture of other fabricated metal products n.e.c.,,,16.4
2023,manufacture of other fabricated metal products n.e.c.,,,17.7
2024,manufacture of other fabricated metal products n.e.c.,,,19.0
2025,manufacture of other fabricated metal products n.e.c.,,,19.5
2016,manufacture of electronic components,,,
2017,manufacture of electronic components,,,
2018,manufacture of electronic components,,,
2019,manufacture of electronic components,,,
2020,manufacture of electronic components,,,
2021,manufacture of electronic components,,,
2022,manufacture of electronic components,,,17.1
2023,manufacture of electronic components,,,16.1
2024,manufacture of electronic components,,,16.2
2025,manufacture of electronic components,,,21.9
2016,manufacture of loaded electronic boards,,,
2017,manufacture of loaded electronic boards,,,
2018,manufacture of loaded electronic boards,,,
2019,manufacture of loaded electronic boards,,,
2020,manufacture of loaded electronic boards,,,
2021,manufacture of loaded electronic boards,,,
2022,manufacture of loaded electronic boards,,,14.3
2023,manufacture of loaded electronic boards,,,14.1
2024,manufacture of loaded electronic boards,,,13.0
2025,manufacture of loaded electronic boards,,,14.6
2016,manufacture of computers and peripheral equipment,,,
2017,manufacture of computers and peripheral equipment,,,
2018,manufacture of computers and peripheral equipment,,,
2019,manufacture of computers and peripheral equipment,,,
2020,manufacture of computers and peripheral equipment,,,
2021,manufacture of computers and peripheral equipment,,,
2022,manufacture of computers and peripheral equipment,,,15.2
2023,manufacture of computers and peripheral equipment,,,15.2
2024,manufacture of computers and peripheral equipment,,,15.7
2025,manufacture of computers and peripheral equipment,,,15.9
2016,manufacture of communication equipment,,,
2017,manufacture of communication equipment,,,
2018,manufacture of communication equipment,,,
2019,manufacture of communication equipment,,,
2020,manufacture of communication equipment,,,
2021,manufacture of communication equipment,,,
2022,manufacture of communication equipment,,,10.1
2023,manufacture of communication equipment,,,9.4
2024,manufacture of communication equipment,,,11.9
2025,manufacture of communication equipment,,,12.8
2016,manufacture of consumer electronics,,,
2017,manufacture of consumer electronics,,,
2018,manufacture of consumer electronics,,,
2019,manufacture of consumer electronics,,,
2020,manufacture of consumer electronics,,,
2021,manufacture of consumer electronics,,,
2022,manufacture of consumer electronics,,,10.6
2023,manufacture of consumer electronics,,,11.4
2024,manufacture of consumer electronics,,,13.0
2025,manufacture of consumer electronics,,,17.1
2016,"manufacture of instruments and appliances for measuring, testing and navigation",,,
2017,"manufacture of instruments and appliances for measuring, testing and navigation",,,
2018,"manufacture of instruments and appliances for measuring, testing and navigation",,,
2019,"manufacture of instruments and appliances for measuring, testing and navigation",,,
2020,"manufacture of instruments and appliances for measuring, testing and navigation",,,
2021,"manufacture of instruments and appliances for measuring, testing and navigation",,,
2022,"manufacture of instruments and appliances for measuring, testing and navigation",,,12.8
2023,"manufacture of instruments and appliances for measuring, testing and navigation",,,12.3
2024,"manufacture of instruments and appliances for measuring, testing and navigation",,,12.8
2025,"manufacture of instruments and appliances for measuring, testing and navigation",,,13.0
2016,manufacture of watches and clocks,,,
2017,manufacture of watches and clocks,,,
2018,manufacture of watches and clocks,,,
2019,manufacture of watches and clocks,,,
2020,manufacture of watches and clocks,,,
2021,manufacture of watches and clocks,,,
2022,manufacture of watches and clocks,,,10.0
2023,manufacture of watches and clocks,,,11.1
2024,manufacture of watches and clocks,,,11.1
2025,manufacture of watches and clocks,,,11.1
2016,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,
2017,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,
2018,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,
2019,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,
2020,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,
2021,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,
2022,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,18.8
2023,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,19.2
2024,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,20.0
2025,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,21.6
2016,manufacture of optical instruments and photographic equipment,,,
2017,manufacture of optical instruments and photographic equipment,,,
2018,manufacture of optical instruments and photographic equipment,,,
2019,manufacture of optical instruments and photographic equipment,,,
2020,manufacture of optical instruments and photographic equipment,,,
2021,manufacture of optical instruments and photographic equipment,,,
2022,manufacture of optical instruments and photographic equipment,,,14.3
2023,manufacture of optical instruments and photographic equipment,,,17.9
2024,manufacture of optical instruments and photographic equipment,,,17.1
2025,manufacture of optical instruments and photographic equipment,,,14.3
2016,manufacture of magnetic and optical media,,,
2017,manufacture of magnetic and optical media,,,
2018,manufacture of magnetic and optical media,,,
2019,manufacture of magnetic and optical media,,,
2020,manufacture of magnetic and optical media,,,
2021,manufacture of magnetic and optical media,,,
2022,manufacture of magnetic and optical media,,,42.9
2023,manufacture of magnetic and optical media,,,42.9
2024,manufacture of magnetic and optical media,,,35.7
2025,manufacture of magnetic and optical media,,,35.7
2016,"manufacture of electric motors, generators and transformers",,,
2017,"manufacture of electric motors, generators and transformers",,,
2018,"manufacture of electric motors, generators and transformers",,,
2019,"manufacture of electric motors, generators and transformers",,,
2020,"manufacture of electric motors, generators and transformers",,,
2021,"manufacture of electric motors, generators and transformers",,,
2022,"manufacture of electric motors, generators and transformers",,,16.2
2023,"manufacture of electric motors, generators and transformers",,,18.1
2024,"manufacture of electric motors, generators and transformers",,,18.3
2025,"manufacture of electric motors, generators and transformers",,,20.9
2016,manufacture of electricity distribution and control apparatus,,,
2017,manufacture of electricity distribution and control apparatus,,,
2018,manufacture of electricity distribution and control apparatus,,,
2019,manufacture of electricity distribution and control apparatus,,,
2020,manufacture of electricity distribution and control apparatus,,,
2021,manufacture of electricity distribution and control apparatus,,,
2022,manufacture of electricity distribution and control apparatus,,,14.4
2023,manufacture of electricity distribution and control apparatus,,,16.0
2024,manufacture of electricity distribution and control apparatus,,,17.3
2025,manufacture of electricity distribution and control apparatus,,,17.8
2016,manufacture of batteries and accumulators,,,
2017,manufacture of batteries and accumulators,,,
2018,manufacture of batteries and accumulators,,,
2019,manufacture of batteries and accumulators,,,
2020,manufacture of batteries and accumulators,,,
2021,manufacture of batteries and accumulators,,,
2022,manufacture of batteries and accumulators,,,8.6
2023,manufacture of batteries and accumulators,,,13.4
2024,manufacture of batteries and accumulators,,,10.6
2025,manufacture of batteries and accumulators,,,12.7
2016,manufacture of fibre optic cables,,,
2017,manufacture of fibre optic cables,,,
2018,manufacture of fibre optic cables,,,
2019,manufacture of fibre optic cables,,,
2020,manufacture of fibre optic cables,,,
2021,manufacture of fibre optic cables,,,
2022,manufacture of fibre optic cables,,,33.3
2023,manufacture of fibre optic cables,,,33.3
2024,manufacture of fibre optic cables,,,26.7
2025,manufacture of fibre optic cables,,,25.0
2016,manufacture of other electronic and electric wires and cables,,,
2017,manufacture of other electronic and electric wires and cables,,,
2018,manufacture of other electronic and electric wires and cables,,,
2019,manufacture of other electronic and electric wires and cables,,,
2020,manufacture of other electronic and electric wires and cables,,,
2021,manufacture of other electronic and electric wires and cables,,,
2022,manufacture of other electronic and electric wires and cables,,,14.9
2023,manufacture of other electronic and electric wires and cables,,,15.4
2024,manufacture of other electronic and electric wires and cables,,,17.4
2025,manufacture of other electronic and electric wires and cables,,,17.7
2016,manufacture of wiring devices,,,
2017,manufacture of wiring devices,,,
2018,manufacture of wiring devices,,,
2019,manufacture of wiring devices,,,
2020,manufacture of wiring devices,,,
2021,manufacture of wiring devices,,,
2022,manufacture of wiring devices,,,11.7
2023,manufacture of wiring devices,,,11.3
2024,manufacture of wiring devices,,,12.3
2025,manufacture of wiring devices,,,16.9
2016,manufacture of electric lighting equipment,,,
2017,manufacture of electric lighting equipment,,,
2018,manufacture of electric lighting equipment,,,
2019,manufacture of electric lighting equipment,,,
2020,manufacture of electric lighting equipment,,,
2021,manufacture of electric lighting equipment,,,
2022,manufacture of electric lighting equipment,,,13.6
2023,manufacture of electric lighting equipment,,,12.3
2024,manufacture of electric lighting equipment,,,12.9
2025,manufacture of electric lighting equipment,,,17.3
2016,manufacture of electric domestic appliances,,,
2017,manufacture of electric domestic appliances,,,
2018,manufacture of electric domestic appliances,,,
2019,manufacture of electric domestic appliances,,,
2020,manufacture of electric domestic appliances,,,
2021,manufacture of electric domestic appliances,,,
2022,manufacture of electric domestic appliances,,,16.2
2023,manufacture of electric domestic appliances,,,17.0
2024,manufacture of electric domestic appliances,,,18.1
2025,manufacture of electric domestic appliances,,,18.4
2016,manufacture of non-electric domestic appliances,,,
2017,manufacture of non-electric domestic appliances,,,
2018,manufacture of non-electric domestic appliances,,,
2019,manufacture of non-electric domestic appliances,,,
2020,manufacture of non-electric domestic appliances,,,
2021,manufacture of non-electric domestic appliances,,,
2022,manufacture of non-electric domestic appliances,,,16.2
2023,manufacture of non-electric domestic appliances,,,16.2
2024,manufacture of non-electric domestic appliances,,,16.2
2025,manufacture of non-electric domestic appliances,,,15.8
2016,manufacture of other electrical equipment,,,
2017,manufacture of other electrical equipment,,,
2018,manufacture of other electrical equipment,,,
2019,manufacture of other electrical equipment,,,
2020,manufacture of other electrical equipment,,,
2021,manufacture of other electrical equipment,,,
2022,manufacture of other electrical equipment,,,21.9
2023,manufacture of other electrical equipment,,,20.1
2024,manufacture of other electrical equipment,,,20.0
2025,manufacture of other electrical equipment,,,20.1
2016,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,
2017,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,
2018,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,
2019,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,
2020,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,
2021,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,
2022,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,10.2
2023,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,9.1
2024,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,9.6
