Year,by types of economic activity,by the organisational and legal forms,Region,Value
2022,support activities for animal production,,,29.3
2023,support activities for animal production,,,30.6
2024,support activities for animal production,,,30.2
2025,support activities for animal production,,,31.0
2016,post-harvest crop activities,,,
2017,post-harvest crop activities,,,
2018,post-harvest crop activities,,,
2019,post-harvest crop activities,,,
2020,post-harvest crop activities,,,
2021,post-harvest crop activities,,,
2022,post-harvest crop activities,,,19.8
2023,post-harvest crop activities,,,19.9
2024,post-harvest crop activities,,,20.1
2025,post-harvest crop activities,,,21.1
2016,seed processing for propagation,,,
2017,seed processing for propagation,,,
2018,seed processing for propagation,,,
2019,seed processing for propagation,,,
2020,seed processing for propagation,,,
2021,seed processing for propagation,,,
2022,seed processing for propagation,,,21.7
2023,seed processing for propagation,,,22.3
2024,seed processing for propagation,,,20.5
2025,seed processing for propagation,,,21.7
2016,"hunting, trapping and related service activities",,,
2017,"hunting, trapping and related service activities",,,
2018,"hunting, trapping and related service activities",,,
2019,"hunting, trapping and related service activities",,,
2020,"hunting, trapping and related service activities",,,
2021,"hunting, trapping and related service activities",,,
2022,"hunting, trapping and related service activities",,,7.2
2023,"hunting, trapping and related service activities",,,7.1
2024,"hunting, trapping and related service activities",,,7.3
2025,"hunting, trapping and related service activities",,,7.6
2016,silviculture and other forestry activities,,,
2017,silviculture and other forestry activities,,,
2018,silviculture and other forestry activities,,,
2019,silviculture and other forestry activities,,,
2020,silviculture and other forestry activities,,,
2021,silviculture and other forestry activities,,,
2022,silviculture and other forestry activities,,,10.3
2023,silviculture and other forestry activities,,,10.1
2024,silviculture and other forestry activities,,,11.5
2025,silviculture and other forestry activities,,,13.9
2016,logging,,,
2017,logging,,,
2018,logging,,,
2019,logging,,,
2020,logging,,,
2021,logging,,,
2022,logging,,,15.3
2023,logging,,,15.1
2024,logging,,,15.5
2025,logging,,,16.0
2016,gathering of wild growing non-wood products,,,
2017,gathering of wild growing non-wood products,,,
2018,gathering of wild growing non-wood products,,,
2019,gathering of wild growing non-wood products,,,
2020,gathering of wild growing non-wood products,,,
2021,gathering of wild growing non-wood products,,,
2022,gathering of wild growing non-wood products,,,23.6
2023,gathering of wild growing non-wood products,,,23.0
2024,gathering of wild growing non-wood products,,,24.0
2025,gathering of wild growing non-wood products,,,24.7
2016,support services to forestry,,,
2017,support services to forestry,,,
2018,support services to forestry,,,
2019,support services to forestry,,,
2020,support services to forestry,,,
2021,support services to forestry,,,
2022,support services to forestry,,,7.4
2023,support services to forestry,,,8.4
2024,support services to forestry,,,10.0
2025,support services to forestry,,,12.4
2016,marine fishing,,,
2017,marine fishing,,,
2018,marine fishing,,,
2019,marine fishing,,,
2020,marine fishing,,,
2021,marine fishing,,,
2022,marine fishing,,,18.1
2023,marine fishing,,,17.9
2024,marine fishing,,,17.6
2025,marine fishing,,,21.2
2016,freshwater fishing,,,
2017,freshwater fishing,,,
2018,freshwater fishing,,,
2019,freshwater fishing,,,
2020,freshwater fishing,,,
2021,freshwater fishing,,,
2022,freshwater fishing,,,18.2
2023,freshwater fishing,,,18.7
2024,freshwater fishing,,,19.0
2025,freshwater fishing,,,19.6
2016,marine aquaculture,,,
2017,marine aquaculture,,,
2018,marine aquaculture,,,
2019,marine aquaculture,,,
2020,marine aquaculture,,,
2021,marine aquaculture,,,
2022,marine aquaculture,,,29.5
2023,marine aquaculture,,,27.7
2024,marine aquaculture,,,30.2
2025,marine aquaculture,,,30.9
2016,freshwater aquaculture,,,
2017,freshwater aquaculture,,,
2018,freshwater aquaculture,,,
2019,freshwater aquaculture,,,
2020,freshwater aquaculture,,,
2021,freshwater aquaculture,,,
2022,freshwater aquaculture,,,17.7
2023,freshwater aquaculture,,,17.7
2024,freshwater aquaculture,,,18.1
2025,freshwater aquaculture,,,18.9
2016,mining of hard coal,,,
2017,mining of hard coal,,,
2018,mining of hard coal,,,
2019,mining of hard coal,,,
2020,mining of hard coal,,,
2021,mining of hard coal,,,
2022,mining of hard coal,,,9.6
2023,mining of hard coal,,,9.2
2024,mining of hard coal,,,9.0
2025,mining of hard coal,,,9.1
2016,mining of lignite,,,
2017,mining of lignite,,,
2018,mining of lignite,,,
2019,mining of lignite,,,
2020,mining of lignite,,,
2021,mining of lignite,,,
2022,mining of lignite,,,6.7
2023,mining of lignite,,,6.3
2024,mining of lignite,,,5.6
2025,mining of lignite,,,5.6
2016,extraction of crude petroleum,,,
2017,extraction of crude petroleum,,,
2018,extraction of crude petroleum,,,
2019,extraction of crude petroleum,,,
2020,extraction of crude petroleum,,,
2021,extraction of crude petroleum,,,
2022,extraction of crude petroleum,,,14.3
2023,extraction of crude petroleum,,,14.0
2024,extraction of crude petroleum,,,15.8
2025,extraction of crude petroleum,,,15.9
2016,extraction of natural gas,,,
2017,extraction of natural gas,,,
2018,extraction of natural gas,,,
2019,extraction of natural gas,,,
2020,extraction of natural gas,,,
2021,extraction of natural gas,,,
2022,extraction of natural gas,,,11.1
2023,extraction of natural gas,,,10.5
2024,extraction of natural gas,,,10.7
2025,extraction of natural gas,,,12.2
2016,mining of iron ores,,,
2017,mining of iron ores,,,
2018,mining of iron ores,,,
2019,mining of iron ores,,,
2020,mining of iron ores,,,
2021,mining of iron ores,,,
2022,mining of iron ores,,,23.9
2023,mining of iron ores,,,26.7
2024,mining of iron ores,,,23.9
2025,mining of iron ores,,,23.4
2016,mining of uranium and thorium ores,,,
2017,mining of uranium and thorium ores,,,
2018,mining of uranium and thorium ores,,,
2019,mining of uranium and thorium ores,,,
2020,mining of uranium and thorium ores,,,
2021,mining of uranium and thorium ores,,,
2022,mining of uranium and thorium ores,,,
2023,mining of uranium and thorium ores,,,
2024,mining of uranium and thorium ores,,,
2025,mining of uranium and thorium ores,,,20.0
2016,mining of other non-ferrous metal ores,,,
2017,mining of other non-ferrous metal ores,,,
2018,mining of other non-ferrous metal ores,,,
2019,mining of other non-ferrous metal ores,,,
2020,mining of other non-ferrous metal ores,,,
2021,mining of other non-ferrous metal ores,,,
2022,mining of other non-ferrous metal ores,,,17.7
2023,mining of other non-ferrous metal ores,,,18.3
2024,mining of other non-ferrous metal ores,,,11.8
2025,mining of other non-ferrous metal ores,,,11.8
2016,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,
2017,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,
2018,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,
2019,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,
2020,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,
2021,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,
2022,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,15.0
2023,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,14.4
2024,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,14.9
2025,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,15.3
2016,operation of gravel and sand pits; mining of clays and kaolin,,,
2017,operation of gravel and sand pits; mining of clays and kaolin,,,
2018,operation of gravel and sand pits; mining of clays and kaolin,,,
2019,operation of gravel and sand pits; mining of clays and kaolin,,,
2020,operation of gravel and sand pits; mining of clays and kaolin,,,
2021,operation of gravel and sand pits; mining of clays and kaolin,,,
2022,operation of gravel and sand pits; mining of clays and kaolin,,,12.9
2023,operation of gravel and sand pits; mining of clays and kaolin,,,13.9
