Year,Types of economic activity,Value
2020,"Manufacture of food products, beverages and tobacco products (Code NACE Rev.2 – 10+11+12)",c
2021,"Manufacture of food products, beverages and tobacco products (Code NACE Rev.2 – 10+11+12)",
2022,"Manufacture of food products, beverages and tobacco products (Code NACE Rev.2 – 10+11+12)",0.9
2023,"Manufacture of food products, beverages and tobacco products (Code NACE Rev.2 – 10+11+12)",
2024,"Manufacture of food products, beverages and tobacco products (Code NACE Rev.2 – 10+11+12)",2.1
2015,"Manufacture of textiles, apparel, leather and related products (Code NACE Rev.2 – 13+14+15)",
2016,"Manufacture of textiles, apparel, leather and related products (Code NACE Rev.2 – 13+14+15)",
2017,"Manufacture of textiles, apparel, leather and related products (Code NACE Rev.2 – 13+14+15)",
2018,"Manufacture of textiles, apparel, leather and related products (Code NACE Rev.2 – 13+14+15)",1.9
2019,"Manufacture of textiles, apparel, leather and related products (Code NACE Rev.2 – 13+14+15)",
2020,"Manufacture of textiles, apparel, leather and related products (Code NACE Rev.2 – 13+14+15)",1.1
2021,"Manufacture of textiles, apparel, leather and related products (Code NACE Rev.2 – 13+14+15)",
2022,"Manufacture of textiles, apparel, leather and related products (Code NACE Rev.2 – 13+14+15)",1.1
2023,"Manufacture of textiles, apparel, leather and related products (Code NACE Rev.2 – 13+14+15)",
2024,"Manufacture of textiles, apparel, leather and related products (Code NACE Rev.2 – 13+14+15)",1.7
2015,"Manufacture of wood and paper products, and printing (Code NACE Rev.2 – 16+17+18)",
2016,"Manufacture of wood and paper products, and printing (Code NACE Rev.2 – 16+17+18)",
2017,"Manufacture of wood and paper products, and printing (Code NACE Rev.2 – 16+17+18)",
2018,"Manufacture of wood and paper products, and printing (Code NACE Rev.2 – 16+17+18)",1.6
2019,"Manufacture of wood and paper products, and printing (Code NACE Rev.2 – 16+17+18)",
2020,"Manufacture of wood and paper products, and printing (Code NACE Rev.2 – 16+17+18)",0.9
2021,"Manufacture of wood and paper products, and printing (Code NACE Rev.2 – 16+17+18)",
2022,"Manufacture of wood and paper products, and printing (Code NACE Rev.2 – 16+17+18)",1.6
2023,"Manufacture of wood and paper products, and printing (Code NACE Rev.2 – 16+17+18)",
2024,"Manufacture of wood and paper products, and printing (Code NACE Rev.2 – 16+17+18)",1.4
2015,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 19+20+21)",
2016,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 19+20+21)",
2017,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 19+20+21)",
2018,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 19+20+21)",0.9
2019,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 19+20+21)",
2020,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 19+20+21)",c
2021,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 19+20+21)",
2022,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 19+20+21)",0.9
2023,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 19+20+21)",
2024,"Manufacture of coke and refined petroleum products, chemicals and chemical products, basic pharmaceutical products and pharmaceutical preparations (Code NACE Rev.2 – 19+20+21)",10.4
2015,"Manufacture of rubber and plastics products, and other non-metallic mineral products (Code NACE Rev.2 – 22+23)",
2016,"Manufacture of rubber and plastics products, and other non-metallic mineral products (Code NACE Rev.2 – 22+23)",
2017,"Manufacture of rubber and plastics products, and other non-metallic mineral products (Code NACE Rev.2 – 22+23)",
2018,"Manufacture of rubber and plastics products, and other non-metallic mineral products (Code NACE Rev.2 – 22+23)",1.5
2019,"Manufacture of rubber and plastics products, and other non-metallic mineral products (Code NACE Rev.2 – 22+23)",
2020,"Manufacture of rubber and plastics products, and other non-metallic mineral products (Code NACE Rev.2 – 22+23)",1.1
2021,"Manufacture of rubber and plastics products, and other non-metallic mineral products (Code NACE Rev.2 – 22+23)",
2022,"Manufacture of rubber and plastics products, and other non-metallic mineral products (Code NACE Rev.2 – 22+23)",0.8
2023,"Manufacture of rubber and plastics products, and other non-metallic mineral products (Code NACE Rev.2 – 22+23)",
2024,"Manufacture of rubber and plastics products, and other non-metallic mineral products (Code NACE Rev.2 – 22+23)",0.5
2015,"Manufacture of basic metals and fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 24+25)",
2016,"Manufacture of basic metals and fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 24+25)",
2017,"Manufacture of basic metals and fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 24+25)",
2018,"Manufacture of basic metals and fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 24+25)",0.7
2019,"Manufacture of basic metals and fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 24+25)",
2020,"Manufacture of basic metals and fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 24+25)",3.5
2021,"Manufacture of basic metals and fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 24+25)",
2022,"Manufacture of basic metals and fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 24+25)",1.6
2023,"Manufacture of basic metals and fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 24+25)",
2024,"Manufacture of basic metals and fabricated metal products, except machinery and equipment (Code NACE Rev.2 – 24+25)",6.7
2015,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c. (Code NACE Rev.2 – 26+27+28)",
2016,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c. (Code NACE Rev.2 – 26+27+28)",
2017,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c. (Code NACE Rev.2 – 26+27+28)",
2018,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c. (Code NACE Rev.2 – 26+27+28)",3.6
2019,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c. (Code NACE Rev.2 – 26+27+28)",
2020,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c. (Code NACE Rev.2 – 26+27+28)",6.3
2021,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c. (Code NACE Rev.2 – 26+27+28)",
2022,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c. (Code NACE Rev.2 – 26+27+28)",3.7
2023,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c. (Code NACE Rev.2 – 26+27+28)",
2024,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c. (Code NACE Rev.2 – 26+27+28)",4.1
2015,"Manufacture of transport equipment, trailers and semi-trailers and other transport vehicles (Code NACE Rev.2 – 29+30)",
2016,"Manufacture of transport equipment, trailers and semi-trailers and other transport vehicles (Code NACE Rev.2 – 29+30)",
2017,"Manufacture of transport equipment, trailers and semi-trailers and other transport vehicles (Code NACE Rev.2 – 29+30)",
2018,"Manufacture of transport equipment, trailers and semi-trailers and other transport vehicles (Code NACE Rev.2 – 29+30)",5.4
2019,"Manufacture of transport equipment, trailers and semi-trailers and other transport vehicles (Code NACE Rev.2 – 29+30)",
2020,"Manufacture of transport equipment, trailers and semi-trailers and other transport vehicles (Code NACE Rev.2 – 29+30)",4.8
2021,"Manufacture of transport equipment, trailers and semi-trailers and other transport vehicles (Code NACE Rev.2 – 29+30)",
2022,"Manufacture of transport equipment, trailers and semi-trailers and other transport vehicles (Code NACE Rev.2 – 29+30)",3.4
2023,"Manufacture of transport equipment, trailers and semi-trailers and other transport vehicles (Code NACE Rev.2 – 29+30)",
2024,"Manufacture of transport equipment, trailers and semi-trailers and other transport vehicles (Code NACE Rev.2 – 29+30)",12.2
2015,"Manufacture of furniture, other manufacturing, and repair and installation of machinery and equipment (Code NACE Rev.2 – 31+32+33)",
2016,"Manufacture of furniture, other manufacturing, and repair and installation of machinery and equipment (Code NACE Rev.2 – 31+32+33)",
2017,"Manufacture of furniture, other manufacturing, and repair and installation of machinery and equipment (Code NACE Rev.2 – 31+32+33)",
2018,"Manufacture of furniture, other manufacturing, and repair and installation of machinery and equipment (Code NACE Rev.2 – 31+32+33)",1.6
2019,"Manufacture of furniture, other manufacturing, and repair and installation of machinery and equipment (Code NACE Rev.2 – 31+32+33)",
2020,"Manufacture of furniture, other manufacturing, and repair and installation of machinery and equipment (Code NACE Rev.2 – 31+32+33)",0.9
2021,"Manufacture of furniture, other manufacturing, and repair and installation of machinery and equipment (Code NACE Rev.2 – 31+32+33)",
2022,"Manufacture of furniture, other manufacturing, and repair and installation of machinery and equipment (Code NACE Rev.2 – 31+32+33)",0.8
2023,"Manufacture of furniture, other manufacturing, and repair and installation of machinery and equipment (Code NACE Rev.2 – 31+32+33)",
2024,"Manufacture of furniture, other manufacturing, and repair and installation of machinery and equipment (Code NACE Rev.2 – 31+32+33)",1.5
2015,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",
2016,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",
2017,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",
2018,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",0.02
2019,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",
2020,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",c
2021,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",
2022,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",c
2023,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",
2024,"Electricity, gas, steam and air conditioning supply (Code NACE Rev.2 – D)",0.1
2015,"Water supply; sewerage, waste management and remediation activities (Code NACE Rev.2 – E)",
2016,"Water supply; sewerage, waste management and remediation activities (Code NACE Rev.2 – E)",
2017,"Water supply; sewerage, waste management and remediation activities (Code NACE Rev.2 – E)",
2018,"Water supply; sewerage, waste management and remediation activities (Code NACE Rev.2 – E)",0.1
2019,"Water supply; sewerage, waste management and remediation activities (Code NACE Rev.2 – E)",
2020,"Water supply; sewerage, waste management and remediation activities (Code NACE Rev.2 – E)",c
2021,"Water supply; sewerage, waste management and remediation activities (Code NACE Rev.2 – E)",
2022,"Water supply; sewerage, waste management and remediation activities (Code NACE Rev.2 – E)",c
2023,"Water supply; sewerage, waste management and remediation activities (Code NACE Rev.2 – E)",
2024,"Water supply; sewerage, waste management and remediation activities (Code NACE Rev.2 – E)",0.4
2015,"Water collection, treatment and supply; sewerage (Code NACE Rev.2 – 36+37)",
2016,"Water collection, treatment and supply; sewerage (Code NACE Rev.2 – 36+37)",
2017,"Water collection, treatment and supply; sewerage (Code NACE Rev.2 – 36+37)",
2018,"Water collection, treatment and supply; sewerage (Code NACE Rev.2 – 36+37)",0.02
2019,"Water collection, treatment and supply; sewerage (Code NACE Rev.2 – 36+37)",
2020,"Water collection, treatment and supply; sewerage (Code NACE Rev.2 – 36+37)",c
2021,"Water collection, treatment and supply; sewerage (Code NACE Rev.2 – 36+37)",
2022,"Water collection, treatment and supply; sewerage (Code NACE Rev.2 – 36+37)",c
2023,"Water collection, treatment and supply; sewerage (Code NACE Rev.2 – 36+37)",
2024,"Water collection, treatment and supply; sewerage (Code NACE Rev.2 – 36+37)",0.6
2015,"Waste collection, treatment and disposal activities; materials recovery, other waste management activities (Code NACE Rev.2 – 38+39)",
2016,"Waste collection, treatment and disposal activities; materials recovery, other waste management activities (Code NACE Rev.2 – 38+39)",
2017,"Waste collection, treatment and disposal activities; materials recovery, other waste management activities (Code NACE Rev.2 – 38+39)",
2018,"Waste collection, treatment and disposal activities; materials recovery, other waste management activities (Code NACE Rev.2 – 38+39)",0.1
2019,"Waste collection, treatment and disposal activities; materials recovery, other waste management activities (Code NACE Rev.2 – 38+39)",
2020,"Waste collection, treatment and disposal activities; materials recovery, other waste management activities (Code NACE Rev.2 – 38+39)",c
2021,"Waste collection, treatment and disposal activities; materials recovery, other waste management activities (Code NACE Rev.2 – 38+39)",
2022,"Waste collection, treatment and disposal activities; materials recovery, other waste management activities (Code NACE Rev.2 – 38+39)",c
2023,"Waste collection, treatment and disposal activities; materials recovery, other waste management activities (Code NACE Rev.2 – 38+39)",
2024,"Waste collection, treatment and disposal activities; materials recovery, other waste management activities (Code NACE Rev.2 – 38+39)",0.0
2015,"Wholesale trade, except of motor vehicles and motorcycles, transportation and storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 46+H+J+K+71+72+73)",
2016,"Wholesale trade, except of motor vehicles and motorcycles, transportation and storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 46+H+J+K+71+72+73)",
2017,"Wholesale trade, except of motor vehicles and motorcycles, transportation and storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 46+H+J+K+71+72+73)",
2018,"Wholesale trade, except of motor vehicles and motorcycles, transportation and storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 46+H+J+K+71+72+73)",0.5
2019,"Wholesale trade, except of motor vehicles and motorcycles, transportation and storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 46+H+J+K+71+72+73)",
2020,"Wholesale trade, except of motor vehicles and motorcycles, transportation and storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 46+H+J+K+71+72+73)",0.4
2021,"Wholesale trade, except of motor vehicles and motorcycles, transportation and storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 46+H+J+K+71+72+73)",
2022,"Wholesale trade, except of motor vehicles and motorcycles, transportation and storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 46+H+J+K+71+72+73)",0.4
2023,"Wholesale trade, except of motor vehicles and motorcycles, transportation and storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 46+H+J+K+71+72+73)",
2024,"Wholesale trade, except of motor vehicles and motorcycles, transportation and storage, postal and courier activities, information and telecommunications, financial and insurance activities, architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 46+H+J+K+71+72+73)",1.1
2015,"Wholesale trade, except of motor vehicles and motorcycles (Code NACE Rev.2 – 46)",
2016,"Wholesale trade, except of motor vehicles and motorcycles (Code NACE Rev.2 – 46)",
2017,"Wholesale trade, except of motor vehicles and motorcycles (Code NACE Rev.2 – 46)",
2018,"Wholesale trade, except of motor vehicles and motorcycles (Code NACE Rev.2 – 46)",0.1
2019,"Wholesale trade, except of motor vehicles and motorcycles (Code NACE Rev.2 – 46)",
2020,"Wholesale trade, except of motor vehicles and motorcycles (Code NACE Rev.2 – 46)",0.1
2021,"Wholesale trade, except of motor vehicles and motorcycles (Code NACE Rev.2 – 46)",
2022,"Wholesale trade, except of motor vehicles and motorcycles (Code NACE Rev.2 – 46)",0.1
2023,"Wholesale trade, except of motor vehicles and motorcycles (Code NACE Rev.2 – 46)",
2024,"Wholesale trade, except of motor vehicles and motorcycles (Code NACE Rev.2 – 46)",0.4
2015,"Transportation and storage, postal and courier activities (Code NACE Rev.2 – H)",
2016,"Transportation and storage, postal and courier activities (Code NACE Rev.2 – H)",
2017,"Transportation and storage, postal and courier activities (Code NACE Rev.2 – H)",
2018,"Transportation and storage, postal and courier activities (Code NACE Rev.2 – H)",0.3
2019,"Transportation and storage, postal and courier activities (Code NACE Rev.2 – H)",
2020,"Transportation and storage, postal and courier activities (Code NACE Rev.2 – H)",0.4
2021,"Transportation and storage, postal and courier activities (Code NACE Rev.2 – H)",
2022,"Transportation and storage, postal and courier activities (Code NACE Rev.2 – H)",0.4
2023,"Transportation and storage, postal and courier activities (Code NACE Rev.2 – H)",
2024,"Transportation and storage, postal and courier activities (Code NACE Rev.2 – H)",1.6
2015,"Land transport and transport via pipelines, water transport, air transport (Code NACE Rev.2 – 49+50+51)",
2016,"Land transport and transport via pipelines, water transport, air transport (Code NACE Rev.2 – 49+50+51)",
2017,"Land transport and transport via pipelines, water transport, air transport (Code NACE Rev.2 – 49+50+51)",
2018,"Land transport and transport via pipelines, water transport, air transport (Code NACE Rev.2 – 49+50+51)",c
2019,"Land transport and transport via pipelines, water transport, air transport (Code NACE Rev.2 – 49+50+51)",
2020,"Land transport and transport via pipelines, water transport, air transport (Code NACE Rev.2 – 49+50+51)",c
2021,"Land transport and transport via pipelines, water transport, air transport (Code NACE Rev.2 – 49+50+51)",
2022,"Land transport and transport via pipelines, water transport, air transport (Code NACE Rev.2 – 49+50+51)",c
2023,"Land transport and transport via pipelines, water transport, air transport (Code NACE Rev.2 – 49+50+51)",
2024,"Land transport and transport via pipelines, water transport, air transport (Code NACE Rev.2 – 49+50+51)",0.3
2015,"Warehousing and support activities for transport, postal and courier activities (Code NACE Rev.2 – 52+53)",
2016,"Warehousing and support activities for transport, postal and courier activities (Code NACE Rev.2 – 52+53)",
2017,"Warehousing and support activities for transport, postal and courier activities (Code NACE Rev.2 – 52+53)",
2018,"Warehousing and support activities for transport, postal and courier activities (Code NACE Rev.2 – 52+53)",c
2019,"Warehousing and support activities for transport, postal and courier activities (Code NACE Rev.2 – 52+53)",
2020,"Warehousing and support activities for transport, postal and courier activities (Code NACE Rev.2 – 52+53)",c
2021,"Warehousing and support activities for transport, postal and courier activities (Code NACE Rev.2 – 52+53)",
2022,"Warehousing and support activities for transport, postal and courier activities (Code NACE Rev.2 – 52+53)",c
2023,"Warehousing and support activities for transport, postal and courier activities (Code NACE Rev.2 – 52+53)",
2024,"Warehousing and support activities for transport, postal and courier activities (Code NACE Rev.2 – 52+53)",3.3
2015,Information and telecommunications (Code NACE Rev.2 – J),
2016,Information and telecommunications (Code NACE Rev.2 – J),
2017,Information and telecommunications (Code NACE Rev.2 – J),
2018,Information and telecommunications (Code NACE Rev.2 – J),0.7
2019,Information and telecommunications (Code NACE Rev.2 – J),
2020,Information and telecommunications (Code NACE Rev.2 – J),0.7
2021,Information and telecommunications (Code NACE Rev.2 – J),
2022,Information and telecommunications (Code NACE Rev.2 – J),1.1
2023,Information and telecommunications (Code NACE Rev.2 – J),
2024,Information and telecommunications (Code NACE Rev.2 – J),4.8
2015,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting activities (Code NACE Rev.2 – 58+59+60)",
2016,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting activities (Code NACE Rev.2 – 58+59+60)",
2017,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting activities (Code NACE Rev.2 – 58+59+60)",
2018,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting activities (Code NACE Rev.2 – 58+59+60)",0.2
2019,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting activities (Code NACE Rev.2 – 58+59+60)",
2020,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting activities (Code NACE Rev.2 – 58+59+60)",c
2021,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting activities (Code NACE Rev.2 – 58+59+60)",
2022,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting activities (Code NACE Rev.2 – 58+59+60)",2.6
2023,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting activities (Code NACE Rev.2 – 58+59+60)",
2024,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, programming and broadcasting activities (Code NACE Rev.2 – 58+59+60)",1.7
2015,"Telecommunications, computer programming, consultancy and related activities, information service activities (Code NACE Rev.2 – 61+62+63)",
2016,"Telecommunications, computer programming, consultancy and related activities, information service activities (Code NACE Rev.2 – 61+62+63)",
2017,"Telecommunications, computer programming, consultancy and related activities, information service activities (Code NACE Rev.2 – 61+62+63)",
2018,"Telecommunications, computer programming, consultancy and related activities, information service activities (Code NACE Rev.2 – 61+62+63)",0.8
2019,"Telecommunications, computer programming, consultancy and related activities, information service activities (Code NACE Rev.2 – 61+62+63)",
2020,"Telecommunications, computer programming, consultancy and related activities, information service activities (Code NACE Rev.2 – 61+62+63)",0.6
2021,"Telecommunications, computer programming, consultancy and related activities, information service activities (Code NACE Rev.2 – 61+62+63)",
2022,"Telecommunications, computer programming, consultancy and related activities, information service activities (Code NACE Rev.2 – 61+62+63)",1.0
2023,"Telecommunications, computer programming, consultancy and related activities, information service activities (Code NACE Rev.2 – 61+62+63)",
2024,"Telecommunications, computer programming, consultancy and related activities, information service activities (Code NACE Rev.2 – 61+62+63)",5.1
2015,Financial and insurance activities (Code NACE Rev.2 – K),
2016,Financial and insurance activities (Code NACE Rev.2 – K),
2017,Financial and insurance activities (Code NACE Rev.2 – K),
2018,Financial and insurance activities (Code NACE Rev.2 – K),4.2
2019,Financial and insurance activities (Code NACE Rev.2 – K),
2020,Financial and insurance activities (Code NACE Rev.2 – K),c
2021,Financial and insurance activities (Code NACE Rev.2 – K),
2022,Financial and insurance activities (Code NACE Rev.2 – K),2.8
2023,Financial and insurance activities (Code NACE Rev.2 – K),
2024,Financial and insurance activities (Code NACE Rev.2 – K),4.5
2015,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 71+72+73)",
2016,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 71+72+73)",
2017,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 71+72+73)",
2018,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 71+72+73)",7.8
2019,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 71+72+73)",
2020,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 71+72+73)",5.4
2021,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 71+72+73)",
2022,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 71+72+73)",8.8
2023,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 71+72+73)",
2024,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research (Code NACE Rev.2 – 71+72+73)",8.3
2015,Architectural and engineering activities; technical testing and analysis (Code NACE Rev.2 – 71),
2016,Architectural and engineering activities; technical testing and analysis (Code NACE Rev.2 – 71),
2017,Architectural and engineering activities; technical testing and analysis (Code NACE Rev.2 – 71),
2018,Architectural and engineering activities; technical testing and analysis (Code NACE Rev.2 – 71),1.3
2019,Architectural and engineering activities; technical testing and analysis (Code NACE Rev.2 – 71),
2020,Architectural and engineering activities; technical testing and analysis (Code NACE Rev.2 – 71),0.7
2021,Architectural and engineering activities; technical testing and analysis (Code NACE Rev.2 – 71),
2022,Architectural and engineering activities; technical testing and analysis (Code NACE Rev.2 – 71),c
2023,Architectural and engineering activities; technical testing and analysis (Code NACE Rev.2 – 71),
2024,Architectural and engineering activities; technical testing and analysis (Code NACE Rev.2 – 71),c
2015,Scientific research and development (Code NACE Rev.2 – 72),
2016,Scientific research and development (Code NACE Rev.2 – 72),
2017,Scientific research and development (Code NACE Rev.2 – 72),
2018,Scientific research and development (Code NACE Rev.2 – 72),33.3
2019,Scientific research and development (Code NACE Rev.2 – 72),
2020,Scientific research and development (Code NACE Rev.2 – 72),25.0
2021,Scientific research and development (Code NACE Rev.2 – 72),
2022,Scientific research and development (Code NACE Rev.2 – 72),31.5
2023,Scientific research and development (Code NACE Rev.2 – 72),
2024,Scientific research and development (Code NACE Rev.2 – 72),28.1
2015,Advertising and market research (Code NACE Rev.2 – 73),
2016,Advertising and market research (Code NACE Rev.2 – 73),
2017,Advertising and market research (Code NACE Rev.2 – 73),
2018,Advertising and market research (Code NACE Rev.2 – 73),0.3
2019,Advertising and market research (Code NACE Rev.2 – 73),
2020,Advertising and market research (Code NACE Rev.2 – 73),0.4
2021,Advertising and market research (Code NACE Rev.2 – 73),
2022,Advertising and market research (Code NACE Rev.2 – 73),c
2023,Advertising and market research (Code NACE Rev.2 – 73),
2024,Advertising and market research (Code NACE Rev.2 – 73),c
