Year,Types of economic activity,River basins,Region,Value
2022,,Crimea River Basin Area,,
2022,,Danube River Basin Area,,6.437
2022,,Dniester River Basin Area,,8.011
2022,,Dnipro River Basin Area,,210.212
2022,,Don River Basin Area,,20.585
2022,,Southern Bug River Basin Area,,18.077
2022,,Vistula River Basin Area,,109.285
2022,Accommodation and food service activities,,,0.046
2022,Administrative and support service activities,,,0.512
2022,"Agriculture, forestry and fishing",,,14.242
2022,"Arts, sports, entertainment and recreation",,,0.021
2022,Construction,,,0.568
2022,Education,,,0.271
2022,"Electricity, gas, steam and air conditioning supply",,,0.215
2022,Financial and insurance activities,,,
2022,Household activities,,,
2022,Human health and social work activities,,,0.319
2022,Information and telecommunications,,,
2022,Manufacturing,,,9.363
2022,Mining and quarrying,,,77.409
2022,Other service activities,,,
2022,"Professional, scientific and technical activities",,,0.023
2022,Public administration and defense; compulsory social insurance,,,0.62
2022,Real estate activities,,,0.135
2022,"Transportation and storage, post and courier services",,,0.466
2022,"Water supply; sewerage, waste management and remediation activities",,,269.743
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,0.074
2022,,,Autonomous Republic of Crimea,
2022,,,Vinnytsya,0.52
2022,,,Volyn,
2022,,,Dnipropetrovsk,110.678
2022,,,Donetsk,36.886
2022,,,Zhytomyr,1.289
2022,,,Zakarpattya,3.733
2022,,,Zaporizhzhya,1.093
2022,,,Ivano-Frankivsk,0.198
2022,,,Kyiv,1.677
2022,,,Kirovohrad,17.298
2022,,,Luhansk,
2022,,,Lviv,113.858
2022,,,Mykolayiv,13.286
2022,,,Odesa,4.74
2022,,,Poltava,23.321
2022,,,Rivne,4.127
2022,,,Sumy,14.838
2022,,,Ternopil,2.074
2022,,,Kharkiv,3.322
2022,,,Kherson,
2022,,,Khmelnytskiy,0.394
2022,,,Cherkasy,3.668
2022,,,Chernivtsi,1.061
2022,,,Chernihiv,0.742
2022,,,city Kyiv,15.228
2022,,,city Sevastopol,
2023,,,,375.647
2023,,Azov River Basin Area,,
2023,,Black Sea River Basin Area,,1.505
2023,,Crimea River Basin Area,,
2023,,Danube River Basin Area,,17.854
2023,,Dniester River Basin Area,,9.434
2023,,Dnipro River Basin Area,,192.537
2023,,Don River Basin Area,,22.07
2023,,Southern Bug River Basin Area,,19.324
2023,,Vistula River Basin Area,,112.923
2023,Accommodation and food service activities,,,0.044
2023,Administrative and support service activities,,,1.861
2023,"Agriculture, forestry and fishing",,,19.374
2023,"Arts, sports, entertainment and recreation",,,0.093
2023,Construction,,,0.006
2023,Education,,,0.308
2023,"Electricity, gas, steam and air conditioning supply",,,3.029
2023,Financial and insurance activities,,,
2023,Household activities,,,
2023,Human health and social work activities,,,0.352
2023,Information and telecommunications,,,0.004
2023,Manufacturing,,,10.576
2023,Mining and quarrying,,,50.179
2023,Other service activities,,,
2023,"Professional, scientific and technical activities",,,0.241
2023,Public administration and defense; compulsory social insurance,,,0.65
2023,Real estate activities,,,0.149
2023,"Transportation and storage, post and courier services",,,1.092
2023,"Water supply; sewerage, waste management and remediation activities",,,287.62
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,0.07
2023,,,Autonomous Republic of Crimea,
2023,,,Vinnytsya,0.423
2023,,,Volyn,0.046
2023,,,Dnipropetrovsk,106.636
2023,,,Donetsk,33.315
2023,,,Zhytomyr,1.301
2023,,,Zakarpattya,5.907
2023,,,Zaporizhzhya,1.285
2023,,,Ivano-Frankivsk,1.121
2023,,,Kyiv,0.699
2023,,,Kirovohrad,16.289
2023,,,Luhansk,
2023,,,Lviv,118.51
2023,,,Mykolayiv,14.643
2023,,,Odesa,13.548
2023,,,Poltava,15.643
2023,,,Rivne,7.576
2023,,,Sumy,13.904
2023,,,Ternopil,1.667
2023,,,Kharkiv,3.852
2023,,,Kherson,
2023,,,Khmelnytskiy,0.586
2023,,,Cherkasy,3.566
2023,,,Chernivtsi,1.551
2023,,,Chernihiv,0.648
2023,,,city Kyiv,12.932
2023,,,city Sevastopol,
2024,,,,328.621
2024,,Azov River Basin Area,,
2024,,Black Sea River Basin Area,,1.748
2024,,Crimea River Basin Area,,
2024,,Danube River Basin Area,,12.136
2024,,Dniester River Basin Area,,8.419
2024,,Dnipro River Basin Area,,169.643
2024,,Don River Basin Area,,8.038
2024,,Southern Bug River Basin Area,,21.518
2024,,Vistula River Basin Area,,107.12
2024,Accommodation and food service activities,,,0.072
2024,Administrative and support service activities,,,0.446
2024,"Agriculture, forestry and fishing",,,19.501
2024,"Arts, sports, entertainment and recreation",,,0.09
2024,Construction,,,0.04
2024,Education,,,0.261
2024,"Electricity, gas, steam and air conditioning supply",,,1.2
2024,Financial and insurance activities,,,
2024,Household activities,,,
2024,Human health and social work activities,,,0.435
2024,Information and telecommunications,,,0.004
2024,Manufacturing,,,7.769
2024,Mining and quarrying,,,32.478
2024,Other service activities,,,
2024,"Professional, scientific and technical activities",,,0.091
2024,Public administration and defense; compulsory social insurance,,,0.597
2024,Real estate activities,,,0.124
2024,"Transportation and storage, post and courier services",,,1.282
2024,"Water supply; sewerage, waste management and remediation activities",,,264.191
2024,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,0.041
2024,,,Autonomous Republic of Crimea,
2024,,,Vinnytsya,0.551
2024,,,Volyn,
2024,,,Dnipropetrovsk,106.493
2024,,,Donetsk,9.433
2024,,,Zhytomyr,2.024
2024,,,Zakarpattya,3.611
2024,,,Zaporizhzhya,0.206
2024,,,Ivano-Frankivsk,0.501
2024,,,Kyiv,1.19
2024,,,Kirovohrad,16.944
2024,,,Luhansk,
2024,,,Lviv,112.256
2024,,,Mykolayiv,16.732
2024,,,Odesa,10.262
2024,,,Poltava,6.811
2024,,,Rivne,2.925
2024,,,Sumy,13.974
2024,,,Ternopil,1.651
2024,,,Kharkiv,3.875
2024,,,Kherson,
2024,,,Khmelnytskiy,0.462
2024,,,Cherkasy,3.483
2024,,,Chernivtsi,1.716
2024,,,Chernihiv,1.161
2024,,,city Kyiv,12.361
2024,,,city Sevastopol,
