Year,Age,Sex,Type of residence,by frequency of use,purpose of use,Region,Value
2023,,,,,"for interaction with government bodies (e-government system), including obtaining information",,
2024,,,,,"for interaction with government bodies (e-government system), including obtaining information",,
2015,,,,,banking,,
2016,,,,,banking,,
2017,,,,,banking,,
2018,,,,,banking,,
2019,,,,,banking,,
2020,,,,,banking,,43.0
2021,,,,,banking,,50.4
2022,,,,,banking,,
2023,,,,,banking,,
2024,,,,,banking,,
2015,,,,,"reading/downloading newspapers, magazines online",,
2016,,,,,"reading/downloading newspapers, magazines online",,
2017,,,,,"reading/downloading newspapers, magazines online",,
2018,,,,,"reading/downloading newspapers, magazines online",,
2019,,,,,"reading/downloading newspapers, magazines online",,
2020,,,,,"reading/downloading newspapers, magazines online",,21.8
2021,,,,,"reading/downloading newspapers, magazines online",,23.0
2022,,,,,"reading/downloading newspapers, magazines online",,
2023,,,,,"reading/downloading newspapers, magazines online",,
2024,,,,,"reading/downloading newspapers, magazines online",,
2015,,,,,"downloading films, images, music; watching television or videos; or listening to the radio or music; playing video or computer games or downloading them",,
2016,,,,,"downloading films, images, music; watching television or videos; or listening to the radio or music; playing video or computer games or downloading them",,
2017,,,,,"downloading films, images, music; watching television or videos; or listening to the radio or music; playing video or computer games or downloading them",,
2018,,,,,"downloading films, images, music; watching television or videos; or listening to the radio or music; playing video or computer games or downloading them",,
2019,,,,,"downloading films, images, music; watching television or videos; or listening to the radio or music; playing video or computer games or downloading them",,
2020,,,,,"downloading films, images, music; watching television or videos; or listening to the radio or music; playing video or computer games or downloading them",,68.2
2021,,,,,"downloading films, images, music; watching television or videos; or listening to the radio or music; playing video or computer games or downloading them",,69.2
2022,,,,,"downloading films, images, music; watching television or videos; or listening to the radio or music; playing video or computer games or downloading them",,
2023,,,,,"downloading films, images, music; watching television or videos; or listening to the radio or music; playing video or computer games or downloading them",,
2024,,,,,"downloading films, images, music; watching television or videos; or listening to the radio or music; playing video or computer games or downloading them",,
2015,,,,,"participating in social networks, communicating (accessing websites, chats, blogs or online discussions)",,
2016,,,,,"participating in social networks, communicating (accessing websites, chats, blogs or online discussions)",,
2017,,,,,"participating in social networks, communicating (accessing websites, chats, blogs or online discussions)",,
2018,,,,,"participating in social networks, communicating (accessing websites, chats, blogs or online discussions)",,
2019,,,,,"participating in social networks, communicating (accessing websites, chats, blogs or online discussions)",,
2020,,,,,"participating in social networks, communicating (accessing websites, chats, blogs or online discussions)",,62.4
2021,,,,,"participating in social networks, communicating (accessing websites, chats, blogs or online discussions)",,64.3
2022,,,,,"participating in social networks, communicating (accessing websites, chats, blogs or online discussions)",,
2023,,,,,"participating in social networks, communicating (accessing websites, chats, blogs or online discussions)",,
2024,,,,,"participating in social networks, communicating (accessing websites, chats, blogs or online discussions)",,
2015,,,,,downloading software,,
2016,,,,,downloading software,,
2017,,,,,downloading software,,
2018,,,,,downloading software,,
2019,,,,,downloading software,,
2020,,,,,downloading software,,4.3
2021,,,,,downloading software,,3.2
2022,,,,,downloading software,,
2023,,,,,downloading software,,
2024,,,,,downloading software,,
2015,,,,,"using Internet storage for personal purposes to store documents, images, music, videos or other files",,
2016,,,,,"using Internet storage for personal purposes to store documents, images, music, videos or other files",,
2017,,,,,"using Internet storage for personal purposes to store documents, images, music, videos or other files",,
2018,,,,,"using Internet storage for personal purposes to store documents, images, music, videos or other files",,
2019,,,,,"using Internet storage for personal purposes to store documents, images, music, videos or other files",,
2020,,,,,"using Internet storage for personal purposes to store documents, images, music, videos or other files",,6.4
2021,,,,,"using Internet storage for personal purposes to store documents, images, music, videos or other files",,5.4
2022,,,,,"using Internet storage for personal purposes to store documents, images, music, videos or other files",,
2023,,,,,"using Internet storage for personal purposes to store documents, images, music, videos or other files",,
2024,,,,,"using Internet storage for personal purposes to store documents, images, music, videos or other files",,
2015,,,,,"conducting training activities for educational, professional or private purposes through an online course",,
2016,,,,,"conducting training activities for educational, professional or private purposes through an online course",,
2017,,,,,"conducting training activities for educational, professional or private purposes through an online course",,
2018,,,,,"conducting training activities for educational, professional or private purposes through an online course",,
2019,,,,,"conducting training activities for educational, professional or private purposes through an online course",,
2020,,,,,"conducting training activities for educational, professional or private purposes through an online course",,2.5
2021,,,,,"conducting training activities for educational, professional or private purposes through an online course",,1.7
2022,,,,,"conducting training activities for educational, professional or private purposes through an online course",,
2023,,,,,"conducting training activities for educational, professional or private purposes through an online course",,
2024,,,,,"conducting training activities for educational, professional or private purposes through an online course",,
2015,,,,,"conducting training activities for educational, professional or private purposes through an online course, except for full online courses",,
2016,,,,,"conducting training activities for educational, professional or private purposes through an online course, except for full online courses",,
2017,,,,,"conducting training activities for educational, professional or private purposes through an online course, except for full online courses",,
2018,,,,,"conducting training activities for educational, professional or private purposes through an online course, except for full online courses",,
2019,,,,,"conducting training activities for educational, professional or private purposes through an online course, except for full online courses",,
2020,,,,,"conducting training activities for educational, professional or private purposes through an online course, except for full online courses",,2.8
2021,,,,,"conducting training activities for educational, professional or private purposes through an online course, except for full online courses",,1.9
2022,,,,,"conducting training activities for educational, professional or private purposes through an online course, except for full online courses",,
2023,,,,,"conducting training activities for educational, professional or private purposes through an online course, except for full online courses",,
2024,,,,,"conducting training activities for educational, professional or private purposes through an online course, except for full online courses",,
2015,,,,,"conducting training activities for educational, professional or private purposes through communication via the Internet with teachers or students using educational sites or portals",,
2016,,,,,"conducting training activities for educational, professional or private purposes through communication via the Internet with teachers or students using educational sites or portals",,
2017,,,,,"conducting training activities for educational, professional or private purposes through communication via the Internet with teachers or students using educational sites or portals",,
2018,,,,,"conducting training activities for educational, professional or private purposes through communication via the Internet with teachers or students using educational sites or portals",,
2019,,,,,"conducting training activities for educational, professional or private purposes through communication via the Internet with teachers or students using educational sites or portals",,
2020,,,,,"conducting training activities for educational, professional or private purposes through communication via the Internet with teachers or students using educational sites or portals",,5.7
2021,,,,,"conducting training activities for educational, professional or private purposes through communication via the Internet with teachers or students using educational sites or portals",,5.2
2022,,,,,"conducting training activities for educational, professional or private purposes through communication via the Internet with teachers or students using educational sites or portals",,
2023,,,,,"conducting training activities for educational, professional or private purposes through communication via the Internet with teachers or students using educational sites or portals",,
2024,,,,,"conducting training activities for educational, professional or private purposes through communication via the Internet with teachers or students using educational sites or portals",,
2015,,,,,making an appointment with a specialist doctor through the Internet,,
2016,,,,,making an appointment with a specialist doctor through the Internet,,
2017,,,,,making an appointment with a specialist doctor through the Internet,,
2018,,,,,making an appointment with a specialist doctor through the Internet,,
2019,,,,,making an appointment with a specialist doctor through the Internet,,
2020,,,,,making an appointment with a specialist doctor through the Internet,,14.6
2021,,,,,making an appointment with a specialist doctor through the Internet,,19.0
2022,,,,,making an appointment with a specialist doctor through the Internet,,
2023,,,,,making an appointment with a specialist doctor through the Internet,,
2024,,,,,making an appointment with a specialist doctor through the Internet,,
2015,,,,,"searching for information related to health issues (medicines, medical services, advice, etc.) for yourself and others",,
2016,,,,,"searching for information related to health issues (medicines, medical services, advice, etc.) for yourself and others",,
2017,,,,,"searching for information related to health issues (medicines, medical services, advice, etc.) for yourself and others",,
2018,,,,,"searching for information related to health issues (medicines, medical services, advice, etc.) for yourself and others",,
2019,,,,,"searching for information related to health issues (medicines, medical services, advice, etc.) for yourself and others",,
2020,,,,,"searching for information related to health issues (medicines, medical services, advice, etc.) for yourself and others",,32.6
2021,,,,,"searching for information related to health issues (medicines, medical services, advice, etc.) for yourself and others",,31.3
2022,,,,,"searching for information related to health issues (medicines, medical services, advice, etc.) for yourself and others",,
2023,,,,,"searching for information related to health issues (medicines, medical services, advice, etc.) for yourself and others",,
2024,,,,,"searching for information related to health issues (medicines, medical services, advice, etc.) for yourself and others",,
2015,,,,,ordering (purchasing) goods and services,,
2016,,,,,ordering (purchasing) goods and services,,
2017,,,,,ordering (purchasing) goods and services,,
2018,,,,,ordering (purchasing) goods and services,,
2019,,,,,ordering (purchasing) goods and services,,
2020,,,,,ordering (purchasing) goods and services,,24.3
2021,,,,,ordering (purchasing) goods and services,,24.6
2022,,,,,ordering (purchasing) goods and services,,
2023,,,,,ordering (purchasing) goods and services,,
2024,,,,,ordering (purchasing) goods and services,,
2015,,,,,"telephone conversations through the Internet/Volp (Skype, iTalk, via webcam)",,
2016,,,,,"telephone conversations through the Internet/Volp (Skype, iTalk, via webcam)",,
2017,,,,,"telephone conversations through the Internet/Volp (Skype, iTalk, via webcam)",,
2018,,,,,"telephone conversations through the Internet/Volp (Skype, iTalk, via webcam)",,
2019,,,,,"telephone conversations through the Internet/Volp (Skype, iTalk, via webcam)",,
2020,,,,,"telephone conversations through the Internet/Volp (Skype, iTalk, via webcam)",,37.0
2021,,,,,"telephone conversations through the Internet/Volp (Skype, iTalk, via webcam)",,39.4
2022,,,,,"telephone conversations through the Internet/Volp (Skype, iTalk, via webcam)",,
2023,,,,,"telephone conversations through the Internet/Volp (Skype, iTalk, via webcam)",,
2024,,,,,"telephone conversations through the Internet/Volp (Skype, iTalk, via webcam)",,
2015,,,,,"posting opinions on civil or political issues on websites (using blogs, social networks, etc.)",,
2016,,,,,"posting opinions on civil or political issues on websites (using blogs, social networks, etc.)",,
2017,,,,,"posting opinions on civil or political issues on websites (using blogs, social networks, etc.)",,
2018,,,,,"posting opinions on civil or political issues on websites (using blogs, social networks, etc.)",,
2019,,,,,"posting opinions on civil or political issues on websites (using blogs, social networks, etc.)",,
2020,,,,,"posting opinions on civil or political issues on websites (using blogs, social networks, etc.)",,0.6
2021,,,,,"posting opinions on civil or political issues on websites (using blogs, social networks, etc.)",,0.4
2022,,,,,"posting opinions on civil or political issues on websites (using blogs, social networks, etc.)",,
2023,,,,,"posting opinions on civil or political issues on websites (using blogs, social networks, etc.)",,
2024,,,,,"posting opinions on civil or political issues on websites (using blogs, social networks, etc.)",,
2015,,,,,"participating in online consultations, voting on civil or political issues (e.g. on urban planning issues, signing a petition, etc.)",,
2016,,,,,"participating in online consultations, voting on civil or political issues (e.g. on urban planning issues, signing a petition, etc.)",,
2017,,,,,"participating in online consultations, voting on civil or political issues (e.g. on urban planning issues, signing a petition, etc.)",,
2018,,,,,"participating in online consultations, voting on civil or political issues (e.g. on urban planning issues, signing a petition, etc.)",,
2019,,,,,"participating in online consultations, voting on civil or political issues (e.g. on urban planning issues, signing a petition, etc.)",,
