Year,Age,Region,Value
2018,under 20 years,Kharkiv,14.0
2018,under 20 years,Kherson,25.8
2018,under 20 years,Khmelnytskiy,22.3
2018,under 20 years,Cherkasy,20.9
2018,under 20 years,Chernivtsi,19.6
2018,under 20 years,Chernihiv,17.3
2018,under 20 years,the city of Kyiv,6.5
2018,under 20 years,Ukraine,19.7
2019,15-17 years,Ukraine,7.1
2019,under 15 years,Ukraine,0.2
2019,under 20 years,Vinnytsya,18.2
2019,under 20 years,Volyn,16.7
2019,under 20 years,Dnipropetrovsk,15.6
2019,under 20 years,Zhytomyr,22.5
2019,under 20 years,Zakarpattya,40.5
2019,under 20 years,Zaporizhzhya,16.4
2019,under 20 years,Ivano-Frankivsk,17.9
2019,under 20 years,Kyiv,18.1
2019,under 20 years,Kirovohrad,24.9
2019,under 20 years,Lviv,11.4
2019,under 20 years,Mykolayiv,20.6
2019,under 20 years,Odesa,19.4
2019,under 20 years,Poltava,15.3
2019,under 20 years,Rivne,15.9
2019,under 20 years,Sumy,14.9
2019,under 20 years,Ternopil,13.9
2019,under 20 years,Kharkiv,11.8
2019,under 20 years,Kherson,21.3
2019,under 20 years,Khmelnytskiy,20.4
2019,under 20 years,Cherkasy,16.7
2019,under 20 years,Chernivtsi,18.0
2019,under 20 years,Chernihiv,15.0
2019,under 20 years,the city of Kyiv,5.7
2019,under 20 years,Ukraine,16.9
2020,15-17 years,Ukraine,6.8
2020,under 15 years,Ukraine,0.1
2020,under 20 years,Vinnytsya,17.9
2020,under 20 years,Volyn,16.5
2020,under 20 years,Dnipropetrovsk,15.3
2020,under 20 years,Zhytomyr,21.3
2020,under 20 years,Zakarpattya,39.8
2020,under 20 years,Zaporizhzhya,13.6
2020,under 20 years,Ivano-Frankivsk,15.0
2020,under 20 years,Kyiv,14.5
2020,under 20 years,Kirovohrad,23.5
2020,under 20 years,Lviv,10.2
2020,under 20 years,Mykolayiv,20.2
2020,under 20 years,Odesa,19.1
2020,under 20 years,Poltava,16.2
2020,under 20 years,Rivne,15.6
2020,under 20 years,Sumy,13.5
2020,under 20 years,Ternopil,12.5
2020,under 20 years,Kharkiv,10.6
2020,under 20 years,Kherson,20.4
2020,under 20 years,Khmelnytskiy,18.6
2020,under 20 years,Cherkasy,16.0
2020,under 20 years,Chernivtsi,17.0
2020,under 20 years,Chernihiv,14.3
2020,under 20 years,the city of Kyiv,5.4
2020,under 20 years,Ukraine,15.8
2021,15-17 years,Ukraine,5.8
2021,under 15 years,Ukraine,0.1
2021,under 20 years,Vinnytsya,13.6
2021,under 20 years,Volyn,14.6
2021,under 20 years,Dnipropetrovsk,13.1
2021,under 20 years,Zhytomyr,17.3
2021,under 20 years,Zakarpattya,39.6
2021,under 20 years,Zaporizhzhya,12.8
2021,under 20 years,Ivano-Frankivsk,12.7
2021,under 20 years,Kyiv,12.8
2021,under 20 years,Kirovohrad,20.2
2021,under 20 years,Lviv,9.2
2021,under 20 years,Mykolayiv,17.7
2021,under 20 years,Odesa,15.5
2021,under 20 years,Poltava,13.0
2021,under 20 years,Rivne,14.0
2021,under 20 years,Sumy,12.4
2021,under 20 years,Ternopil,12.0
2021,under 20 years,Kharkiv,8.5
2021,under 20 years,Kherson,17.0
2021,under 20 years,Khmelnytskiy,16.2
2021,under 20 years,Cherkasy,15.7
2021,under 20 years,Chernivtsi,16.3
2021,under 20 years,Chernihiv,12.4
2021,under 20 years,the city of Kyiv,4.1
2021,under 20 years,Ukraine,13.8
2021,,Autonomous Republic of Crimea,
2021,,city Sevastopol,
2022,,,
2023,,,
2024,,,
